"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"reference"
"JN.1.8*"	0.08877796	0.07034	0.10722	124	"Alberta"	0	"HV.1"
"KP.2"	0.08782048	0.06613	0.10951	95	"Canada"	0	"HV.1*"
"JN.1.16"	0.08754703	NA	NA	29	"British Columbia"	0	"HV.1*"
"KP.1.1"	0.08736206	NA	NA	22	"British Columbia"	0	"HV.1*"
"KP.1*"	0.08736206	NA	NA	22	"British Columbia"	0	"HV.1"
"JN.1.7"	0.08735175	0.06606	0.10865	71	"Alberta"	0	"HV.1*"
"JN.1.3"	0.0867039	0.05584	0.11757	19	"Ontario"	0	"HV.1*"
"JN.1.11*"	0.08621353	0.06752	0.10491	74	"British Columbia"	0	"HV.1"
"XDP"	0.08542711	0.07302	0.09783	100	"Canada"	0	"HV.1*"
"XDK.1"	0.08477692	NA	NA	24	"Canada"	0	"HV.1*"
"JN.1.4*"	0.08430977	0.05053	0.11808	181	"Quebec"	0	"HV.1"
"XDK.1"	0.08405941	NA	NA	16	"British Columbia"	0	"HV.1*"
"JN.1.4"	0.08384667	0.05004	0.11766	178	"Quebec"	0	"HV.1*"
"XDK"	0.08371864	0.06641	0.10103	43	"Canada"	0	"HV.1*"
"JN.1"	0.08333102	0.05142	0.11524	212	"Nova Scotia"	0	"HV.1*"
"JD.1.1.3"	0.08257001	0.04744	0.1177	14	"Ontario"	0	"HV.1*"
"JN.1"	0.08243291	0.07359	0.09128	2584	"Ontario"	0	"HV.1*"
"JN.1"	0.08189055	0.01602	0.14776	41	"Newfoundland and Labrador"	0	"HV.1*"
"JN.1.4*"	0.08178509	0.07228	0.09129	1052	"Ontario"	0	"HV.1"
"JN.1.4"	0.08175324	0.07223	0.09127	1043	"Ontario"	0	"HV.1*"
"JN.1"	0.08151008	0.04964	0.11338	254	"Quebec"	0	"HV.1*"
"JN.2.5"	0.08115089	0.06251	0.09979	96	"Ontario"	0	"HV.1*"
"JN.1.8"	0.08096847	0.05206	0.10988	20	"Alberta"	0	"HV.1*"
"JN.1.13.1"	0.08069086	0.01629	0.14509	15	"British Columbia"	0	"HV.1*"
"JN.1.13*"	0.08069086	0.01629	0.14509	15	"British Columbia"	0	"HV.1"
