"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"reference"
"HR.1"	0.03805103	0.01724	0.05886	18	"Alberta"	"EG.5*"
"JD.1.1"	0.03792838	0.03411	0.04174	580	"Canada"	"EG.5*"
"HK.6"	0.03740494	0.02747	0.04734	67	"Ontario"	"EG.5*"
"FL.4.9"	0.03730828	0.01279	0.06183	23	"Newfoundland and Labrador"	"EG.5*"
"FL.4*"	0.03730828	0.01279	0.06183	23	"Newfoundland and Labrador"	"EG.5.1.1"
"FL.15"	0.03730477	0.01399	0.06062	12	"British Columbia"	"EG.5*"
"HK.8"	0.03729103	0.01821	0.05637	17	"Ontario"	"EG.5*"
"GK.3.1"	0.03720683	0.01833	0.05608	19	"British Columbia"	"EG.5*"
"GK.3*"	0.03720683	0.01833	0.05608	19	"British Columbia"	"EG.5.1.1"
"EG.5.1"	0.03661994	0.01277	0.06047	24	"Newfoundland and Labrador"	"EG.5*"
"JD.1*"	0.03622019	0.02855	0.04389	145	"British Columbia"	"EG.5.1.1"
"BA.2.86.1"	0.03611258	0.02086	0.05136	34	"Alberta"	"EG.5*"
"JD.1.1*"	0.03608402	0.01696	0.05521	28	"Nova Scotia"	"EG.5.1.1"
"JD.1*"	0.03608402	0.01696	0.05521	28	"Nova Scotia"	"EG.5.1.1"
"JD.1.1*"	0.03595351	0.02827	0.04363	144	"British Columbia"	"EG.5.1.1"
"HK.3"	0.03541159	0.03176	0.03906	1007	"Ontario"	"EG.5*"
"HK.3"	0.03534791	0.03269	0.03801	1662	"Canada"	"EG.5*"
"GA.4.1"	0.03517469	0.02692	0.04343	94	"Canada"	"EG.5*"
"EG.5.1.8"	0.03506643	0.02859	0.04154	160	"Canada"	"EG.5*"
"GS.4.1"	0.03483082	0.02095	0.04871	31	"Ontario"	"EG.5*"
"GS.4*"	0.03469247	0.01916	0.05023	29	"British Columbia"	"EG.5.1.1"
"XCH"	0.03462667	0.02115	0.0481	33	"Ontario"	"EG.5*"
"HV*"	0.03444301	0.03043	0.03845	1771	"Alberta"	"EG.5.1.1"
"HK.3*"	0.03360354	0.02669	0.04052	218	"Alberta"	"EG.5.1.1"
"FL.1.5.2"	0.03323676	0.02648	0.03999	152	"Ontario"	"EG.5*"
"JJ.1"	0.03321369	0.01812	0.04831	26	"Canada"	"EG.5*"
"XCH.1"	0.03309613	0.00971	0.05648	13	"Alberta"	"EG.5*"
"GS.3"	0.03292813	0.0166	0.04925	22	"Canada"	"EG.5*"
"GS.4.1"	0.03269011	0.01698	0.0484	28	"British Columbia"	"EG.5*"
"GA*"	0.03256231	0.02157	0.04356	49	"Ontario"	"EG.5.1.1"
"GK.1"	0.03250181	0.02464	0.04036	106	"Ontario"	"EG.5*"
"GK.1.1"	0.03245759	0.01808	0.04683	29	"Quebec"	"EG.5*"
"XCH*"	0.03225011	0.0241	0.0404	96	"Ontario"	"EG.5.1.1"
"JD.1.1*"	0.03214425	0.02503	0.03926	192	"Alberta"	"EG.5.1.1"
"DV.7.1"	0.03213116	0.01307	0.05119	15	"Quebec"	"EG.5*"
"JF*"	0.03200358	0.02121	0.0428	81	"Quebec"	"EG.5.1.1"
"XCH*"	0.03169915	0.0122	0.0512	18	"Alberta"	"EG.5.1.1"
"GK.1*"	0.03163676	0.01837	0.04491	34	"Quebec"	"EG.5.1.1"
"HK.3"	0.03159113	0.02416	0.03902	167	"Alberta"	"EG.5*"
"JJ.1"	0.03134922	0.01497	0.04773	21	"Ontario"	"EG.5*"
"GK.3.1"	0.03102829	0.00447	0.05759	13	"Alberta"	"EG.5*"
"JD.1*"	0.03070032	0.02374	0.03766	194	"Alberta"	"EG.5.1.1"
"HF.1.1"	0.03069846	0.01808	0.04332	36	"Canada"	"EG.5*"
"JD.1.1"	0.03062414	0.02277	0.03848	141	"Alberta"	"EG.5*"
"FL.20.2"	0.03062338	0.01781	0.04343	35	"Ontario"	"EG.5*"
"GK.1"	0.03028969	0.02351	0.03707	132	"Canada"	"EG.5*"
"JN.2"	0.03023324	0.02274	0.03773	143	"Alberta"	"EG.5*"
"XCH.1"	0.03021575	0.02051	0.03993	63	"Ontario"	"EG.5*"
"XBB.2.3*"	0.03020487	0.00186	0.05855	22	"Newfoundland and Labrador"	"EG.5.1.1"
"FL.1.5.1"	0.02991743	0.00193	0.0579	15	"Newfoundland and Labrador"	"EG.5*"
"HN*"	0.02991743	0.00193	0.0579	15	"Newfoundland and Labrador"	"EG.5.1.1"
"FL.1.5*"	0.02991743	0.00193	0.0579	15	"Newfoundland and Labrador"	"EG.5.1.1"
"FL.1*"	0.02991743	0.00193	0.0579	15	"Newfoundland and Labrador"	"EG.5.1.1"
"HK.2"	0.02982476	0.00802	0.05163	14	"Alberta"	"EG.5*"
"EG.5.1.9"	0.02963644	0.01781	0.04146	41	"Ontario"	"EG.5*"
"GK.1.3"	0.02951545	0.00635	0.05268	12	"British Columbia"	"EG.5*"
"JN*"	0.02949371	0.00899	0.05	24	"New Brunswick"	"EG.5.1.1"
"BA.2.86*"	0.02949371	0.00899	0.05	24	"New Brunswick"	"EG.5.1.1"
"JG*"	0.02949269	0.01685	0.04213	64	"Nova Scotia"	"EG.5.1.1"
"FL.15.1.1"	0.02912372	0.01898	0.03927	55	"Canada"	"EG.5*"
"GK*"	0.02900143	0.01817	0.03984	66	"Quebec"	"EG.5.1.1"
"XCH.1"	0.0289916	0.02129	0.03669	99	"Canada"	"EG.5*"
"EG.5.2.1"	0.02888636	0.00948	0.04829	43	"New Brunswick"	"EG.5*"
"EG.5.2*"	0.02888636	0.00948	0.04829	43	"New Brunswick"	"EG.5.1.1"
"EG.5.1.8"	0.02884045	0.01935	0.03833	65	"Ontario"	"EG.5*"
"JE.1"	0.02882119	0.01702	0.04062	40	"Canada"	"EG.5*"
"JG*"	0.02830068	0.01763	0.03897	59	"Quebec"	"EG.5.1.1"
"JD.1.1"	0.02825047	0.02015	0.03636	121	"British Columbia"	"EG.5*"
"HK.3.1"	0.02820976	0.01695	0.03947	44	"Canada"	"EG.5*"
"GA*"	0.02756257	0.02034	0.03479	110	"Canada"	"EG.5.1.1"
"JG.2"	0.02740643	0.00776	0.04705	14	"Canada"	"EG.5*"
"HK.2"	0.02740501	0.01412	0.04069	31	"Canada"	"EG.5*"
"HV.1"	0.02737815	0.01716	0.0376	195	"New Brunswick"	"EG.5*"
"XBB.1.16.11"	0.02699066	0.01039	0.04359	18	"Quebec"	"EG.5*"
"XCH*"	0.02615347	0.02006	0.03224	157	"Canada"	"EG.5.1.1"
"FL.20.2"	0.02604257	0.01535	0.03673	48	"Canada"	"EG.5*"
"HK.8"	0.025869	0.01093	0.04081	24	"Canada"	"EG.5*"
"XBB.1.16.17"	0.02553673	0.00367	0.0474	13	"British Columbia"	"EG.5*"
"DV.7.1*"	0.02546841	0.01136	0.03958	30	"Quebec"	"EG.5.1.1"
"HV*"	0.02535121	0.01571	0.03499	248	"Nova Scotia"	"EG.5.1.1"
"JG.1"	0.02523669	0.0051	0.04537	13	"Canada"	"EG.5*"
"GK.1*"	0.02460069	0.00592	0.04328	28	"New Brunswick"	"EG.5.1.1"
"CH.1.1*"	0.02419124	0.01036	0.03802	31	"Quebec"	"EG.5.1.1"
"DV*"	0.02419124	0.01036	0.03802	31	"Quebec"	"EG.5.1.1"
"JF.1"	0.02409708	0.00707	0.04112	36	"New Brunswick"	"EG.5*"
"FL.15.1*"	0.02388637	0.01308	0.0347	45	"Ontario"	"EG.5.1.1"
"JD.1.1*"	0.02385827	0.00173	0.04599	18	"New Brunswick"	"EG.5.1.1"
"JD.1*"	0.02385827	0.00173	0.04599	18	"New Brunswick"	"EG.5.1.1"
"DV.7.1*"	0.02355572	0.01958	0.02753	506	"Ontario"	"EG.5.1.1"
"DV*"	0.02355572	0.01958	0.02753	506	"Ontario"	"EG.5.1.1"
"HK.6"	0.02354521	0.01677	0.03032	120	"Canada"	"EG.5*"
"GK.2*"	0.0226159	0.00505	0.04018	16	"Quebec"	"EG.5.1.1"
"GK.3*"	0.02214902	0.00613	0.03817	23	"Alberta"	"EG.5.1.1"
"FL*"	0.02177193	0.0036	0.03994	45	"Newfoundland and Labrador"	"EG.5.1.1"
"JG*"	0.02158713	0.01851	0.02466	1057	"Ontario"	"EG.5.1.1"
"JF.1"	0.02130642	0.01483	0.02778	248	"British Columbia"	"EG.5*"
"DV.7.1"	0.02122247	0.01707	0.02538	423	"Ontario"	"EG.5*"
"JJ*"	0.02118628	0.01455	0.02782	161	"Alberta"	"EG.5.1.1"
"HC.2"	0.02117046	0.00414	0.03821	17	"Ontario"	"EG.5*"
"JD.1"	0.02115566	0	0.04265	11	"Canada"	"EG.5*"
"XCH"	0.02113891	0.01167	0.03061	58	"Canada"	"EG.5*"
"XBB.1"	0.02090121	0.00194	0.03986	14	"Canada"	"EG.5*"
"GS.4.1"	0.020733	0.01321	0.02825	94	"Canada"	"EG.5*"
"XBB.1.16*"	0.02063245	0.01237	0.02889	154	"Quebec"	"EG.5.1.1"
"EG.5.1.4"	0.02061448	0.01395	0.02727	157	"Alberta"	"EG.5*"
"DV.7.1*"	0.02039462	0.01722	0.02357	678	"Canada"	"EG.5.1.1"
"DV*"	0.02030438	0.01713	0.02347	679	"Canada"	"EG.5.1.1"
"XBB.1.41.1"	0.02025812	0.00311	0.03741	17	"Ontario"	"EG.5*"
"EG.5.1.6"	0.02013595	0.00581	0.03446	24	"Quebec"	"EG.5*"
"GK*"	0.0200022	0.00738	0.03262	54	"Nova Scotia"	"EG.5.1.1"
"HK.3.3"	0.01988523	0.00811	0.03166	37	"Canada"	"EG.5*"
"XBB.1.16.17"	0.01972757	0.00276	0.03669	20	"Alberta"	"EG.5*"
"EG.5.2.1"	0.01933261	0.01071	0.02795	70	"Canada"	"EG.5*"
"FY.5"	0.01931166	0.00423	0.03439	25	"Alberta"	"EG.5*"
"XBB.1.5.70"	0.01893036	0.00134	0.03652	15	"Quebec"	"EG.5*"
"DV.7.1*"	0.01891531	0	0.04267	11	"Nova Scotia"	"EG.5.1.1"
"DV*"	0.01891531	0	0.04267	11	"Nova Scotia"	"EG.5.1.1"
"FY.1*"	0.01886065	0.00023	0.03749	16	"Alberta"	"EG.5.1.1"
"XBB.1.16.6"	0.01881252	0.00593	0.03169	33	"Quebec"	"EG.5*"
"XBB.1.5*"	0.01862852	0.01102	0.02624	147	"Quebec"	"EG.5.1.1"
"HF.1"	0.0185465	0.00085	0.03624	14	"Quebec"	"EG.5*"
"HF.1*"	0.0185465	0.00085	0.03624	14	"Quebec"	"EG.5.1.1"
"XBB.1.42.1"	0.01853399	0.00577	0.0313	31	"Ontario"	"EG.5*"
"DV.7.1"	0.01837137	0.01497	0.02177	551	"Canada"	"EG.5*"
"EG.5.1.9"	0.01828647	0.00941	0.02717	66	"Canada"	"EG.5*"
"FL.15.1*"	0.01828161	0.00983	0.02674	72	"Canada"	"EG.5.1.1"
"GA.4.1"	0.01827345	0.00633	0.03022	41	"Alberta"	"EG.5*"
"GK*"	0.01814722	0.00302	0.03327	39	"New Brunswick"	"EG.5.1.1"
"CH.1.1*"	0.01812539	0.01442	0.02183	552	"Ontario"	"EG.5.1.1"
"HC*"	0.01812343	0.00169	0.03456	18	"Ontario"	"EG.5.1.1"
"JG*"	0.01803511	0.01592	0.02015	2039	"Canada"	"EG.5.1.1"
"HF.1*"	0.01771018	0.008	0.02742	54	"Ontario"	"EG.5.1.1"
"GK.2"	0.0174528	0	0.03659	13	"Quebec"	"EG.5*"
"JF.1"	0.01743404	0.01424	0.02062	670	"Canada"	"EG.5*"
"GK.1*"	0.01740454	0.0126	0.02221	285	"Ontario"	"EG.5.1.1"
"GA*"	0.01731792	0.00558	0.02906	42	"Alberta"	"EG.5.1.1"
"EG.6.1.1"	0.01729407	0.00879	0.0258	71	"Canada"	"EG.5*"
"EG.5.1.6"	0.01718716	0.01156	0.02282	178	"Ontario"	"EG.5*"
"HK.2"	0.01700485	0	0.04023	12	"British Columbia"	"EG.5*"
"DV.7.1.2"	0.01687992	0.00597	0.02779	43	"Ontario"	"EG.5*"
"GK.1.1"	0.01686036	0.00815	0.02557	104	"British Columbia"	"EG.5*"
"JF.1"	0.01685994	0.00793	0.02579	78	"Alberta"	"EG.5*"
"GK.1*"	0.0167842	0.00853	0.02504	120	"British Columbia"	"EG.5.1.1"
"FL.4.9"	0.0166921	0.00255	0.03083	25	"Canada"	"EG.5*"
"HV*"	0.01655912	0.00753	0.02559	251	"New Brunswick"	"EG.5.1.1"
"GS*"	0.01631363	0.00417	0.02846	46	"British Columbia"	"EG.5.1.1"
"JD.1.1.2"	0.01611315	0.00445	0.02778	37	"Canada"	"EG.5*"
"GK.1.1"	0.01602884	0	0.03516	23	"New Brunswick"	"EG.5*"
"JG*"	0.0160045	0.01098	0.02102	308	"Alberta"	"EG.5.1.1"
"GK.1*"	0.01587196	0.01267	0.01907	629	"Canada"	"EG.5.1.1"
"XBB.1.41*"	0.01534678	0	0.03752	13	"British Columbia"	"EG.5.1.1"
"DV.7.1.2"	0.01533236	0.0072	0.02346	78	"Canada"	"EG.5*"
"JF*"	0.01526426	0.01035	0.02018	541	"British Columbia"	"EG.5.1.1"
"FY.5"	0.01510994	0.00703	0.02319	78	"Canada"	"EG.5*"
"GK.1.1"	0.01497838	0.00049	0.02947	32	"Nova Scotia"	"EG.5*"
"HK.3"	0.01497796	0.00393	0.02602	132	"New Brunswick"	"EG.5*"
"DV.7.1*"	0.01486118	0	0.03108	25	"British Columbia"	"EG.5.1.1"
"DV*"	0.01486118	0	0.03108	25	"British Columbia"	"EG.5.1.1"
"HN*"	0.01485871	0.00377	0.02595	55	"Quebec"	"EG.5.1.1"
"HC.2"	0.01481401	0	0.03055	20	"Canada"	"EG.5*"
"CH.1.1*"	0.01472766	0.01181	0.01765	782	"Canada"	"EG.5.1.1"
"JE.1*"	0.01448745	0.0059	0.02308	68	"Canada"	"EG.5.1.1"
"GK.3.1"	0.01424705	0.0088	0.01969	183	"Canada"	"EG.5*"
"GK.1*"	0.01418095	0.00031	0.02806	36	"Nova Scotia"	"EG.5.1.1"
"FL.1.5*"	0.01416173	0.0037	0.02462	65	"Quebec"	"EG.5.1.1"
"FL.1*"	0.01416173	0.0037	0.02462	65	"Quebec"	"EG.5.1.1"
"DV.7.1.2"	0.01398678	0	0.03233	14	"Quebec"	"EG.5*"
"JF.1"	0.0139475	0.00865	0.01924	221	"Ontario"	"EG.5*"
"EG.5.1"	0.01344742	0.0032	0.02369	64	"Quebec"	"EG.5*"
"FY*"	0.01332835	0.00256	0.0241	48	"Alberta"	"EG.5.1.1"
"XBB.1.22*"	0.01332835	0.00256	0.0241	48	"Alberta"	"EG.5.1.1"
"BA.2.86.1"	0.01316953	0	0.03575	14	"New Brunswick"	"EG.5*"
"EG.5.1.6"	0.0129857	0.00704	0.01893	297	"British Columbia"	"EG.5*"
"GS*"	0.01297728	0.00526	0.02069	87	"Ontario"	"EG.5.1.1"
"GS.4*"	0.0129453	0.00678	0.01911	138	"Canada"	"EG.5.1.1"
"JD.1.1.2"	0.01285551	0	0.02875	21	"Alberta"	"EG.5*"
"GK.3*"	0.01280996	0.00754	0.01808	196	"Canada"	"EG.5.1.1"
"JD.1.2"	0.01266747	0	0.02564	30	"Ontario"	"EG.5*"
"CH.1.1*"	0.01256135	0	0.03276	15	"Nova Scotia"	"EG.5.1.1"
"XBB.1.16.11"	0.01232324	0.0001	0.02455	36	"Alberta"	"EG.5*"
"JF*"	0.0122743	0.00717	0.01738	325	"Alberta"	"EG.5.1.1"
"EG.5.1.4"	0.0122528	0	0.03179	12	"Quebec"	"EG.5*"
"JJ*"	0.0122528	0	0.03179	12	"Quebec"	"EG.5.1.1"
"XBB.1.5*"	0.01217505	0.0095	0.01486	1415	"Ontario"	"EG.5.1.1"
"EG.5.1.3"	0.01214919	0	0.02646	39	"Nova Scotia"	"EG.5*"
"HC*"	0.01199616	0	0.02634	24	"Canada"	"EG.5.1.1"
"GK.1.1"	0.01194953	0.00838	0.01552	471	"Canada"	"EG.5*"
"GK.2.1"	0.01186618	0.00139	0.02234	46	"Canada"	"EG.5*"
"FY.1.2"	0.01181432	0	0.03106	14	"Alberta"	"EG.5*"
"GK.1.3"	0.01169524	0	0.02552	26	"Canada"	"EG.5*"
"JE.1"	0.01168774	0	0.0264	24	"Alberta"	"EG.5*"
"XBB.1.41*"	0.01168639	0	0.02742	20	"Ontario"	"EG.5.1.1"
"XBB.1.5*"	0.01167389	0	0.0313	28	"Newfoundland and Labrador"	"EG.5.1.1"
"GK*"	0.01154839	0.00783	0.01527	570	"Ontario"	"EG.5.1.1"
"JD.1.2"	0.01150873	0	0.02402	32	"Canada"	"EG.5*"
"GK*"	0.01142183	0.00463	0.01822	185	"British Columbia"	"EG.5.1.1"
"GK*"	0.01138455	0.00883	0.01394	1115	"Canada"	"EG.5.1.1"
"HK.3*"	0.0112712	0.00072	0.02182	158	"New Brunswick"	"EG.5.1.1"
"FY.5"	0.01089551	0	0.02688	26	"British Columbia"	"EG.5*"
"GS.4*"	0.01074085	0.00145	0.02003	59	"Ontario"	"EG.5.1.1"
"EG.5.1"	0.01069075	0.00752	0.01386	818	"Ontario"	"EG.5*"
"GS*"	0.01067339	0.00545	0.01589	196	"Canada"	"EG.5.1.1"
"FY.1*"	0.01066517	0	0.02246	36	"Canada"	"EG.5.1.1"
"GN.1*"	0.01047119	0	0.03017	13	"Alberta"	"EG.5.1.1"
"XBB.1.16.6"	0.01035358	0.00486	0.01585	247	"Alberta"	"EG.5*"
"JJ*"	0.01033899	0.00648	0.0142	478	"Ontario"	"EG.5.1.1"
"FL.1.5.1"	0.01031387	0	0.02209	46	"Quebec"	"EG.5*"
"EG.5.1.4"	0.0102958	0	0.02493	39	"New Brunswick"	"EG.5*"
"JJ*"	0.0102958	0	0.02493	39	"New Brunswick"	"EG.5.1.1"
"XBB.1.16.6"	0.01029079	0.00462	0.01596	293	"British Columbia"	"EG.5*"
"FL.15*"	0.0102319	0.00353	0.01693	120	"Ontario"	"EG.5.1.1"
"EG.5.1.6"	0.01014008	0.00407	0.01621	179	"Alberta"	"EG.5*"
"EG.5.1.6"	0.01012971	0.00729	0.01297	835	"Canada"	"EG.5*"
"XBB.1.16.11"	0.01007171	0	0.02191	50	"British Columbia"	"EG.5*"
"DV.7.1"	0.00991727	0	0.02744	22	"British Columbia"	"EG.5*"
"XBB.1.16.17"	0.00972683	0.00231	0.01714	93	"Canada"	"EG.5*"
"GZ.1"	0.00953036	0	0.02367	25	"Ontario"	"EG.5*"
"XBB.1.5*"	0.00946102	0.00484	0.01408	527	"British Columbia"	"EG.5.1.1"
"GK.3.1"	0.00936788	0.00292	0.01582	139	"Ontario"	"EG.5*"
"GK.3*"	0.00936788	0.00292	0.01582	139	"Ontario"	"EG.5.1.1"
"EG.5.1.4"	0.00928617	0.00538	0.01319	457	"Ontario"	"EG.5*"
"HR.1"	0.00923	0.00239	0.01607	121	"Ontario"	"EG.5*"
"GE.1.1"	0.00919479	0	0.02462	21	"Ontario"	"EG.5*"
"JJ*"	0.00914753	0.00647	0.01182	903	"Canada"	"EG.5.1.1"
"XBB.1.41.1"	0.00910994	0	0.02163	32	"Canada"	"EG.5*"
"FL.4*"	0.00908467	0	0.02233	29	"Canada"	"EG.5.1.1"
"JG*"	0.00872326	0.00336	0.01408	395	"British Columbia"	"EG.5.1.1"
"GZ.1"	0.00867448	0	0.02254	26	"Canada"	"EG.5*"
"HR.1"	0.00861888	0.00323	0.01401	186	"Canada"	"EG.5*"
"XBB.1.5*"	0.00861539	0.00683	0.01041	3029	"Canada"	"EG.5.1.1"
"EG.5.1.3"	0.00857083	0	0.02288	25	"Quebec"	"EG.5*"
"FL.1.5*"	0.0085669	0.00411	0.01303	520	"Alberta"	"EG.5.1.1"
