"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"reference"
"JD.1.1.3"	0.12495197	0.06873	0.18117	15	"Canada"	"EG.5*"
"JN.1"	0.11222413	0.078	0.14645	63	"Quebec"	"EG.5*"
"JN.1"	0.11027474	0.09912	0.12143	416	"Canada"	"EG.5*"
"JN.1"	0.10888452	0.08859	0.12918	141	"Alberta"	"EG.5*"
"JN.1"	0.10772418	0.09029	0.12516	178	"Ontario"	"EG.5*"
"JN*"	0.10505169	0.07515	0.13495	71	"Quebec"	"EG.5.1.1"
"BA.2.86*"	0.10505169	0.07515	0.13495	71	"Quebec"	"EG.5.1.1"
"JN*"	0.08867493	0.07058	0.10677	69	"British Columbia"	"EG.5.1.1"
"JG*"	0.08828425	0.03291	0.14365	20	"Newfoundland and Labrador"	"EG.5.1.1"
"BA.2.86.1"	0.08600945	0.06224	0.10978	32	"British Columbia"	"EG.5*"
"BA.2.86*"	0.08254819	0.06601	0.09908	71	"British Columbia"	"EG.5.1.1"
"JN.2"	0.07629239	0.05054	0.10205	21	"British Columbia"	"EG.5*"
"JG.3"	0.07354193	NA	NA	25	"Nova Scotia"	"EG.5*"
"JN*"	0.07345194	0.06494	0.08197	300	"Ontario"	"EG.5.1.1"
"BA.2.86*"	0.07282076	0.0644	0.08124	301	"Ontario"	"EG.5.1.1"
"JD.1.1.1"	0.06960399	0.05882	0.08039	146	"Ontario"	"EG.5*"
"JD.1.1.1"	0.06903163	0.05996	0.0781	187	"Canada"	"EG.5*"
"JD.1.1*"	0.06701511	0.04446	0.08957	29	"Quebec"	"EG.5.1.1"
"JD.1*"	0.06701511	0.04446	0.08957	29	"Quebec"	"EG.5.1.1"
"JG.3"	0.06545669	0.05169	0.07922	96	"Alberta"	"EG.5*"
"JN*"	0.06509426	0.06041	0.06978	806	"Canada"	"EG.5.1.1"
"JD.1.1"	0.06502623	0.04254	0.08751	27	"Quebec"	"EG.5*"
"BA.2.86*"	0.0643885	0.05976	0.06901	810	"Canada"	"EG.5.1.1"
"GK.2*"	0.06051536	0.02663	0.0944	15	"Nova Scotia"	"EG.5.1.1"
"HK.3.2"	0.05922909	0.05267	0.06578	289	"Canada"	"EG.5*"
"JD.1.1*"	0.05843601	0.05208	0.06479	366	"Ontario"	"EG.5.1.1"
"DV.7.1.1"	0.05792228	0.04146	0.07438	40	"Ontario"	"EG.5*"
"HK.3.2"	0.05787461	0.0503	0.06545	224	"Ontario"	"EG.5*"
"JN.3"	0.05742246	0.03572	0.07912	22	"Ontario"	"EG.5*"
"DV.7.1.1"	0.05651998	0.04165	0.07139	45	"Canada"	"EG.5*"
"JD.1.1.1"	0.0553379	0.03507	0.0756	30	"Alberta"	"EG.5*"
"JN.3"	0.05499549	0.03695	0.07304	29	"Canada"	"EG.5*"
"JG.3"	0.05443848	0.05025	0.05863	777	"Canada"	"EG.5*"
"JG.3"	0.0542872	0.04894	0.05963	549	"Ontario"	"EG.5*"
"FL.15.1.1"	0.05395736	0.03561	0.0723	28	"Ontario"	"EG.5*"
"HK.3*"	0.05332543	0.03893	0.06772	65	"Quebec"	"EG.5.1.1"
"JD.1*"	0.05309	0.04738	0.0588	406	"Ontario"	"EG.5.1.1"
"GJ.1.2*"	0.05279831	0.02497	0.08063	20	"Nova Scotia"	"EG.5.1.1"
"GJ.1*"	0.05279831	0.02497	0.08063	20	"Nova Scotia"	"EG.5.1.1"
"HV.1"	0.05224177	0.04899	0.0555	3178	"Ontario"	"EG.5*"
"JD.1.1"	0.05191639	0.04483	0.059	217	"Ontario"	"EG.5*"
"JG.3"	0.05021685	0.0331	0.06734	30	"British Columbia"	"EG.5*"
"BA.2.86.1"	0.05001646	0.03572	0.06431	42	"Ontario"	"EG.5*"
"BA.2.86.1"	0.04997055	0.04166	0.05828	128	"Canada"	"EG.5*"
"HK.3"	0.04984383	0.03253	0.06715	72	"Nova Scotia"	"EG.5*"
"HK.3*"	0.04984383	0.03253	0.06715	72	"Nova Scotia"	"EG.5.1.1"
"JN.1"	0.04920667	NA	NA	14	"British Columbia"	"EG.5*"
"HK.3"	0.04901326	0.03422	0.06381	50	"Quebec"	"EG.5*"
"FL.1.5.2"	0.04884376	0.01276	0.08492	11	"New Brunswick"	"EG.5*"
"HV*"	0.0487605	0.04568	0.05184	3356	"Ontario"	"EG.5.1.1"
"JG.3"	0.04837085	0.03199	0.06475	33	"Quebec"	"EG.5*"
"HK.3.2"	0.04836456	0.03215	0.06458	41	"Alberta"	"EG.5*"
"JN*"	0.04808157	0.0412	0.05496	318	"Alberta"	"EG.5.1.1"
"BA.2.86*"	0.0478784	0.04103	0.05473	319	"Alberta"	"EG.5.1.1"
"HK.3*"	0.04787455	0.04039	0.05536	244	"British Columbia"	"EG.5.1.1"
"JN.2"	0.0475801	0.03574	0.05942	58	"Ontario"	"EG.5*"
"HV.1"	0.04738788	0.03779	0.05699	187	"Quebec"	"EG.5*"
"HV.1"	0.04702258	0.04202	0.05202	1494	"British Columbia"	"EG.5*"
"GA.4.1"	0.04643189	0.03256	0.0603	41	"Ontario"	"EG.5*"
"JG.3"	0.04627633	0.02432	0.06824	33	"New Brunswick"	"EG.5*"
"HK.3"	0.04609257	0.03836	0.05382	210	"British Columbia"	"EG.5*"
"JD.1.1.3"	0.04556194	0.022	0.06913	14	"British Columbia"	"EG.5*"
"HV.1"	0.04491838	0.04287	0.04696	7107	"Canada"	"EG.5*"
"HK.3.1"	0.04420029	0.02562	0.06278	22	"British Columbia"	"EG.5*"
"FL.1.5.2"	0.04366343	0.03078	0.05655	64	"Alberta"	"EG.5*"
"HV*"	0.0434932	0.03462	0.05237	211	"Quebec"	"EG.5.1.1"
"FL.15*"	0.04312755	0.02086	0.0654	14	"British Columbia"	"EG.5.1.1"
"JD.1.1*"	0.04311837	0.03958	0.04666	819	"Canada"	"EG.5.1.1"
"EG.5.1.8"	0.04256755	0.0272	0.05794	39	"Alberta"	"EG.5*"
"GJ*"	0.04247713	0.01851	0.06644	21	"Nova Scotia"	"EG.5.1.1"
"JN.2"	0.04225434	0.03649	0.04801	233	"Canada"	"EG.5*"
"JD.1.1"	0.04221611	0.02095	0.06348	25	"Nova Scotia"	"EG.5*"
"HV.1"	0.04177944	0.01993	0.06363	38	"Newfoundland and Labrador"	"EG.5*"
"JD.1*"	0.04157724	0.03816	0.045	862	"Canada"	"EG.5.1.1"
"JD.1.1"	0.04126526	0.00816	0.07437	11	"New Brunswick"	"EG.5*"
"HF.1.1"	0.04100415	0.02455	0.05746	25	"Ontario"	"EG.5*"
"EG.6.1.1"	0.04098656	0.02124	0.06073	22	"Alberta"	"EG.5*"
"HV*"	0.04096451	0.01928	0.06265	39	"Newfoundland and Labrador"	"EG.5.1.1"
"GA.4.1"	0.04089208	0.01682	0.06496	12	"British Columbia"	"EG.5*"
"GA*"	0.04089208	0.01682	0.06496	12	"British Columbia"	"EG.5.1.1"
"EG.5.1.8"	0.04062398	0.02034	0.0609	17	"British Columbia"	"EG.5*"
"JN*"	0.04020773	0.01281	0.06761	12	"Nova Scotia"	"EG.5.1.1"
"BA.2.86*"	0.04020773	0.01281	0.06761	12	"Nova Scotia"	"EG.5.1.1"
"HV*"	0.03999758	0.03546	0.04454	1791	"British Columbia"	"EG.5.1.1"
"JF.1"	0.03986758	0.02614	0.0536	48	"Quebec"	"EG.5*"
"GS.3"	0.0397599	0.02123	0.05829	19	"Ontario"	"EG.5*"
"HV*"	0.03963205	0.03774	0.04152	7942	"Canada"	"EG.5.1.1"
"FL.1.5.2"	0.039564	0.03381	0.04531	231	"Canada"	"EG.5*"
"HK.3*"	0.03955292	0.03599	0.04311	1241	"Ontario"	"EG.5.1.1"
"HV.1"	0.03866707	0.02735	0.04999	178	"Nova Scotia"	"EG.5*"
"HK.3*"	0.03844728	0.03587	0.04102	2032	"Canada"	"EG.5.1.1"
"HV.1"	0.03838706	0.03412	0.04265	1592	"Alberta"	"EG.5*"
