"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"XBB.1.18.1.1*"	0.60748101	0.38693	0.82803	16	"British Columbia"
"XBB.2.3.5"	0.46114559	0.2227	0.69959	12	"Ontario"
"XBB.1.5.2"	0.44516207	NA	NA	21	"British Columbia"
"XBB.1.16.3"	0.35853994	0.24625	0.47083	41	"Ontario"
"XBB.1.5.20"	0.11988209	0.07227	0.16749	31	"British Columbia"
"XBB.1.16"	0.11152579	0.05693	0.16613	21	"British Columbia"
"XBB.1.18.1*"	0.10815701	0.05054	0.16577	19	"British Columbia"
"XBB.1.16.1"	0.10641559	0.06889	0.14394	24	"Quebec"
"XBB.1.16.3"	0.1017849	0.07939	0.12418	45	"Canada"
"XBB.2.3.5"	0.10097738	0.06045	0.14151	13	"Canada"
"XBB.1.5.19"	0.10021337	0.03861	0.16182	14	"British Columbia"
"XBB.1.5.7"	0.09953457	0.03348	0.16559	12	"British Columbia"
"XBB.1.16"	0.09385434	0.07437	0.11334	89	"Alberta"
"XBB.1.16*"	0.09346647	0.053	0.13393	30	"British Columbia"
"XBB.1.5.44"	0.09203671	0.05446	0.12961	16	"Ontario"
"XBB.1.16*"	0.08660996	0.07024	0.10298	115	"Alberta"
"XBB.1.16.1"	0.08589858	0.06917	0.10263	73	"Ontario"
"XBB.1.9.1.1*"	0.08588247	0.0583	0.11347	21	"Canada"
"XBB.1.16.1*"	0.08354504	0.06777	0.09932	78	"Ontario"
"XBB.1.16.1*"	0.08059393	0.05357	0.10761	27	"Quebec"
"XBB.1.16*"	0.07968189	0.06766	0.0917	148	"Quebec"
"XBB.1.16"	0.07913936	0.06497	0.0933	101	"Quebec"
"XBB.1.16"	0.07850609	0.06727	0.08974	141	"Ontario"
"XBB.1.5.4"	0.07739022	0.03862	0.11616	12	"Quebec"
"XBB.1.5.44"	0.0767474	0.05004	0.10345	19	"Canada"
"FL.5"	0.0738077	0.05448	0.09314	46	"Quebec"
"FD.1.1"	0.07283961	0.05361	0.09207	40	"Ontario"
"XBB.1.5.15.1*"	0.07283961	0.05361	0.09207	40	"Ontario"
"XBB.1.5.47"	0.07136262	0.05759	0.08514	78	"Ontario"
"XBB.1.16.1"	0.06915328	0.05928	0.07902	126	"Canada"
"XBB.2.3.2"	0.06912748	0.0471	0.09115	24	"Canada"
"FE.1.2"	0.06863385	0.04442	0.09285	23	"Ontario"
"XBB.1.16*"	0.06854034	0.06187	0.07521	343	"Ontario"
"XBB.2.3*"	0.06726544	0.04895	0.08558	39	"Ontario"
"XBB.1.16"	0.06703993	0.06125	0.07283	381	"Canada"
"XBB.1.16.1*"	0.06655314	0.05725	0.07585	135	"Canada"
"XBB.1.5.37"	0.0651964	0.04318	0.08721	28	"Quebec"
"XBB.1.5.69"	0.06491012	0.021	0.10882	16	"British Columbia"
"XBB.2.3.3"	0.06483438	0.03845	0.09122	25	"Alberta"
