"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"XBB.1.9.2.5.1*"	0.14752028	0.08932	0.20572	13	"Ontario"
"EG.1.3"	0.14268249	0.10042	0.18495	24	"Ontario"
"XBB.2.3.11"	0.11890224	0.06873	0.16907	11	"Ontario"
"XBB.1.9.2.5.1*"	0.11636191	0.08628	0.14644	25	"Canada"
"XBB.1.9.2.5*"	0.11634539	0.0944	0.13829	66	"Ontario"
"XBB.2.3.3.1*"	0.10985553	0.07756	0.14215	19	"Canada"
"GJ.1"	0.10981311	0.07669	0.14293	18	"Canada"
"EG.5.2"	0.10960889	0.08675	0.13247	53	"Ontario"
"XBB.1.5.72"	0.10888285	0.06854	0.14923	12	"Canada"
"FL.5"	0.10462359	0.08534	0.1239	67	"Ontario"
"XBB.2.3.5"	0.10461922	0.0798	0.12944	39	"Ontario"
"XBB.1.16.9"	0.10333339	0.06977	0.13689	16	"Canada"
"XBB.1.16.9"	0.10129178	0.05825	0.14433	12	"Quebec"
"EY.1"	0.09732117	0.05836	0.13629	22	"British Columbia"
"XBB.1.9*"	0.09520535	0.01409	0.17633	11	"New Brunswick"
"XBB.1.9.1*"	0.09520535	0.01409	0.17633	11	"New Brunswick"
"XBB.1.9.2.5*"	0.09358912	0.07898	0.1082	79	"Canada"
"EG.6.1"	0.09164361	0.07447	0.10882	48	"Canada"
"XBB.2.3.11"	0.09156898	0.04194	0.1412	12	"British Columbia"
"XBB.2.3.3*"	0.08916353	0.05046	0.12786	11	"Ontario"
"XBB.2.3.3*"	0.08750965	0.05469	0.12033	16	"Quebec"
"EG.1.4"	0.08704737	0.05939	0.11471	38	"British Columbia"
"EG.6.1"	0.08411491	0.06295	0.10528	35	"Ontario"
"XBB.2.3.2"	0.08405359	0.04913	0.11898	22	"British Columbia"
"EG.5.2"	0.08384851	0.06792	0.09977	54	"Canada"
"CH.1.1.29"	0.08125871	NA	NA	21	"Newfoundland and Labrador"
"XBB.1.16.3"	0.08074116	0.06545	0.09603	66	"Ontario"
"XBB.2.3.3"	0.08007237	0.04636	0.11379	13	"Quebec"
"XBB.2.3*"	0.07966652	0.06753	0.0918	105	"Ontario"
"XBB.1.16"	0.07913502	0.07191	0.08636	343	"Ontario"
"XBB.2*"	0.07817117	0.0663	0.09004	106	"Ontario"
"XBB.1.16.1"	0.0770333	0.0584	0.09567	43	"Quebec"
"XBB.2.3.5"	0.07663354	0.05946	0.09381	40	"Canada"
"XBB.1.5.28"	0.07504709	0.05018	0.09992	18	"Canada"
"XBB.1.16.6"	0.07297351	0.04635	0.0996	15	"Canada"
"XBB.1.5.37"	0.07144084	0.05169	0.09119	30	"Ontario"
"XBB.1.9.2.1*"	0.07088005	0.05437	0.08739	43	"Ontario"
"XBB.1.16.1*"	0.07082556	0.05447	0.08718	49	"Quebec"
"XBB.1.9.2*"	0.0704998	0.06215	0.07885	191	"Ontario"
"XBB.1.16*"	0.06902563	0.06085	0.0772	235	"Quebec"
"XBB.1.16.1"	0.06900532	0.05921	0.0788	127	"Ontario"
"XBB.1.16.1*"	0.06748297	0.05806	0.0769	133	"Ontario"
"XBB.1.16"	0.06632437	NA	NA	42	"Nova Scotia"
"XBB.1.5.86"	0.06620494	0.04685	0.08556	27	"Ontario"
"XBB.1.16"	0.0656972	0.05609	0.0753	142	"Quebec"
"EU.1.1"	0.06511069	0.04526	0.08496	26	"Ontario"
"XBB.1.5.26.1.1*"	0.06511069	0.04526	0.08496	26	"Ontario"
"XBB.2.3.2"	0.06497514	0.03496	0.09499	11	"Ontario"
"XBB.1.5.26.1*"	0.06494436	0.04549	0.0844	27	"Ontario"
"XBB.1.9*"	0.06482764	0.03755	0.09211	19	"Newfoundland and Labrador"
"XBB.1.9.2"	0.06459272	0.04653	0.08265	29	"Alberta"
"XBB.1.22.1*"	0.0643404	0.0439	0.08478	22	"Canada"
"FE.1.1"	0.06424872	0.03775	0.09074	13	"Canada"
"XBB.1.16*"	0.06421364	0.05951	0.06892	636	"Ontario"
"XBB.2.3.11"	0.064119	0.04559	0.08264	27	"Canada"
"XBB.1.5.73"	0.06408729	0.04068	0.0875	18	"Ontario"
"FL.3"	0.06393662	0.03898	0.08889	17	"Quebec"
"XBB.1.5.4"	0.06355441	0.03985	0.08726	19	"Quebec"
"XBB.1.9.1.1*"	0.06349957	0.04816	0.07884	39	"Canada"
"XBB.1.16"	0.06331928	0.05972	0.06691	996	"Canada"
"XBB.1.16"	0.0628014	NA	NA	11	"Newfoundland and Labrador"
"XBB.1.16*"	0.06267653	NA	NA	12	"Newfoundland and Labrador"
"CH.1.1.29"	0.06221107	0.04437	0.08005	28	"Canada"
"XBB.1.5.61"	0.06175225	0.04038	0.08312	41	"British Columbia"
"XBB.1.9.2"	0.06158447	0.02457	0.0986	13	"British Columbia"
"XBB.1.16"	0.06119627	0.05297	0.06942	227	"Alberta"
"XBB.1.16"	0.06085863	0.05014	0.07158	185	"British Columbia"
"XBB.1.16.3"	0.06083137	0.04961	0.07205	72	"Canada"
"XBB.1.5.26*"	0.06079169	0.04249	0.0791	28	"Ontario"
"XBB.1.16*"	0.06058196	0.05314	0.06802	303	"Alberta"
"XBB.1.9.1.3*"	0.06038831	0.0426	0.07818	32	"Quebec"
"XBB.1.16*"	0.05992099	0.03678	0.08306	54	"Nova Scotia"
"XBB.1.16*"	0.05923275	0.05632	0.06215	1524	"Canada"
"XBB.1.5.25"	0.05910259	0.03086	0.08735	12	"Quebec"
"XBB.2.3"	0.05814413	0.03555	0.08074	17	"Ontario"
"XBB.1.5.73"	0.05697891	0.03131	0.08265	14	"Quebec"
"XBB.1.16.1"	0.05692379	0.05057	0.06328	223	"Canada"
"XBB.1.9.1.1*"	0.05652553	0.03568	0.07737	21	"Quebec"
"XBB.1.16.2"	0.05624604	0.04119	0.0713	38	"Alberta"
"FL.3.1"	0.05623895	0.03077	0.08171	14	"Quebec"
"XBB.1.16.1*"	0.05609024	0.05003	0.06215	242	"Canada"
"XBB.2.3.3*"	0.0559361	0.04669	0.06518	96	"Canada"
"XBB.1.16*"	0.05575956	0.04624	0.06528	220	"British Columbia"
"XBB.1.5.44"	0.05562032	0.03564	0.0756	21	"Ontario"
"XBB.1.22*"	0.05525938	0.03784	0.07268	26	"Canada"
"XBB.1.16.2"	0.05489274	0.0314	0.07838	16	"Quebec"
"XBB.2.3.2"	0.05478711	0.04484	0.06474	82	"Canada"
"XBB.2.3*"	0.05468942	0.04312	0.06626	70	"Quebec"
"XBB.1.9.2*"	0.05341609	0.04142	0.06542	57	"Alberta"
"FL.5"	0.05274682	0.04611	0.05939	185	"Canada"
"XBB.1.5.4"	0.05253958	0.03179	0.07329	37	"British Columbia"
"FD.1.1"	0.05222359	0.03997	0.06448	54	"Ontario"
"XBB.1.5.15.1*"	0.05222359	0.03997	0.06448	54	"Ontario"
"FL.5"	0.05149142	0.03869	0.0643	53	"Quebec"
"XBB.1.5.25"	0.05123821	0.029	0.07348	15	"Canada"
"XBB.2*"	0.05103908	0.04014	0.06194	73	"Quebec"
"XBB.2.3.2"	0.05047555	0.03277	0.06818	26	"Quebec"
"FL.2"	0.05032394	0.03154	0.06911	23	"Quebec"
"XBB.1.9.1*"	0.05019891	0.02685	0.07354	23	"Nova Scotia"
"XBB.2.3*"	0.04998097	0.04552	0.05444	414	"Canada"
"FH.1"	0.04963874	0.02836	0.07092	16	"Canada"
"FL.3.1"	0.04949894	0.02157	0.07743	19	"British Columbia"
"XBB.1.9.2*"	0.04933527	0.04538	0.05329	531	"Canada"
"XBB.1.5.44"	0.04898431	0.03168	0.06629	24	"Canada"
"XBB.2.3*"	0.04889229	0.03916	0.05863	87	"Alberta"
"XBB.1.5.78"	0.04876446	0.02516	0.07236	14	"Quebec"
"XBB.1.9.1.2*"	0.04874807	0.03133	0.06617	26	"Quebec"
"XBB.2*"	0.04868245	0.0443	0.05306	420	"Canada"
"XBB.1.9.2"	0.04863179	0.04147	0.05579	144	"Canada"
"XBB.2.3.3"	0.04792443	0.03827	0.05758	77	"Canada"
"XBB.1.16"	0.04783823	0.0237	0.07198	17	"Manitoba"
"XBB.2*"	0.04720745	0.03768	0.05673	88	"Alberta"
"XBB.1.9.2"	0.04677048	0.03412	0.05943	48	"Quebec"
"XBB.1.9.1"	0.04670671	0.004	0.08942	15	"Nova Scotia"
"XBB.1.5.62"	0.04654476	0.03196	0.06113	33	"Ontario"
"XBB.1.5.37"	0.04654413	0.03131	0.06178	33	"Quebec"
"EG.1"	0.04635095	0.03446	0.05824	55	"Quebec"
"XBB.1.5.47"	0.04625629	0.03681	0.0557	85	"Ontario"
"XBB.2.3.3*"	0.04620263	0.03461	0.05779	53	"Alberta"
"EU.1.1"	0.04565912	0.03363	0.05769	48	"Canada"
"XBB.1.16*"	0.04522796	0.02352	0.06694	20	"Manitoba"
"XBB.2.3"	0.04503991	0.02314	0.06694	15	"Quebec"
"XBB.1.5.13"	0.04499817	0.03032	0.05968	67	"British Columbia"
"XBB.1.9.2*"	0.044925	0.03343	0.05642	114	"British Columbia"
"XBB.1.5.26.1*"	0.04488155	0.03359	0.05618	54	"Canada"
"XBB.1.5.26.1.1*"	0.04475109	0.03336	0.05614	53	"Canada"
"EG.1.3"	0.04467988	0.03224	0.05712	44	"Canada"
"XBB.1.9.1"	0.04467196	0.03395	0.05539	131	"British Columbia"
"FK.1"	0.04467054	0.02347	0.06587	15	"Canada"
"XBB.1.9.2"	0.04458606	0.03141	0.05776	40	"Ontario"
"XBB.1.9.1.3*"	0.04456769	0.02113	0.06801	25	"British Columbia"
"XBB.1.9.2.1*"	0.04452447	0.03122	0.05783	82	"British Columbia"
"XBB.1.9*"	0.04447412	0.04067	0.04827	583	"Ontario"
"XBB.1.5.37"	0.0439924	0.03501	0.05298	85	"Canada"
"XBB.1.18.1*"	0.04397619	0.03216	0.05579	52	"Quebec"
"FL.4"	0.04324082	0.03421	0.05228	85	"Ontario"
"XBB.1.9.1.4*"	0.04324082	0.03421	0.05228	85	"Ontario"
"EG.1"	0.04292375	0.02246	0.06339	16	"Ontario"
"XBB.1.9.1.2*"	0.04274023	0.0323	0.05318	61	"Canada"
"XBB.1.9.1.3*"	0.04265168	0.03294	0.05236	71	"Canada"
"XBB.1.18.1.1*"	0.04257759	0.03057	0.05458	49	"Quebec"
"XBB.1.5.26.1*"	0.04230006	0.02012	0.06448	14	"Quebec"
"XBB.1.5.26.1.1*"	0.04230006	0.02012	0.06448	14	"Quebec"
"XBB.2.3.3"	0.04184696	0.03002	0.05368	47	"Alberta"
"FL.2"	0.04161778	0.0306	0.05263	54	"Canada"
"XBB.1.16.1"	0.04113843	0.01189	0.07039	15	"British Columbia"
"EG.1.4"	0.04081965	0.02853	0.05311	43	"Canada"
"XBB.1.5.26*"	0.04026869	0.03069	0.04985	71	"Canada"
"XBB.1.9.1"	0.03996232	0.03188	0.04804	104	"Ontario"
"XBB.1.9*"	0.0397316	0.03291	0.04655	349	"British Columbia"
