"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"JN.1.18.6"	0.21493409	0.12511	0.30476	23	"Ontario"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.1089474	0.0695	0.1484	41	"British Columbia"	0	"dashed"	"KP.3*"
"XEC"	0.10874121	0.06842	0.14906	39	"British Columbia"	0	"dashed"	"KP.3.1.1"
"MC.3"	0.09771738	0.04621	0.14923	20	"British Columbia"	0	"dashed"	"KP.3.1.1"
"LF.1.1.1"	0.08250174	0.04233	0.12268	26	"British Columbia"	0	"dashed"	"KP.3.1.1"
"LF.1.1*"	0.08250174	0.04233	0.12268	26	"British Columbia"	0	"dashed"	"KP.3*"
"LY*"	0.07453571	0.04657	0.1025	43	"Ontario"	0	"dashed"	"KP.3*"
"XEC"	0.05260395	0.03953	0.06568	150	"Alberta"	0	"dashed"	"KP.3.1.1"
"MC.11"	0.0520372	0.02864	0.07543	28	"New Brunswick"	0	"dashed"	"KP.3.1.1"
"MC.11*"	0.0520372	0.02864	0.07543	28	"New Brunswick"	0	"dashed"	"KP.3*"
"MC.13.1"	0.0493775	0.00995	0.08881	14	"Alberta"	0	"dashed"	"KP.3.1.1"
"XEC"	0.04860188	0.04326	0.05394	596	"Canada"	0	"dashed"	"KP.3.1.1"
"XEC"	0.04801589	0.02857	0.06746	39	"Quebec"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.04801589	0.02857	0.06746	39	"Quebec"	0	"dashed"	"KP.3*"
"XEC*"	0.04737102	0.04213	0.05261	604	"Canada"	0	"dashed"	"KP.3*"
"XEC*"	0.0470475	0.03502	0.05907	155	"Alberta"	0	"dashed"	"KP.3*"
"MC.1"	0.04502717	0.03242	0.05764	134	"Alberta"	0	"dashed"	"KP.3.1.1"
"LB.1.2.2"	0.04175494	0.00462	0.07889	14	"British Columbia"	0	"dashed"	"KP.3.1.1"
"KP.3.2.5"	0.04041266	0.00925	0.07158	18	"Alberta"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.04025652	0.03288	0.04763	350	"Ontario"	0	"dashed"	"KP.3*"
"XEC"	0.0401653	0.03279	0.04754	349	"Ontario"	0	"dashed"	"KP.3.1.1"
"KP.3.3.1"	0.03778267	0.01037	0.0652	24	"British Columbia"	0	"dashed"	"KP.3.1.1"
"KP.3.3.1"	0.0365487	0.00298	0.07011	14	"Alberta"	0	"dashed"	"KP.3.1.1"
"XEC"	0.03511893	0	0.07935	15	"New Brunswick"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.03511893	0	0.07935	15	"New Brunswick"	0	"dashed"	"KP.3*"
"MC.13"	0.03199452	0.01407	0.04991	50	"British Columbia"	0	"dashed"	"KP.3.1.1"
"MC.8"	0.03187523	0.00563	0.05812	21	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.1"	0.03163936	0.01551	0.04776	36	"Quebec"	0	"dashed"	"KP.3.1.1"
"LY.1"	0.03078796	0.00426	0.05731	20	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.13*"	0.03073732	0.01356	0.04791	53	"British Columbia"	0	"dashed"	"KP.3*"
"MC.1"	0.030634	0.02544	0.03583	419	"Canada"	0	"dashed"	"KP.3.1.1"
