"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"KP.1.1.1"	4.85749288	4.371743592	5.343242168	13	"Nova Scotia"	0	"solid"	"JN.1"
"MG*"	4.85749288	4.371743592	5.343242168	13	"Nova Scotia"	0	"solid"	"JN.1*"
"XEE.7*"	3.79998296	0	50.92866	58	"Nova Scotia"	0	"dashed"	"JN.1*"
"KP*"	0.39416749	0	1.12144	254	"Nova Scotia"	0	"dashed"	"JN.1*"
"JN.1.11.1"	0.37136945	0	1.15124	11	"Nova Scotia"	0	"dashed"	"JN.1"
"KP.3*"	0.32470551	0	0.92053	182	"Nova Scotia"	0	"dashed"	"JN.1*"
"KP.2*"	0.30711365	0	1.45355	24	"Newfoundland and Labrador"	0	"dashed"	"JN.1*"
"KP.3.2.3"	0.2856175	0	1.20199	16	"Nova Scotia"	0	"dashed"	"JN.1"
"LW*"	0.2856175	0	1.20199	16	"Nova Scotia"	0	"dashed"	"JN.1*"
"KP.3.2"	0.24801209	0	0.79628	28	"Nova Scotia"	0	"dashed"	"JN.1"
"KP.3.2*"	0.24044414	0	0.78861	49	"Nova Scotia"	0	"dashed"	"JN.1*"
"KP.3.2"	0.23452834	0.211075506	0.257981174	18	"Newfoundland and Labrador"	0	"solid"	"JN.1"
"KP.3.1.4"	0.20469694	0.184227246	0.225166634	22	"Newfoundland and Labrador"	0	"solid"	"JN.1"
"MM*"	0.20469694	0.184227246	0.225166634	22	"Newfoundland and Labrador"	0	"solid"	"JN.1*"
"KP.2.3"	0.20338407	0.183045663	0.223722477	17	"Newfoundland and Labrador"	0	"solid"	"JN.1"
"KP.2.3*"	0.20338407	0.183045663	0.223722477	17	"Newfoundland and Labrador"	0	"solid"	"JN.1*"
"MC*"	0.19649787	0	0.66905	35	"Newfoundland and Labrador"	0	"dashed"	"JN.1*"
"LB.1.3"	0.18027577	0.162248193	0.198303347	14	"Newfoundland and Labrador"	0	"solid"	"JN.1"
