"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"GK.1.1"	0.17560783	0.11747	0.23375	49	"Ontario"
"HK.3"	0.12898836	0.09001	0.16796	83	"Ontario"
"DV.7.1"	0.12892606	0.08811	0.16975	93	"Ontario"
"FL.10.1"	0.11112531	NA	NA	41	"Quebec"
"FL.10*"	0.11112531	NA	NA	41	"Quebec"
"HK.3"	0.10004415	0.07972	0.12036	136	"Canada"
"EG.5.1*"	0.09961377	0.08294	0.11629	272	"Quebec"
"DV.7.1"	0.09948259	0.07676	0.12221	112	"Canada"
"HV.1"	0.0984712	0.08185	0.11509	232	"Canada"
"EG.5.1.3"	0.09779743	NA	NA	17	"Quebec"
"HK*"	0.09672044	0.07927	0.11417	189	"Quebec"
"EG.5.1.1"	0.09668854	0.07923	0.11415	188	"Quebec"
"EG.5*"	0.09609063	0.08021	0.11197	282	"Quebec"
"FL.24"	0.09558549	0.04458	0.14659	12	"Canada"
"GK.1.1"	0.09536185	0.07252	0.1182	82	"Canada"
"HV*"	0.09073579	NA	NA	50	"Nova Scotia"
"HV.1"	0.0881975	0.06471	0.11168	113	"Ontario"
"HN*"	0.08749701	0.06286	0.11214	40	"Quebec"
"FL.1.5.1"	0.08668505	0.06233	0.11104	39	"Quebec"
"EG.5.1"	0.08615773	0.06267	0.10964	42	"Quebec"
"HV*"	0.08583417	0.05159	0.12008	17	"Quebec"
"FL.1.5.1"	0.08348549	0.04282	0.12415	42	"Nova Scotia"
"HN*"	0.08348549	0.04282	0.12415	42	"Nova Scotia"
"FL.1.5*"	0.08348549	0.04282	0.12415	42	"Nova Scotia"
"GK.1*"	0.08285208	NA	NA	12	"Nova Scotia"
"GK.1.1"	0.08228355	NA	NA	11	"Nova Scotia"
"HV.1"	0.08194766	NA	NA	15	"Nova Scotia"
"HV*"	0.08165799	0.06281	0.10051	163	"Ontario"
"XBB.1.22.1"	0.0810221	0.0375	0.12454	12	"Canada"
"GK*"	0.08003909	0.03074	0.12933	17	"Nova Scotia"
"XBB.1.16.6"	0.0793003	0.05237	0.10623	17	"Quebec"
"EG.5.1.6"	0.07920443	0.05013	0.10828	50	"Ontario"
"GK.1*"	0.0788543	0.04948	0.10823	11	"Quebec"
"EG.5.1*"	0.07795502	0.05381	0.1021	160	"Nova Scotia"
"GJ.4"	0.07690362	0.03359	0.12022	18	"Ontario"
"HV*"	0.07656509	0.06691	0.08622	386	"Canada"
"HV.1"	0.0737931	0.01737	0.13022	68	"Alberta"
"EG.5.1.3"	0.07363252	0.02145	0.12582	49	"Alberta"
"EG.5*"	0.07356941	0.05105	0.09609	164	"Nova Scotia"
"XBB.1.22.1"	0.07280631	0.02045	0.12516	11	"Ontario"
"EG.5.1"	0.07258852	0.03915	0.10603	29	"Nova Scotia"
"GK.2"	0.07151653	NA	NA	21	"Alberta"
"EG.6.1"	0.0708056	0.0465	0.09511	46	"British Columbia"
"XBB.1.5.72"	0.07033489	0.04644	0.09423	20	"Quebec"
"FL.1.5*"	0.06978554	0.0464	0.09317	108	"Alberta"
"GJ.1.2.1"	0.06977095	0.04284	0.0967	22	"Canada"
"HV*"	0.06957389	0.03581	0.10334	19	"British Columbia"
"EG.5.1.2"	0.06934565	0.03374	0.10495	12	"Canada"
"EG.10.1"	0.06926661	0.04362	0.09491	25	"Canada"
