"Date"	"Lineage"	"Frequency"	"% Frequency"
2022-03-14	"XBB.1.5.15"	0	"0%"
2022-03-14	"XBB.1.5.17"	0	"0%"
2022-03-14	"XBB.1.5.18"	0	"0%"
2022-03-14	"XBB.1.5.2"	0	"0%"
2022-03-14	"XBB.1.5.20"	0	"0%"
2022-03-14	"XBB.1.5.21"	0	"0%"
2022-03-14	"XBB.1.5.31"	0	"0%"
2022-03-14	"XBB.1.5.32"	0	"0%"
2022-03-14	"XBB.1.5.33"	0	"0%"
2022-03-14	"XBB.1.5.39"	0	"0%"
2022-03-14	"XBB.1.5.7"	0	"0%"
2022-03-14	"XBB.1.5.9"	0	"0%"
2022-03-14	"XBB.1.9.1"	0	"0%"
2022-03-14	"XBF"	0	"0%"
2022-03-14	"XBM"	0	"0%"
2022-03-21	" other lineages"	3	"17%"
2022-03-21	"XAC"	14	"78%"
2022-03-21	"XAQ"	1	"6%"
2022-03-21	"XAZ"	0	"0%"
2022-03-21	"XBB"	0	"0%"
2022-03-21	"XBB.1"	0	"0%"
2022-03-21	"XBB.1.15"	0	"0%"
2022-03-21	"XBB.1.5"	0	"0%"
2022-03-21	"XBB.1.5.1"	0	"0%"
2022-03-21	"XBB.1.5.11"	0	"0%"
2022-03-21	"XBB.1.5.13"	0	"0%"
2022-03-21	"XBB.1.5.15"	0	"0%"
2022-03-21	"XBB.1.5.17"	0	"0%"
2022-03-21	"XBB.1.5.18"	0	"0%"
2022-03-21	"XBB.1.5.2"	0	"0%"
2022-03-21	"XBB.1.5.20"	0	"0%"
2022-03-21	"XBB.1.5.21"	0	"0%"
2022-03-21	"XBB.1.5.31"	0	"0%"
2022-03-21	"XBB.1.5.32"	0	"0%"
2022-03-21	"XBB.1.5.33"	0	"0%"
2022-03-21	"XBB.1.5.39"	0	"0%"
2022-03-21	"XBB.1.5.7"	0	"0%"
2022-03-21	"XBB.1.5.9"	0	"0%"
2022-03-21	"XBB.1.9.1"	0	"0%"
2022-03-21	"XBF"	0	"0%"
2022-03-21	"XBM"	0	"0%"
2022-03-28	" other lineages"	3	"19%"
2022-03-28	"XAC"	12	"75%"
2022-03-28	"XAQ"	1	"6%"
2022-03-28	"XAZ"	0	"0%"
2022-03-28	"XBB"	0	"0%"
2022-03-28	"XBB.1"	0	"0%"
2022-03-28	"XBB.1.15"	0	"0%"
2022-03-28	"XBB.1.5"	0	"0%"
2022-03-28	"XBB.1.5.1"	0	"0%"
2022-03-28	"XBB.1.5.11"	0	"0%"
2022-03-28	"XBB.1.5.13"	0	"0%"
2022-03-28	"XBB.1.5.15"	0	"0%"
2022-03-28	"XBB.1.5.17"	0	"0%"
2022-03-28	"XBB.1.5.18"	0	"0%"
2022-03-28	"XBB.1.5.2"	0	"0%"
2022-03-28	"XBB.1.5.20"	0	"0%"
2022-03-28	"XBB.1.5.21"	0	"0%"
2022-03-28	"XBB.1.5.31"	0	"0%"
2022-03-28	"XBB.1.5.32"	0	"0%"
2022-03-28	"XBB.1.5.33"	0	"0%"
2022-03-28	"XBB.1.5.39"	0	"0%"
2022-03-28	"XBB.1.5.7"	0	"0%"
2022-03-28	"XBB.1.5.9"	0	"0%"
2022-03-28	"XBB.1.9.1"	0	"0%"
