"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"PA*"	0.02814045	0.01931	0.03697	55	"Canada"	0	"dashed"	"XEC*"
"NL*"	0.02808151	0.00689	0.04927	13	"Quebec"	0	"dashed"	"XEC*"
"LB.1*"	0.02808151	0.00689	0.04927	13	"Quebec"	0	"dashed"	"XEC*"
"LB.1.3*"	0.02808151	0.00689	0.04927	13	"Quebec"	0	"dashed"	"XEC*"
"NY.2"	0.02698399	0.01903	0.03493	69	"Canada"	0	"dashed"	"XEC"
"KP.3.3.5"	0.02679364	0.01426	0.03933	37	"Ontario"	0	"dashed"	"XEC"
"KP.3.3.5"	0.02613029	0.01711	0.03516	53	"Canada"	0	"dashed"	"XEC"
"MC.1.7"	0.02547468	0.00995	0.041	23	"Ontario"	0	"dashed"	"XEC"
"MC.10.2.1"	0.02511169	0.00756	0.04266	18	"Ontario"	0	"dashed"	"XEC"
"MC.10.2.1"	0.02496114	0.01116	0.03876	22	"Canada"	0	"dashed"	"XEC"
"PA*"	0.02462297	0.01073	0.03851	14	"Alberta"	0	"dashed"	"XEC*"
"XEC.18"	0.02429069	0.01413	0.03445	41	"Canada"	0	"dashed"	"XEC"
"NF*"	0.02421073	0.01646	0.03196	70	"Canada"	0	"dashed"	"XEC*"
"LP.8.1*"	0.02410519	0.02169	0.02652	1206	"Canada"	0	"dashed"	"XEC*"
"MC.10.1.7"	0.02403823	0	0.04845	14	"Newfoundland and Labrador"	0	"dashed"	"XEC"
"NL.4.1.1"	0.02385489	0.00866	0.03905	18	"Canada"	0	"dashed"	"XEC"
"NY*"	0.02384678	0.01744	0.03025	88	"Alberta"	0	"dashed"	"XEC*"
"LP.8.1*"	0.02292923	0.01106	0.03479	51	"Quebec"	0	"dashed"	"XEC*"
"KP.1.1*"	0.02292923	0.01106	0.03479	51	"Quebec"	0	"dashed"	"XEC*"
"LP*"	0.02292923	0.01106	0.03479	51	"Quebec"	0	"dashed"	"XEC*"
"MC.1.1"	0.02272649	0.00175	0.0437	13	"Ontario"	0	"dashed"	"XEC"
"LP*"	0.02266559	0.0203	0.02503	1240	"Canada"	0	"dashed"	"XEC*"
"KP.1.1*"	0.02264873	0.02028	0.02502	1242	"Canada"	0	"dashed"	"XEC*"
"LF.7.2.1"	0.0225927	0.01012	0.03506	27	"Canada"	0	"dashed"	"XEC"
"PA*"	0.0225484	0.00558	0.03951	19	"Ontario"	0	"dashed"	"XEC*"
