"Date"	"Lineage"	"Frequency"	"% Frequency"
2021-11-15	"BA.1"	0	"0%"
2021-11-15	"BA.1.1"	1	"100%"
2021-11-15	"BA.1.1.10"	0	"0%"
2021-11-15	"BA.1.1.16"	0	"0%"
2021-11-15	"BA.1.1.18"	0	"0%"
2021-11-15	"BA.1.1.6"	0	"0%"
2021-11-15	"BA.1.14"	0	"0%"
2021-11-15	"BA.1.15"	0	"0%"
2021-11-15	"BA.1.17"	0	"0%"
2021-11-15	"BA.1.17.2"	0	"0%"
2021-11-15	"BA.1.20"	0	"0%"
2021-11-15	"BA.1.3"	0	"0%"
2021-11-15	"other lineages"	0	"0%"
2021-11-22	"BA.1"	6	"23%"
2021-11-22	"BA.1.1"	9	"35%"
2021-11-22	"BA.1.1.10"	0	"0%"
2021-11-22	"BA.1.1.16"	0	"0%"
2021-11-22	"BA.1.1.18"	0	"0%"
2021-11-22	"BA.1.1.6"	0	"0%"
2021-11-22	"BA.1.14"	0	"0%"
2021-11-22	"BA.1.15"	4	"15%"
2021-11-22	"BA.1.17"	2	"8%"
2021-11-22	"BA.1.17.2"	2	"8%"
2021-11-22	"BA.1.20"	0	"0%"
2021-11-22	"BA.1.3"	0	"0%"
2021-11-22	"other lineages"	3	"12%"
2021-11-29	"BA.1"	15	"10%"
2021-11-29	"BA.1.1"	49	"32%"
2021-11-29	"BA.1.1.10"	1	"1%"
2021-11-29	"BA.1.1.16"	0	"0%"
2021-11-29	"BA.1.1.18"	0	"0%"
2021-11-29	"BA.1.1.6"	1	"1%"
2021-11-29	"BA.1.14"	6	"4%"
2021-11-29	"BA.1.15"	16	"11%"
2021-11-29	"BA.1.17"	28	"18%"
2021-11-29	"BA.1.17.2"	11	"7%"
2021-11-29	"BA.1.20"	1	"1%"
2021-11-29	"BA.1.3"	1	"1%"
2021-11-29	"other lineages"	23	"15%"
2021-12-06	"BA.1"	256	"16%"
2021-12-06	"BA.1.1"	435	"26%"
2021-12-06	"BA.1.1.10"	14	"1%"
2021-12-06	"BA.1.1.16"	0	"0%"
2021-12-06	"BA.1.1.18"	0	"0%"
2021-12-06	"BA.1.1.6"	17	"1%"
2021-12-06	"BA.1.14"	10	"1%"
2021-12-06	"BA.1.15"	55	"3%"
2021-12-06	"BA.1.17"	320	"19%"
2021-12-06	"BA.1.17.2"	425	"26%"
2021-12-06	"BA.1.20"	48	"3%"
2021-12-06	"BA.1.3"	0	"0%"
2021-12-06	"other lineages"	70	"4%"
2021-12-13	"BA.1"	1185	"25%"
2021-12-13	"BA.1.1"	977	"21%"
2021-12-13	"BA.1.1.10"	39	"1%"
2021-12-13	"BA.1.1.16"	168	"4%"
2021-12-13	"BA.1.1.18"	8	"0%"
2021-12-13	"BA.1.1.6"	35	"1%"
2021-12-13	"BA.1.14"	50	"1%"
2021-12-13	"BA.1.15"	441	"9%"
2021-12-13	"BA.1.17"	155	"3%"
2021-12-13	"BA.1.17.2"	1060	"23%"
2021-12-13	"BA.1.20"	436	"9%"
2021-12-13	"BA.1.3"	20	"0%"
2021-12-13	"other lineages"	111	"2%"
2021-12-20	"BA.1"	1836	"26%"
2021-12-20	"BA.1.1"	1699	"24%"
2021-12-20	"BA.1.1.10"	142	"2%"
2021-12-20	"BA.1.1.16"	179	"3%"
2021-12-20	"BA.1.1.18"	26	"0%"
2021-12-20	"BA.1.1.6"	75	"1%"
2021-12-20	"BA.1.14"	18	"0%"
2021-12-20	"BA.1.15"	817	"12%"
2021-12-20	"BA.1.17"	96	"1%"
2021-12-20	"BA.1.17.2"	1286	"18%"
2021-12-20	"BA.1.20"	438	"6%"
2021-12-20	"BA.1.3"	58	"1%"
2021-12-20	"other lineages"	302	"4%"
2021-12-27	"BA.1"	1886	"23%"
2021-12-27	"BA.1.1"	2800	"34%"
2021-12-27	"BA.1.1.10"	161	"2%"
2021-12-27	"BA.1.1.16"	208	"3%"
2021-12-27	"BA.1.1.18"	68	"1%"
2021-12-27	"BA.1.1.6"	64	"1%"
2021-12-27	"BA.1.14"	57	"1%"
2021-12-27	"BA.1.15"	940	"12%"
2021-12-27	"BA.1.17"	167	"2%"
2021-12-27	"BA.1.17.2"	1074	"13%"
2021-12-27	"BA.1.20"	253	"3%"
2021-12-27	"BA.1.3"	42	"1%"
2021-12-27	"other lineages"	396	"5%"
2022-01-03	"BA.1"	1347	"18%"
2022-01-03	"BA.1.1"	3005	"40%"
2022-01-03	"BA.1.1.10"	209	"3%"
2022-01-03	"BA.1.1.16"	254	"3%"
2022-01-03	"BA.1.1.18"	62	"1%"
2022-01-03	"BA.1.1.6"	79	"1%"
2022-01-03	"BA.1.14"	51	"1%"
2022-01-03	"BA.1.15"	795	"11%"
2022-01-03	"BA.1.17"	109	"1%"
2022-01-03	"BA.1.17.2"	941	"13%"
2022-01-03	"BA.1.20"	222	"3%"
2022-01-03	"BA.1.3"	80	"1%"
2022-01-03	"other lineages"	284	"4%"
2022-01-10	"BA.1"	974	"17%"
2022-01-10	"BA.1.1"	2347	"42%"
2022-01-10	"BA.1.1.10"	207	"4%"
2022-01-10	"BA.1.1.16"	237	"4%"
2022-01-10	"BA.1.1.18"	36	"1%"
2022-01-10	"BA.1.1.6"	64	"1%"
2022-01-10	"BA.1.14"	39	"1%"
2022-01-10	"BA.1.15"	545	"10%"
2022-01-10	"BA.1.17"	85	"2%"
2022-01-10	"BA.1.17.2"	622	"11%"
2022-01-10	"BA.1.20"	126	"2%"
2022-01-10	"BA.1.3"	76	"1%"
2022-01-10	"other lineages"	236	"4%"
2022-01-17	"BA.1"	716	"15%"
2022-01-17	"BA.1.1"	2251	"48%"
2022-01-17	"BA.1.1.10"	166	"4%"
2022-01-17	"BA.1.1.16"	203	"4%"
2022-01-17	"BA.1.1.18"	36	"1%"
2022-01-17	"BA.1.1.6"	61	"1%"
2022-01-17	"BA.1.14"	31	"1%"
2022-01-17	"BA.1.15"	436	"9%"
2022-01-17	"BA.1.17"	58	"1%"
2022-01-17	"BA.1.17.2"	414	"9%"
2022-01-17	"BA.1.20"	91	"2%"
2022-01-17	"BA.1.3"	49	"1%"
2022-01-17	"other lineages"	147	"3%"
2022-01-24	"BA.1"	732	"15%"
