"Date"	"Lineage"	"Frequency"	"% Frequency"
2022-02-14	"JN.1.1"	0	"0%"
2022-02-14	"JN.1.4"	0	"0%"
2022-02-14	"KP.2.3"	0	"0%"
2022-02-14	"KP.3.1"	0	"0%"
2022-02-14	"KP.3.1.1"	0	"0%"
2022-02-14	"KP.3.2"	0	"0%"
2022-02-14	"LB.1"	0	"0%"
2022-02-14	"other lineages"	67	"10%"
2022-02-21	"BA.2"	546	"53%"
2022-02-21	"BA.2.12.1"	9	"1%"
2022-02-21	"BA.2.3"	345	"33%"
2022-02-21	"BA.2.9"	31	"3%"
2022-02-21	"JN.1"	0	"0%"
2022-02-21	"JN.1.1"	0	"0%"
2022-02-21	"JN.1.4"	0	"0%"
2022-02-21	"KP.2.3"	0	"0%"
2022-02-21	"KP.3.1"	0	"0%"
2022-02-21	"KP.3.1.1"	0	"0%"
2022-02-21	"KP.3.2"	0	"0%"
2022-02-21	"LB.1"	0	"0%"
2022-02-21	"other lineages"	104	"10%"
2022-02-28	"BA.2"	477	"47%"
2022-02-28	"BA.2.12.1"	30	"3%"
2022-02-28	"BA.2.3"	359	"35%"
2022-02-28	"BA.2.9"	36	"4%"
2022-02-28	"JN.1"	0	"0%"
2022-02-28	"JN.1.1"	0	"0%"
2022-02-28	"JN.1.4"	0	"0%"
2022-02-28	"KP.2.3"	0	"0%"
2022-02-28	"KP.3.1"	0	"0%"
2022-02-28	"KP.3.1.1"	0	"0%"
2022-02-28	"KP.3.2"	0	"0%"
2022-02-28	"LB.1"	0	"0%"
2022-02-28	"other lineages"	121	"12%"
2022-03-07	"BA.2"	670	"50%"
2022-03-07	"BA.2.12.1"	29	"2%"
2022-03-07	"BA.2.3"	472	"35%"
2022-03-07	"BA.2.9"	39	"3%"
2022-03-07	"JN.1"	0	"0%"
2022-03-07	"JN.1.1"	0	"0%"
2022-03-07	"JN.1.4"	0	"0%"
2022-03-07	"KP.2.3"	0	"0%"
2022-03-07	"KP.3.1"	0	"0%"
2022-03-07	"KP.3.1.1"	0	"0%"
2022-03-07	"KP.3.2"	0	"0%"
2022-03-07	"LB.1"	0	"0%"
2022-03-07	"other lineages"	142	"11%"
2022-03-14	"BA.2"	924	"48%"
2022-03-14	"BA.2.12.1"	83	"4%"
2022-03-14	"BA.2.3"	474	"24%"
2022-03-14	"BA.2.9"	127	"7%"
2022-03-14	"JN.1"	0	"0%"
2022-03-14	"JN.1.1"	0	"0%"
2022-03-14	"JN.1.4"	0	"0%"
2022-03-14	"KP.2.3"	0	"0%"
2022-03-14	"KP.3.1"	0	"0%"
2022-03-14	"KP.3.1.1"	0	"0%"
2022-03-14	"KP.3.2"	0	"0%"
2022-03-14	"LB.1"	0	"0%"
2022-03-14	"other lineages"	333	"17%"
2022-03-21	"BA.2"	1541	"49%"
2022-03-21	"BA.2.12.1"	159	"5%"
2022-03-21	"BA.2.3"	781	"25%"
2022-03-21	"BA.2.9"	180	"6%"
2022-03-21	"JN.1"	0	"0%"
2022-03-21	"JN.1.1"	0	"0%"
2022-03-21	"JN.1.4"	0	"0%"
2022-03-21	"KP.2.3"	0	"0%"
2022-03-21	"KP.3.1"	0	"0%"
2022-03-21	"KP.3.1.1"	0	"0%"
2022-03-21	"KP.3.2"	0	"0%"
2022-03-21	"LB.1"	0	"0%"
2022-03-21	"other lineages"	469	"15%"
2022-03-28	"BA.2"	1716	"49%"
2022-03-28	"BA.2.12.1"	215	"6%"
2022-03-28	"BA.2.3"	930	"27%"
2022-03-28	"BA.2.9"	177	"5%"
2022-03-28	"JN.1"	0	"0%"
2022-03-28	"JN.1.1"	0	"0%"
2022-03-28	"JN.1.4"	0	"0%"
2022-03-28	"KP.2.3"	0	"0%"
2022-03-28	"KP.3.1"	0	"0%"
2022-03-28	"KP.3.1.1"	0	"0%"
2022-03-28	"KP.3.2"	0	"0%"
2022-03-28	"LB.1"	0	"0%"
2022-03-28	"other lineages"	453	"13%"
2022-04-04	"BA.2"	2052	"49%"
2022-04-04	"BA.2.12.1"	289	"7%"
2022-04-04	"BA.2.3"	958	"23%"
2022-04-04	"BA.2.9"	196	"5%"
2022-04-04	"JN.1"	0	"0%"
2022-04-04	"JN.1.1"	0	"0%"
2022-04-04	"JN.1.4"	0	"0%"
2022-04-04	"KP.2.3"	0	"0%"
2022-04-04	"KP.3.1"	0	"0%"
2022-04-04	"KP.3.1.1"	0	"0%"
2022-04-04	"KP.3.2"	0	"0%"
2022-04-04	"LB.1"	0	"0%"
2022-04-04	"other lineages"	651	"16%"
2022-04-11	"BA.2"	1757	"46%"
2022-04-11	"BA.2.12.1"	450	"12%"
2022-04-11	"BA.2.3"	949	"25%"
2022-04-11	"BA.2.9"	154	"4%"
2022-04-11	"JN.1"	0	"0%"
2022-04-11	"JN.1.1"	0	"0%"
2022-04-11	"JN.1.4"	0	"0%"
2022-04-11	"KP.2.3"	0	"0%"
2022-04-11	"KP.3.1"	0	"0%"
2022-04-11	"KP.3.1.1"	0	"0%"
2022-04-11	"KP.3.2"	0	"0%"
