"Date"	"Lineage"	"Frequency"	"% Frequency"
2022-12-19	" other lineages"	1271	"37%"
2022-12-19	"BF.7"	79	"2%"
2022-12-19	"BQ.1"	282	"8%"
2022-12-19	"BQ.1.1"	963	"28%"
2022-12-19	"BQ.1.1.1"	46	"1%"
2022-12-19	"BQ.1.1.10"	46	"1%"
2022-12-19	"BQ.1.1.3"	30	"1%"
2022-12-19	"BQ.1.1.35"	15	"0%"
2022-12-19	"BQ.1.1.40"	84	"2%"
2022-12-19	"BQ.1.1.5"	53	"2%"
2022-12-19	"BQ.1.1.55"	13	"0%"
2022-12-19	"BQ.1.1.67"	50	"1%"
2022-12-19	"BQ.1.1.7"	19	"1%"
2022-12-19	"BQ.1.12"	68	"2%"
2022-12-19	"BQ.1.13"	41	"1%"
2022-12-19	"BQ.1.14"	41	"1%"
2022-12-19	"BQ.1.2"	155	"4%"
2022-12-19	"BQ.1.3"	33	"1%"
2022-12-19	"BQ.1.5"	57	"2%"
2022-12-19	"CH.1.1"	15	"0%"
2022-12-19	"EE.3"	50	"1%"
2022-12-19	"XBB.1.5"	38	"1%"
2022-12-19	"XBB.1.5.32"	2	"0%"
2022-12-19	"XBB.1.5.39"	0	"0%"
2022-12-19	"XBB.1.5.7"	2	"0%"
2022-12-19	"XBB.1.9.1"	0	"0%"
2022-12-26	" other lineages"	1378	"37%"
2022-12-26	"BF.7"	109	"3%"
2022-12-26	"BQ.1"	232	"6%"
2022-12-26	"BQ.1.1"	985	"26%"
2022-12-26	"BQ.1.1.1"	42	"1%"
2022-12-26	"BQ.1.1.10"	48	"1%"
2022-12-26	"BQ.1.1.3"	33	"1%"
2022-12-26	"BQ.1.1.35"	30	"1%"
2022-12-26	"BQ.1.1.40"	79	"2%"
2022-12-26	"BQ.1.1.5"	62	"2%"
2022-12-26	"BQ.1.1.55"	32	"1%"
2022-12-26	"BQ.1.1.67"	55	"1%"
2022-12-26	"BQ.1.1.7"	44	"1%"
2022-12-26	"BQ.1.12"	81	"2%"
2022-12-26	"BQ.1.13"	35	"1%"
2022-12-26	"BQ.1.14"	42	"1%"
2022-12-26	"BQ.1.2"	173	"5%"
2022-12-26	"BQ.1.3"	56	"2%"
2022-12-26	"BQ.1.5"	57	"2%"
2022-12-26	"CH.1.1"	18	"0%"
2022-12-26	"EE.3"	26	"1%"
2022-12-26	"XBB.1.5"	97	"3%"
2022-12-26	"XBB.1.5.32"	1	"0%"
