"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"XBB.1.16"	0.12623878	0.10107	0.15141	87	"Ontario"
"XBB.1.16*"	0.12410713	0.10105	0.14717	102	"Ontario"
"XBB.1.5.12"	0.11734751	0.07616	0.15853	28	"Ontario"
"XBB.1.16"	0.1133017	0.09313	0.13347	98	"Canada"
"XBB.1.16.1"	0.11244658	0.0583	0.16659	15	"Ontario"
"XBB.1.16*"	0.11086109	0.09261	0.12911	117	"Canada"
"XBB.1.16.1"	0.09838309	0.05748	0.13928	19	"Canada"
"XBB.1.5.21"	0.06874697	0.03695	0.10054	32	"Alberta"
"Unassigned"	0.06695448	0.03686	0.09705	47	"Manitoba"
"XBB.1.5.30"	0.0612433	0.02994	0.09254	19	"Canada"
"XBB.1.5.31"	0.05496007	0.034	0.07592	61	"Alberta"
"XBB.1.5.3"	0.05427227	0.03142	0.07712	32	"Canada"
"XBB.1.5.35"	0.05256647	0.01268	0.09245	11	"Ontario"
"XBB.1.5.14"	0.05200776	0.0143	0.08971	11	"Canada"
"XBB.1.5.3"	0.05115814	0.02718	0.07514	30	"Ontario"
"XBB.1.5.2"	0.04899131	0.01322	0.08476	12	"Quebec"
"XBB.1.19*"	0.04897422	0.01183	0.08612	11	"Canada"
"XBB.1.5.37"	0.04893278	0.01186	0.086	11	"Canada"
"XBB.1.9.1"	0.04749347	-0.00731	0.1023	11	"British Columbia"
"XBB.1.5.17"	0.04738588	0.01169	0.08308	17	"Alberta"
"XBB.1.5.35"	0.04588116	0.02078	0.07098	23	"Canada"
"XBB.1.5.12"	0.041265	0.02689	0.05564	65	"Canada"
"XBB.1.5.1"	0.0396647	0.02878	0.05055	111	"Canada"
"XBB.1.5.1"	0.03856197	0.02614	0.05098	88	"Ontario"
"Unassigned"	0.03842791	0.02196	0.0549	47	"Canada"
"XBB.1.9*"	0.03769604	-0.0095	0.0849	12	"British Columbia"
"XBB.2.3"	0.03694683	0.009	0.0649	16	"Canada"
"XBB.2.3*"	0.03667841	0.00957	0.06378	17	"Canada"
"XBB.1.9.2"	0.03649118	0.01797	0.05501	36	"Canada"
"XBB.1.9.2"	0.03647023	0.01232	0.06062	22	"Ontario"
"XBB.1.9*"	0.03508024	0.01664	0.05352	53	"Alberta"
"XBB.1.9.1"	0.03426648	0.0253	0.04323	158	"Ontario"
"XBB.1.9.1"	0.03383417	0.01543	0.05224	52	"Alberta"
"CH.1.1*"	0.03349905	0.00414	0.06286	15	"Nova Scotia"
"XBB.1.5.35"	0.03233213	0.00124	0.06343	12	"Quebec"
"XBB.1.9*"	0.03192728	0.02378	0.04007	183	"Ontario"
"XBB.1.5.32"	0.02997169	0.00593	0.05401	27	"Alberta"
"XBB.1.9.1"	0.02933688	0.02353	0.03515	336	"Canada"
"BQ.1.1.45"	0.02907312	0.00499	0.05315	19	"Ontario"
"XBB.1.5.23"	0.02879775	0.0111	0.0465	35	"Ontario"
"XBB.1.9*"	0.02868627	0.02321	0.03416	376	"Canada"
"BM*"	0.02850773	0.00184	0.05518	16	"Nova Scotia"
"XBB.1.9.1"	0.0272178	0.01683	0.03761	103	"Quebec"
"XBB.1.5.30"	0.02649113	-0.01635	0.06934	12	"Newfoundland and Labrador"
"XBB.1.9*"	0.02610194	0.01608	0.03613	109	"Quebec"
"XBB.1.5.23"	0.02416834	0.00871	0.03963	42	"Canada"
"XBB.1.5.12"	0.02370734	-0.00517	0.05259	17	"Alberta"
"BQ.1.1.8"	0.02035229	-0.01361	0.05432	14	"New Brunswick"
"DV.1.1"	0.0201359	0.0129	0.02738	181	"Canada"
"DV.1.1"	0.01922253	0.01129	0.02716	159	"Quebec"
"DV*"	0.01858792	-0.00948	0.04665	16	"Alberta"
"BQ.1.1.39"	0.0174767	0.00031	0.03464	44	"Alberta"
"XBB.1.5.17"	0.01479678	0.00519	0.0244	91	"Ontario"
"BQ.1.1.45"	0.01469932	-0.00247	0.03187	29	"Canada"
"XBB.1.5.17"	0.01439848	0.00718	0.02161	166	"Canada"
"XBB.1.5.17"	0.01415304	-0.00008	0.02838	44	"Quebec"
"XBB.1.22"	0.01371188	-0.00723	0.03465	20	"Quebec"
"XBB.1.22*"	0.01371188	-0.00723	0.03465	20	"Quebec"
"DV*"	0.01285342	0.0055	0.02021	168	"Quebec"
"DR.2"	0.01214534	-0.01158	0.03587	14	"Ontario"
"DR.2"	0.01174496	-0.01087	0.03436	15	"Canada"
"XBB.1.5.16"	0.01170098	-0.00903	0.03243	19	"Canada"
"XBB.1.5.5"	0.01158241	-0.00177	0.02493	48	"Quebec"
"EY*"	0.01069534	-0.00006	0.02145	70	"Canada"
"XBB.1.5.4"	0.01010376	-0.00269	0.0229	49	"Canada"
"EF.1.1.1"	0.01009994	-0.00077	0.02097	68	"Canada"
"XBB.1.22*"	0.00995029	-0.00231	0.02221	53	"Canada"
"XBB.1.5.20"	0.00906819	0.00012	0.01802	94	"Ontario"
"XBB.1.5.34"	0.009052	-0.01257	0.03067	16	"Ontario"
"CH.1.1"	0.00857666	-0.02761	0.04476	23	"Newfoundland and Labrador"
