"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"JN.1.18.6"	0.21490118	0.12509	0.30472	23	"Ontario"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.10893599	0.0695	0.14837	41	"British Columbia"	0	"dashed"	"KP.3*"
"XEC"	0.10874576	0.06843	0.14906	39	"British Columbia"	0	"dashed"	"KP.3.1.1"
"LF.1.1.1"	0.08251512	0.04236	0.12267	26	"British Columbia"	0	"dashed"	"KP.3.1.1"
"LF.1.1*"	0.08251512	0.04236	0.12267	26	"British Columbia"	0	"dashed"	"KP.3*"
"LY*"	0.0745395	0.04657	0.10251	43	"Ontario"	0	"dashed"	"KP.3*"
"XEC"	0.05262867	0.03957	0.06569	150	"Alberta"	0	"dashed"	"KP.3.1.1"
"MC.13.1"	0.04942234	0.01003	0.08882	14	"Alberta"	0	"dashed"	"KP.3.1.1"
"XEC"	0.04922833	0.04381	0.05465	581	"Canada"	0	"dashed"	"KP.3.1.1"
"XEC"	0.04807846	0.02868	0.06748	39	"Quebec"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.04807846	0.02868	0.06748	39	"Quebec"	0	"dashed"	"KP.3*"
"XEC*"	0.04798782	0.04267	0.0533	589	"Canada"	0	"dashed"	"KP.3*"
"XEC*"	0.04707852	0.03507	0.05908	155	"Alberta"	0	"dashed"	"KP.3*"
"MC.1"	0.04510107	0.03251	0.0577	134	"Alberta"	0	"dashed"	"KP.3.1.1"
"LB.1.2.2"	0.04198784	0.00502	0.07895	14	"British Columbia"	0	"dashed"	"KP.3.1.1"
"KP.3.2.5"	0.04050719	0.00939	0.07163	18	"Alberta"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.0402878	0.03292	0.04765	350	"Ontario"	0	"dashed"	"KP.3*"
"XEC"	0.04019696	0.03283	0.04756	349	"Ontario"	0	"dashed"	"KP.3.1.1"
"KP.3.3.1"	0.03801314	0.01076	0.06526	24	"British Columbia"	0	"dashed"	"KP.3.1.1"
"KP.3.3.1"	0.03657674	0.00312	0.07004	14	"Alberta"	0	"dashed"	"KP.3.1.1"
"MC.8"	0.03188427	0.00572	0.05805	21	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.1"	0.03182949	0.01581	0.04785	36	"Quebec"	0	"dashed"	"KP.3.1.1"
"LY.1"	0.03086034	0.0044	0.05733	20	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.1"	0.03083532	0.02563	0.03604	411	"Canada"	0	"dashed"	"KP.3.1.1"
"MV*"	0.0308041	0	0.06488	13	"British Columbia"	0	"dashed"	"KP.3*"
"MC.1"	0.02800889	0.00974	0.04628	43	"British Columbia"	0	"dashed"	"KP.3.1.1"
"JN.1.18.6"	0.02741476	0.01154	0.04329	38	"Canada"	0	"dashed"	"KP.3.1.1"
"KP.3.3.2"	0.02731055	0.01261	0.04201	58	"Alberta"	0	"dashed"	"KP.3.1.1"
"MC.13"	0.02684993	0.01026	0.04344	51	"British Columbia"	0	"dashed"	"KP.3.1.1"
"MC.13*"	0.02604312	0.01007	0.04202	54	"British Columbia"	0	"dashed"	"KP.3*"
"LF.8.1.1"	0.02573709	0	0.05475	11	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.8.1"	0.02467093	0.00669	0.04265	28	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.8*"	0.02416726	0.00558	0.04275	35	"Ontario"	0	"dashed"	"KP.3*"
"MC.8*"	0.02327412	0.01083	0.03572	57	"Canada"	0	"dashed"	"KP.3*"
"MC.1"	0.02254735	0.01448	0.03062	189	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.8"	0.02217766	0.00495	0.0394	29	"Canada"	0	"dashed"	"KP.3.1.1"
"LB.1.2.2"	0.02018182	0.01	0.03037	80	"Canada"	0	"dashed"	"KP.3.1.1"
"LP.4"	0.01997334	0.0049	0.03505	36	"Canada"	0	"dashed"	"KP.3.1.1"
"LB.1.2.2"	0.01895231	0.00492	0.03298	55	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.10"	0.01677931	0.00408	0.02947	59	"Alberta"	0	"dashed"	"KP.3.1.1"
"MC.8.1"	0.01515747	0	0.04154	14	"Ontario"	0	"dashed"	"KP.3.1.1"
"MT.1"	0.01457437	0	0.03768	14	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.13*"	0.01407865	0.00379	0.02437	85	"Alberta"	0	"dashed"	"KP.3*"
"LY*"	0.01374985	0.00372	0.02378	71	"Canada"	0	"dashed"	"KP.3*"
"MV.1"	0.01313653	0	0.03197	20	"Canada"	0	"dashed"	"KP.3.1.1"
"LF.1*"	0.01158972	0	0.02904	33	"British Columbia"	0	"dashed"	"KP.3*"
"LZ*"	0.00986	0	0.02744	19	"Nova Scotia"	0	"dashed"	"KP.3*"
"LZ.1.1"	0.00986	0	0.02744	19	"Nova Scotia"	0	"dashed"	"KP.3.1.1"
"LZ.1*"	0.00986	0	0.02744	19	"Nova Scotia"	0	"dashed"	"KP.3*"
"MC.13"	0.00980795	0	0.02043	71	"Alberta"	0	"dashed"	"KP.3.1.1"
"MC.14"	0.00891273	0	0.02342	31	"Canada"	0	"dashed"	"KP.3.1.1"
"LP.4"	0.00778937	0	0.02334	34	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.13.1"	0.00767051	0	0.01765	64	"Canada"	0	"dashed"	"KP.3.1.1"
"MV*"	0.00672184	0	0.01921	40	"Canada"	0	"dashed"	"KP.3*"
"MC.11"	0.00650999	0	0.02734	11	"Quebec"	0	"dashed"	"KP.3.1.1"
