"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"XBB.1.16*"	0.23639277	0.08692	0.38586	11	"Manitoba"
"EG.5*"	0.16542262	NA	NA	41	"British Columbia"
"EG.5.1*"	0.16542262	NA	NA	41	"British Columbia"
"EG.5.1.1"	0.15888001	NA	NA	35	"British Columbia"
"HK*"	0.15888001	NA	NA	35	"British Columbia"
"XBB.1.16.6"	0.14287048	NA	NA	16	"British Columbia"
"GY.5"	0.14136467	0.07129	0.21144	14	"British Columbia"
"FD.1.1"	0.14085323	0.07372	0.20799	18	"British Columbia"
"FK.1.1"	0.13352706	0.07326	0.19379	20	"British Columbia"
"DV.7.1"	0.13331892	0.08126	0.18538	65	"Ontario"
"FK.1.1*"	0.13070164	0.07934	0.18207	26	"British Columbia"
"HL*"	0.12915351	0.01439	0.24392	12	"British Columbia"
"FL.1.3"	0.12644643	0.0672	0.18569	16	"British Columbia"
"FL.1*"	0.11938904	0.06955	0.16923	21	"British Columbia"
"XBB.1.5.32"	0.11353227	-0.02369	0.25076	13	"Manitoba"
"XBB.1.22.1"	0.11225327	0.04236	0.18215	11	"Canada"
"XBB.1.42*"	0.11195389	0.06599	0.15792	18	"British Columbia"
"FK.1*"	0.11048849	0.06957	0.15141	28	"British Columbia"
"XBB.1.5.72"	0.1081994	0.05194	0.16446	14	"British Columbia"
"XBB.1.5.37"	0.10673521	0.04509	0.16838	11	"British Columbia"
"BA.2.75*"	0.10586833	0.06713	0.1446	29	"British Columbia"
"CH.1.1*"	0.10586833	0.06713	0.1446	29	"British Columbia"
"DV.7.1"	0.10467682	0.07519	0.13416	72	"Canada"
"FL.15"	0.10435254	0.05493	0.15378	16	"British Columbia"
"FL.10.1"	0.10162805	NA	NA	35	"Quebec"
"HK.3"	0.10138858	0.07328	0.1295	63	"Canada"
"EG.5.1.1"	0.10048068	NA	NA	160	"Quebec"
"HK*"	0.10048068	NA	NA	160	"Quebec"
"EG.5.1*"	0.09996327	0.08374	0.11619	213	"Quebec"
"FD*"	0.09942485	0.05549	0.14336	22	"British Columbia"
"GJ*"	0.09848462	0.0584	0.13857	25	"British Columbia"
"EG.5*"	0.09739347	0.08188	0.11291	223	"Quebec"
"XBB.1.22.1"	0.09644046	0.02171	0.17117	11	"Ontario"
"HH*"	0.09515386	0.05474	0.13557	24	"British Columbia"
"FL.18"	0.09135394	0.03609	0.14661	11	"British Columbia"
"FL.18*"	0.09135394	0.03609	0.14661	11	"British Columbia"
"FL.1.5.1"	0.09020852	0.05951	0.1209	31	"Quebec"
"HN*"	0.09020852	0.05951	0.1209	31	"Quebec"
