"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"ND.1.1"	0.10698135	0.07071	0.14325	25	"Canada"	0	"dashed"	"KP.3.1.1"
"NF.1"	0.09210028	0.05024	0.13396	18	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.10.1"	0.09158508	0.06363	0.11954	38	"Alberta"	0	"dashed"	"KP.3.1.1"
"ND.1.1"	0.09071099	0.05559	0.12583	25	"Ontario"	0	"dashed"	"KP.3.1.1"
"LP.8.1"	0.08520423	0.05759	0.11282	37	"Ontario"	0	"dashed"	"KP.3.1.1"
"LP.8*"	0.08520423	0.05759	0.11282	37	"Ontario"	0	"dashed"	"KP.3*"
"XEC.4"	0.07445151	0.0347	0.1142	12	"Canada"	0	"dashed"	"KP.3.1.1"
"NF.1"	0.07228336	0.0428	0.10177	21	"Canada"	0	"dashed"	"KP.3.1.1"
"LF.7.1*"	0.0698779	0.03368	0.10607	15	"Alberta"	0	"dashed"	"KP.3*"
"LF.7.1"	0.06683241	0.03045	0.10322	14	"Alberta"	0	"dashed"	"KP.3.1.1"
"NF*"	0.06421062	0.03402	0.0944	20	"Ontario"	0	"dashed"	"KP.3*"
"NP.1"	0.06377138	0.04262	0.08492	35	"Canada"	0	"dashed"	"KP.3.1.1"
"LP.8*"	0.06274475	0.04818	0.07731	73	"Canada"	0	"dashed"	"KP.3*"
"LP.8.1"	0.06160492	0.047	0.07621	71	"Canada"	0	"dashed"	"KP.3.1.1"
"NF*"	0.05800353	0.0334	0.0826	23	"Canada"	0	"dashed"	"KP.3*"
"NP.1"	0.05792585	0.03495	0.0809	30	"Alberta"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.05626285	0.050636565	0.061889135	17	"Newfoundland and Labrador"	0	"solid"	"KP.3*"
"LP.8*"	0.05575053	0.02387	0.08763	16	"British Columbia"	0	"dashed"	"KP.3*"
"XEC"	0.05560739	0.050046651	0.061168129	16	"Newfoundland and Labrador"	0	"solid"	"KP.3.1.1"
"MC.10.2"	0.05550283	0.03204	0.07897	24	"Canada"	0	"dashed"	"KP.3.1.1"
"LF.7.1"	0.05439046	0.03656	0.07223	41	"Canada"	0	"dashed"	"KP.3.1.1"
"LF.7.1"	0.05146601	0.02632	0.07662	22	"Ontario"	0	"dashed"	"KP.3.1.1"
"LF.7.1*"	0.05136642	0.03504	0.06769	46	"Canada"	0	"dashed"	"KP.3*"
"LP.8.1"	0.05113638	0.01998	0.08229	15	"British Columbia"	0	"dashed"	"KP.3.1.1"
"ND*"	0.05035788	0.02912	0.07159	30	"Ontario"	0	"dashed"	"KP.3*"
"ND*"	0.04919028	0.03041	0.06797	33	"Canada"	0	"dashed"	"KP.3*"
"XEC"	0.04891052	0.04255	0.05527	394	"British Columbia"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.04756273	0.04144	0.05368	414	"British Columbia"	0	"dashed"	"KP.3*"
"LP.8*"	0.04745294	0.02244	0.07246	20	"Alberta"	0	"dashed"	"KP.3*"
"MC.11"	0.04622023	0.02378	0.06866	28	"New Brunswick"	0	"dashed"	"KP.3.1.1"
"MC.11*"	0.04622023	0.02378	0.06866	28	"New Brunswick"	0	"dashed"	"KP.3*"
"XEC*"	0.04485896	0.0151	0.07462	19	"New Brunswick"	0	"dashed"	"KP.3*"
"LP.8.1"	0.04453689	0.01966	0.06941	19	"Alberta"	0	"dashed"	"KP.3.1.1"
"MC.10.2"	0.04374799	0.0216	0.06589	24	"Ontario"	0	"dashed"	"KP.3.1.1"
"XEC"	0.04224967	0.03973	0.04477	2094	"Canada"	0	"dashed"	"KP.3.1.1"
"KP.3.2.9"	0.04186277	0.02303	0.0607	32	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.21"	0.04126132	0.02257	0.05995	32	"Ontario"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.04089081	0.0385	0.04328	2295	"Canada"	0	"dashed"	"KP.3*"
"MC.16"	0.04036113	0	0.08658	15	"Nova Scotia"	0	"dashed"	"KP.3.1.1"
"NL.3"	0.04012974	0.01338	0.06688	13	"Canada"	0	"dashed"	"KP.3.1.1"
"XEC"	0.04003772	0.0363	0.04377	1025	"Ontario"	0	"dashed"	"KP.3.1.1"
"XEC"	0.03967501	0	0.10064	17	"New Brunswick"	0	"dashed"	"KP.3.1.1"
"KP.3.3.2"	0.03915611	0.02578	0.05253	62	"British Columbia"	0	"dashed"	"KP.3.1.1"
"NP*"	0.03915611	0.02578	0.05253	62	"British Columbia"	0	"dashed"	"KP.3*"
"LF.7.1*"	0.03829129	0.01749	0.05909	24	"Ontario"	0	"dashed"	"KP.3*"
"XEC*"	0.03820551	0.03472	0.04169	1155	"Ontario"	0	"dashed"	"KP.3*"
"XEC"	0.0381127	0.03319	0.04303	569	"Alberta"	0	"dashed"	"KP.3.1.1"
"MC.10.1"	0.03710167	0.02871	0.0455	130	"Canada"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.03627258	0.03157	0.04098	601	"Alberta"	0	"dashed"	"KP.3*"
"MC.17"	0.03594698	0.01384	0.05805	18	"Canada"	0	"dashed"	"KP.3.1.1"
"XEC"	0.03413281	0.02326	0.045	66	"Quebec"	0	"dashed"	"KP.3.1.1"
"MC.10"	0.03388541	0.00254	0.06523	12	"New Brunswick"	0	"dashed"	"KP.3.1.1"
"MC.21"	0.03381147	0.0193	0.04832	40	"Canada"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.03379932	0.02384	0.04375	80	"Quebec"	0	"dashed"	"KP.3*"
"JN.1.18.6"	0.03320262	0.00992	0.05649	17	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.8.1"	0.03194669	0.01856	0.04533	51	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.1*"	0.03180108	0.02187	0.04173	74	"Quebec"	0	"dashed"	"KP.3*"
"MC.1"	0.03148819	0.02155	0.04142	73	"Quebec"	0	"dashed"	"KP.3.1.1"
"LF.7*"	0.03113012	0.01196	0.0503	24	"Alberta"	0	"dashed"	"KP.3*"
"MC.10*"	0.03031328	0.00997	0.05066	29	"New Brunswick"	0	"dashed"	"KP.3*"
"NL.3"	0.03022581	0.00448	0.05597	13	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.1"	0.02991697	0.02721	0.03263	1211	"Canada"	0	"dashed"	"KP.3.1.1"
"XEC.2"	0.02989598	0.02226	0.03754	134	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.1"	0.02977555	0.02472	0.03483	407	"Alberta"	0	"dashed"	"KP.3.1.1"
"MC.1*"	0.02972229	0.02704	0.0324	1237	"Canada"	0	"dashed"	"KP.3*"
"MC.9"	0.02951209	0.01481	0.04421	56	"New Brunswick"	0	"dashed"	"KP.3.1.1"
"MC.1*"	0.02923756	0.02423	0.03425	409	"Alberta"	0	"dashed"	"KP.3*"
"MC.13.1"	0.02912124	0.01963	0.03861	95	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.1"	0.02902387	0.0224	0.03564	205	"British Columbia"	0	"dashed"	"KP.3.1.1"
"MC.1*"	0.02811827	0.0216	0.03463	207	"British Columbia"	0	"dashed"	"KP.3*"
"MC.14"	0.02757697	0.01581	0.03934	60	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.10.1"	0.02744964	0.00621	0.04869	13	"Quebec"	0	"dashed"	"KP.3.1.1"
"MC.1*"	0.02684354	0.0226	0.03109	516	"Ontario"	0	"dashed"	"KP.3*"
"MC.1"	0.02681502	0.0225	0.03113	496	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.8*"	0.0267076	0.01705	0.03637	88	"Ontario"	0	"dashed"	"KP.3*"
"MC.8.1"	0.0265586	0.01687	0.03625	77	"Canada"	0	"dashed"	"KP.3.1.1"
"XEC.2"	0.02601072	0.00242	0.04961	14	"British Columbia"	0	"dashed"	"KP.3.1.1"
"MC.10.1"	0.025797	0.00013	0.05146	17	"New Brunswick"	0	"dashed"	"KP.3.1.1"
"MC.1.1"	0.0248517	0.00518	0.04452	20	"Ontario"	0	"dashed"	"KP.3.1.1"
"XEC.2"	0.02473223	0.01582	0.03364	99	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.4"	0.0245064	0.00923	0.03978	33	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.10.1"	0.02438103	0.0122	0.03656	52	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.19"	0.02424578	0	0.04919	12	"Alberta"	0	"dashed"	"KP.3.1.1"
"KP.1.1.3"	0.02351244	0	0.05492	11	"New Brunswick"	0	"dashed"	"KP.3.1.1"
"MC.14"	0.02336125	0.01418	0.03254	80	"Canada"	0	"dashed"	"KP.3.1.1"
"XEC.3"	0.02149763	0.0039	0.0391	20	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.8*"	0.02140003	0.01446	0.02834	135	"Canada"	0	"dashed"	"KP.3*"
"MC.22"	0.02135578	0.00623	0.03649	28	"Canada"	0	"dashed"	"KP.3.1.1"
"KP.3.3.1"	0.02120306	0.00639	0.03601	32	"Alberta"	0	"dashed"	"KP.3.1.1"
"NH*"	0.02089681	0	0.04234	15	"Alberta"	0	"dashed"	"KP.3*"
"NH.2"	0.02089681	0	0.04234	15	"Alberta"	0	"dashed"	"KP.3.1.1"
"MC.1.1"	0.02081102	0.00518	0.03645	26	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.8"	0.02038683	0.00658	0.03419	37	"Ontario"	0	"dashed"	"KP.3.1.1"
"XEC.1"	0.01972185	0.00455	0.0349	27	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.2"	0.01908456	0.0001	0.03807	13	"Quebec"	0	"dashed"	"KP.3.1.1"
"KP.3.2.7"	0.01863636	0.00666	0.03061	42	"Canada"	0	"dashed"	"KP.3.1.1"
