"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"XBB.1.5"	10.713703	9.523	11.904	1186	"Quebec"
"XBB.1*"	9.831029	8.781	10.881	1258	"Quebec"
"BQ.1.9"	9.393359	6.712	12.074	27	"Canada"
"XBB*"	9.323522	8.345	10.302	1270	"Quebec"
"BQ.1.25"	8.912701	5.146	12.68	17	"Alberta"
"CH.1.1.1"	8.519314	6.405	10.633	51	"Quebec"
"BQ.1.9"	8.284483	5.702	10.867	27	"Ontario"
"XBB.1.5"	7.978616	7.615	8.342	4443	"Canada"
"XBB.1.5"	7.897687	6.735	9.061	246	"Alberta"
"XBF"	7.347815	4.854	9.842	20	"Quebec"
"XBB.1.5"	7.200205	6.77	7.631	2867	"Ontario"
"BQ.1.1.13"	6.934891	3.744	10.126	30	"New Brunswick"
"XBB.1*"	6.892625	6.587	7.198	4871	"Canada"
"CH.1.1"	6.62033	4.853	8.388	47	"Quebec"
"XBB*"	6.501031	6.214	6.788	4958	"Canada"
"XBB.1*"	6.187549	5.354	7.021	317	"Alberta"
"XBB.1*"	6.173913	5.807	6.541	3135	"Ontario"
"XBB.1"	6.108232	4.735	7.481	71	"Quebec"
"CH.1.1.2"	6.044491	4.287	7.802	37	"Quebec"
"BQ.1.12"	6.016974	0.106	11.928	12	"New Brunswick"
"BQ.1.1.9"	5.861417	3.915	7.808	22	"Canada"
"XBB*"	5.813344	5.042	6.585	340	"Alberta"
"BM*"	5.812972	2.881	8.745	18	"New Brunswick"
"XBB*"	5.791755	5.445	6.139	3184	"Ontario"
"BA.5.3.1"	5.715063	3.4	8.03	18	"Quebec"
"BA.2*"	5.701822	5.147	6.256	1524	"Quebec"
"BQ.1.15"	5.701685	4.403	7	75	"Quebec"
"BM*"	5.536864	4.506	6.568	150	"Quebec"
"CH.1.1.1"	5.194273	4.189	6.199	78	"Canada"
"BA.5.2.13"	5.073204	-3.513	13.659	13	"Alberta"
"BQ.1.1.9"	5.012557	3.115	6.91	22	"Ontario"
"BW.1*"	4.997475	3.293	6.702	74	"New Brunswick"
"BW.1.1"	4.926309	3.219	6.634	72	"New Brunswick"
"BQ.1.1.3"	4.90823	2.957	6.859	53	"New Brunswick"
"BQ.1.10"	4.764146	2.761	6.767	28	"Alberta"
"BM.1.1.1"	4.755222	2.741	6.769	16	"Canada"
"XBF"	4.528457	3.273	5.784	59	"Alberta"
"CQ.2"	4.397691	2.171	6.624	12	"Canada"
"BQ.1.3"	4.341996	2.837	5.847	39	"Alberta"
"CK.2*"	4.297318	1.711	6.884	11	"Alberta"
"CH.1.1*"	4.296906	3.871	4.723	514	"Canada"
"CH.1.1*"	4.294689	1.469	7.12	11	"New Brunswick"
"BQ.1.1.10"	4.147103	2.108	6.186	17	"Quebec"
"CH.1.1.1"	4.077528	2.363	5.792	22	"Ontario"
"BA.2*"	4.068315	0.056	8.081	11	"Newfoundland and Labrador"
"CH.1.1"	3.99914	3.542	4.457	385	"Canada"
"CH.1.1.2"	3.98974	2.914	5.065	51	"Canada"
"BQ.1.10*"	3.984709	2.519	5.451	34	"Alberta"
"BQ.1.1.13"	3.978747	2.809	5.149	48	"Ontario"
"BF.7.5"	3.958089	2.35	5.566	29	"Alberta"
"CJ*"	3.941836	2.722	5.161	39	"Canada"
"BQ.1.1.5"	3.917432	2.426	5.409	56	"New Brunswick"
"BM*"	3.773471	3.392	4.155	586	"Canada"
"CH.1.1*"	3.749105	3.222	4.276	327	"Ontario"
"BA.2*"	3.721094	3.543	3.899	6702	"Canada"
"XBB.2"	3.711605	1.604	5.819	15	"Alberta"
"CQ*"	3.711385	1.763	5.66	14	"Canada"
"XBF"	3.6811	2.972	4.39	120	"Canada"
"BQ.1.22"	3.656793	1.974	5.34	24	"Quebec"
"CH.1.1"	3.648163	3.105	4.191	292	"Ontario"
"BQ.1.1.15"	3.62735	1.971	5.284	25	"Quebec"
"CH.1.1.2"	3.592281	1.478	5.707	13	"Ontario"
"BQ.1.1.13"	3.587316	2.887	4.287	120	"Canada"
"XBF"	3.580753	2.336	4.825	39	"Ontario"
"XBB.1.5"	3.483495	0.954	6.013	38	"Nova Scotia"
"XBB.1*"	3.483495	0.954	6.013	38	"Nova Scotia"
"XBB*"	3.483495	0.954	6.013	38	"Nova Scotia"
"BQ.1.1.2"	3.463462	2.499	4.428	59	"Canada"
"BQ.1.1.13"	3.4435	1.205	5.682	12	"Quebec"
"BA.2.75*"	3.442478	1.762	5.123	30	"New Brunswick"
"BQ.1.15"	3.429336	2.651	4.208	93	"Canada"
"BN.1"	3.402704	1.095	5.71	11	"Quebec"
"CJ.1"	3.382124	1.877	4.887	23	"Canada"
"BQ.1.1*"	3.367852	0.465	6.271	44	"Manitoba"
"BQ.1.8"	3.361555	1.226	5.497	14	"Quebec"
"BM*"	3.326488	2.844	3.809	372	"Ontario"
"BQ.1.1.2"	3.311878	2.208	4.416	49	"Ontario"
"CQ.2"	3.271248	1.023	5.519	12	"Ontario"
"BA.2*"	3.25892	3.03	3.488	4319	"Ontario"
"BQ.1.1.3"	3.257599	2.054	4.461	46	"Alberta"
"CK*"	3.196096	1.58	4.812	23	"Alberta"
"CJ.1"	3.149633	1.402	4.897	18	"Ontario"
"XBB.1"	3.133604	2.125	4.142	71	"Alberta"
"BQ.1.1.4"	3.077066	1.697	4.457	45	"New Brunswick"
"BA.2.75*"	3.042383	2.384	3.7	222	"Quebec"
"CJ*"	3.019464	1.51	4.529	24	"Ontario"
