"Date"	"Lineage"	"Frequency"	"% Frequency"
2022-01-31	"BA.2.3"	163	"33%"
2022-01-31	"BA.2.3.10"	0	"0%"
2022-01-31	"BA.2.3.4"	5	"1%"
2022-01-31	"BA.2.3.6"	0	"0%"
2022-01-31	"BA.2.38"	0	"0%"
2022-01-31	"BA.2.65"	0	"0%"
2022-01-31	"BA.2.66"	0	"0%"
2022-01-31	"BA.2.9"	14	"3%"
2022-01-31	"other lineages"	6	"1%"
2022-02-07	"BA.2"	268	"61%"
2022-02-07	"BA.2.10"	25	"6%"
2022-02-07	"BA.2.12"	1	"0%"
2022-02-07	"BA.2.12.1"	1	"0%"
2022-02-07	"BA.2.18"	0	"0%"
2022-02-07	"BA.2.20"	0	"0%"
2022-02-07	"BA.2.21"	3	"1%"
2022-02-07	"BA.2.3"	123	"28%"
2022-02-07	"BA.2.3.10"	0	"0%"
2022-02-07	"BA.2.3.4"	2	"0%"
2022-02-07	"BA.2.3.6"	0	"0%"
2022-02-07	"BA.2.38"	0	"0%"
2022-02-07	"BA.2.65"	0	"0%"
2022-02-07	"BA.2.66"	0	"0%"
2022-02-07	"BA.2.9"	6	"1%"
2022-02-07	"other lineages"	9	"2%"
2022-02-14	"BA.2"	364	"55%"
2022-02-14	"BA.2.10"	28	"4%"
2022-02-14	"BA.2.12"	2	"0%"
2022-02-14	"BA.2.12.1"	5	"1%"
2022-02-14	"BA.2.18"	0	"0%"
2022-02-14	"BA.2.20"	3	"0%"
2022-02-14	"BA.2.21"	6	"1%"
2022-02-14	"BA.2.3"	200	"30%"
2022-02-14	"BA.2.3.10"	1	"0%"
2022-02-14	"BA.2.3.4"	5	"1%"
2022-02-14	"BA.2.3.6"	0	"0%"
2022-02-14	"BA.2.38"	2	"0%"
2022-02-14	"BA.2.65"	0	"0%"
2022-02-14	"BA.2.66"	0	"0%"
2022-02-14	"BA.2.9"	21	"3%"
2022-02-14	"other lineages"	19	"3%"
2022-02-21	"BA.2"	545	"55%"
2022-02-21	"BA.2.10"	34	"3%"
2022-02-21	"BA.2.12"	2	"0%"
2022-02-21	"BA.2.12.1"	9	"1%"
2022-02-21	"BA.2.18"	0	"0%"
2022-02-21	"BA.2.20"	3	"0%"
2022-02-21	"BA.2.21"	7	"1%"
2022-02-21	"BA.2.3"	343	"34%"
2022-02-21	"BA.2.3.10"	3	"0%"
2022-02-21	"BA.2.3.4"	3	"0%"
2022-02-21	"BA.2.3.6"	1	"0%"
2022-02-21	"BA.2.38"	1	"0%"
2022-02-21	"BA.2.65"	1	"0%"
2022-02-21	"BA.2.66"	0	"0%"
2022-02-21	"BA.2.9"	30	"3%"
2022-02-21	"other lineages"	14	"1%"
2022-02-28	"BA.2"	490	"48%"
2022-02-28	"BA.2.10"	36	"4%"
2022-02-28	"BA.2.12"	3	"0%"
2022-02-28	"BA.2.12.1"	30	"3%"
2022-02-28	"BA.2.18"	0	"0%"
2022-02-28	"BA.2.20"	8	"1%"
2022-02-28	"BA.2.21"	4	"0%"
2022-02-28	"BA.2.3"	358	"35%"
2022-02-28	"BA.2.3.10"	2	"0%"
2022-02-28	"BA.2.3.4"	16	"2%"
2022-02-28	"BA.2.3.6"	1	"0%"
2022-02-28	"BA.2.38"	2	"0%"
2022-02-28	"BA.2.65"	5	"0%"
2022-02-28	"BA.2.66"	9	"1%"
2022-02-28	"BA.2.9"	36	"4%"
2022-02-28	"other lineages"	20	"2%"
2022-03-07	"BA.2"	670	"50%"
2022-03-07	"BA.2.10"	29	"2%"
2022-03-07	"BA.2.12"	4	"0%"
2022-03-07	"BA.2.12.1"	28	"2%"
2022-03-07	"BA.2.18"	0	"0%"
2022-03-07	"BA.2.20"	12	"1%"
2022-03-07	"BA.2.21"	4	"0%"
2022-03-07	"BA.2.3"	470	"35%"
2022-03-07	"BA.2.3.10"	2	"0%"
2022-03-07	"BA.2.3.4"	20	"1%"
2022-03-07	"BA.2.3.6"	1	"0%"
2022-03-07	"BA.2.38"	0	"0%"
2022-03-07	"BA.2.65"	15	"1%"
2022-03-07	"BA.2.66"	12	"1%"
2022-03-07	"BA.2.9"	39	"3%"
2022-03-07	"other lineages"	34	"3%"
2022-03-14	"BA.2"	916	"48%"
2022-03-14	"BA.2.10"	35	"2%"
2022-03-14	"BA.2.12"	10	"1%"
2022-03-14	"BA.2.12.1"	83	"4%"
2022-03-14	"BA.2.18"	0	"0%"
2022-03-14	"BA.2.20"	42	"2%"
2022-03-14	"BA.2.21"	22	"1%"
2022-03-14	"BA.2.3"	458	"24%"
2022-03-14	"BA.2.3.10"	31	"2%"
2022-03-14	"BA.2.3.4"	48	"3%"
2022-03-14	"BA.2.3.6"	45	"2%"
2022-03-14	"BA.2.38"	2	"0%"
2022-03-14	"BA.2.65"	35	"2%"
2022-03-14	"BA.2.66"	21	"1%"
2022-03-14	"BA.2.9"	127	"7%"
2022-03-14	"other lineages"	38	"2%"
2022-03-21	"BA.2"	1534	"50%"
2022-03-21	"BA.2.10"	40	"1%"
2022-03-21	"BA.2.12"	13	"0%"
2022-03-21	"BA.2.12.1"	157	"5%"
2022-03-21	"BA.2.18"	2	"0%"
2022-03-21	"BA.2.20"	84	"3%"
2022-03-21	"BA.2.21"	47	"2%"
2022-03-21	"BA.2.3"	749	"24%"
2022-03-21	"BA.2.3.10"	38	"1%"
2022-03-21	"BA.2.3.4"	44	"1%"
2022-03-21	"BA.2.3.6"	29	"1%"
2022-03-21	"BA.2.38"	1	"0%"
2022-03-21	"BA.2.65"	76	"2%"
2022-03-21	"BA.2.66"	20	"1%"
2022-03-21	"BA.2.9"	180	"6%"
2022-03-21	"other lineages"	63	"2%"
2022-03-28	"BA.2"	1721	"50%"
2022-03-28	"BA.2.10"	27	"1%"
2022-03-28	"BA.2.12"	23	"1%"
2022-03-28	"BA.2.12.1"	215	"6%"
2022-03-28	"BA.2.18"	1	"0%"
2022-03-28	"BA.2.20"	48	"1%"
2022-03-28	"BA.2.21"	40	"1%"
2022-03-28	"BA.2.3"	906	"26%"
2022-03-28	"BA.2.3.10"	40	"1%"
2022-03-28	"BA.2.3.4"	28	"1%"
2022-03-28	"BA.2.3.6"	52	"2%"
2022-03-28	"BA.2.38"	0	"0%"
2022-03-28	"BA.2.65"	60	"2%"
2022-03-28	"BA.2.66"	35	"1%"
2022-03-28	"BA.2.9"	178	"5%"
2022-03-28	"other lineages"	80	"2%"
2022-04-04	"BA.2"	2044	"49%"
2022-04-04	"BA.2.10"	31	"1%"
2022-04-04	"BA.2.12"	16	"0%"
2022-04-04	"BA.2.12.1"	289	"7%"
2022-04-04	"BA.2.18"	3	"0%"
2022-04-04	"BA.2.20"	103	"2%"
2022-04-04	"BA.2.21"	97	"2%"
2022-04-04	"BA.2.3"	957	"23%"
2022-04-04	"BA.2.3.10"	64	"2%"
2022-04-04	"BA.2.3.4"	49	"1%"
2022-04-04	"BA.2.3.6"	61	"1%"
2022-04-04	"BA.2.38"	0	"0%"
2022-04-04	"BA.2.65"	81	"2%"
2022-04-04	"BA.2.66"	35	"1%"
2022-04-04	"BA.2.9"	199	"5%"
2022-04-04	"other lineages"	109	"3%"
2022-04-11	"BA.2"	1761	"46%"
2022-04-11	"BA.2.10"	34	"1%"
2022-04-11	"BA.2.12"	12	"0%"
2022-04-11	"BA.2.12.1"	450	"12%"
2022-04-11	"BA.2.18"	1	"0%"
2022-04-11	"BA.2.20"	54	"1%"
2022-04-11	"BA.2.21"	68	"2%"
2022-04-11	"BA.2.3"	949	"25%"
2022-04-11	"BA.2.3.10"	41	"1%"
2022-04-11	"BA.2.3.4"	29	"1%"
2022-04-11	"BA.2.3.6"	64	"2%"
2022-04-11	"BA.2.38"	1	"0%"
2022-04-11	"BA.2.65"	71	"2%"
2022-04-11	"BA.2.66"	27	"1%"
2022-04-11	"BA.2.9"	157	"4%"
2022-04-11	"other lineages"	72	"2%"
2022-04-18	"BA.2"	1980	"45%"
2022-04-18	"BA.2.10"	22	"0%"
2022-04-18	"BA.2.12"	8	"0%"
2022-04-18	"BA.2.12.1"	770	"17%"
2022-04-18	"BA.2.18"	1	"0%"
2022-04-18	"BA.2.20"	42	"1%"
2022-04-18	"BA.2.21"	67	"2%"
2022-04-18	"BA.2.3"	1075	"24%"
2022-04-18	"BA.2.3.10"	51	"1%"
2022-04-18	"BA.2.3.4"	30	"1%"
2022-04-18	"BA.2.3.6"	58	"1%"
2022-04-18	"BA.2.38"	3	"0%"
2022-04-18	"BA.2.65"	62	"1%"
2022-04-18	"BA.2.66"	39	"1%"
2022-04-18	"BA.2.9"	135	"3%"
2022-04-18	"other lineages"	75	"2%"
2022-04-25	"BA.2"	1770	"42%"
2022-04-25	"BA.2.10"	22	"1%"
2022-04-25	"BA.2.12"	14	"0%"
2022-04-25	"BA.2.12.1"	1018	"24%"
2022-04-25	"BA.2.18"	2	"0%"
2022-04-25	"BA.2.20"	26	"1%"
2022-04-25	"BA.2.21"	61	"1%"
2022-04-25	"BA.2.3"	889	"21%"
2022-04-25	"BA.2.3.10"	28	"1%"
2022-04-25	"BA.2.3.4"	12	"0%"
2022-04-25	"BA.2.3.6"	49	"1%"
2022-04-25	"BA.2.38"	4	"0%"
2022-04-25	"BA.2.65"	55	"1%"
2022-04-25	"BA.2.66"	29	"1%"
2022-04-25	"BA.2.9"	131	"3%"
2022-04-25	"other lineages"	90	"2%"
2022-05-02	"BA.2"	1484	"41%"
2022-05-02	"BA.2.10"	13	"0%"
2022-05-02	"BA.2.12"	6	"0%"
2022-05-02	"BA.2.12.1"	919	"25%"
2022-05-02	"BA.2.18"	2	"0%"
2022-05-02	"BA.2.20"	29	"1%"
2022-05-02	"BA.2.21"	72	"2%"
2022-05-02	"BA.2.3"	670	"19%"
2022-05-02	"BA.2.3.10"	35	"1%"
2022-05-02	"BA.2.3.4"	11	"0%"
2022-05-02	"BA.2.3.6"	57	"2%"
2022-05-02	"BA.2.38"	4	"0%"
2022-05-02	"BA.2.65"	54	"1%"
2022-05-02	"BA.2.66"	22	"1%"
2022-05-02	"BA.2.9"	124	"3%"
2022-05-02	"other lineages"	106	"3%"
2022-05-09	"BA.2"	1417	"37%"
2022-05-09	"BA.2.10"	10	"0%"
2022-05-09	"BA.2.12"	3	"0%"
2022-05-09	"BA.2.12.1"	1203	"31%"
2022-05-09	"BA.2.18"	6	"0%"
2022-05-09	"BA.2.20"	37	"1%"
2022-05-09	"BA.2.21"	66	"2%"
2022-05-09	"BA.2.3"	600	"16%"
2022-05-09	"BA.2.3.10"	42	"1%"
2022-05-09	"BA.2.3.4"	10	"0%"
2022-05-09	"BA.2.3.6"	87	"2%"
2022-05-09	"BA.2.38"	9	"0%"
2022-05-09	"BA.2.65"	73	"2%"
2022-05-09	"BA.2.66"	34	"1%"
2022-05-09	"BA.2.9"	133	"3%"
2022-05-09	"other lineages"	96	"3%"
2022-05-16	"BA.2"	1105	"35%"
2022-05-16	"BA.2.10"	9	"0%"
2022-05-16	"BA.2.12"	5	"0%"
2022-05-16	"BA.2.12.1"	1104	"35%"
2022-05-16	"BA.2.18"	7	"0%"
2022-05-16	"BA.2.20"	21	"1%"
2022-05-16	"BA.2.21"	42	"1%"
2022-05-16	"BA.2.3"	430	"14%"
2022-05-16	"BA.2.3.10"	35	"1%"
2022-05-16	"BA.2.3.4"	13	"0%"
2022-05-16	"BA.2.3.6"	57	"2%"
2022-05-16	"BA.2.38"	10	"0%"
2022-05-16	"BA.2.65"	72	"2%"
2022-05-16	"BA.2.66"	21	"1%"
2022-05-16	"BA.2.9"	99	"3%"
2022-05-16	"other lineages"	89	"3%"
2022-05-23	"BA.2"	821	"31%"
2022-05-23	"BA.2.10"	3	"0%"
2022-05-23	"BA.2.12"	4	"0%"
2022-05-23	"BA.2.12.1"	1121	"43%"
2022-05-23	"BA.2.18"	12	"0%"
2022-05-23	"BA.2.20"	9	"0%"
2022-05-23	"BA.2.21"	37	"1%"
2022-05-23	"BA.2.3"	287	"11%"
2022-05-23	"BA.2.3.10"	27	"1%"
2022-05-23	"BA.2.3.4"	13	"0%"
2022-05-23	"BA.2.3.6"	60	"2%"
2022-05-23	"BA.2.38"	7	"0%"
2022-05-23	"BA.2.65"	52	"2%"
2022-05-23	"BA.2.66"	11	"0%"
2022-05-23	"BA.2.9"	73	"3%"
2022-05-23	"other lineages"	81	"3%"
2022-05-30	"BA.2"	618	"27%"
2022-05-30	"BA.2.10"	4	"0%"
2022-05-30	"BA.2.12"	3	"0%"
2022-05-30	"BA.2.12.1"	1111	"48%"
2022-05-30	"BA.2.18"	13	"1%"
2022-05-30	"BA.2.20"	13	"1%"
2022-05-30	"BA.2.21"	33	"1%"
2022-05-30	"BA.2.3"	196	"9%"
2022-05-30	"BA.2.3.10"	28	"1%"
2022-05-30	"BA.2.3.4"	5	"0%"
2022-05-30	"BA.2.3.6"	64	"3%"
2022-05-30	"BA.2.38"	10	"0%"
2022-05-30	"BA.2.65"	26	"1%"
2022-05-30	"BA.2.66"	11	"0%"
2022-05-30	"BA.2.9"	62	"3%"
2022-05-30	"other lineages"	94	"4%"
2022-06-06	"BA.2"	482	"21%"
2022-06-06	"BA.2.10"	1	"0%"
2022-06-06	"BA.2.12"	2	"0%"
2022-06-06	"BA.2.12.1"	1303	"57%"
2022-06-06	"BA.2.18"	9	"0%"
2022-06-06	"BA.2.20"	22	"1%"
2022-06-06	"BA.2.21"	35	"2%"
2022-06-06	"BA.2.3"	161	"7%"
2022-06-06	"BA.2.3.10"	12	"1%"
2022-06-06	"BA.2.3.4"	3	"0%"
2022-06-06	"BA.2.3.6"	45	"2%"
2022-06-06	"BA.2.38"	20	"1%"
2022-06-06	"BA.2.65"	22	"1%"
2022-06-06	"BA.2.66"	5	"0%"
2022-06-06	"BA.2.9"	50	"2%"
2022-06-06	"other lineages"	117	"5%"
2022-06-13	"BA.2"	286	"16%"
2022-06-13	"BA.2.10"	0	"0%"
2022-06-13	"BA.2.12"	0	"0%"
2022-06-13	"BA.2.12.1"	1204	"66%"
2022-06-13	"BA.2.18"	11	"1%"
2022-06-13	"BA.2.20"	6	"0%"
2022-06-13	"BA.2.21"	19	"1%"
2022-06-13	"BA.2.3"	94	"5%"
2022-06-13	"BA.2.3.10"	5	"0%"
2022-06-13	"BA.2.3.4"	3	"0%"
2022-06-13	"BA.2.3.6"	34	"2%"
2022-06-13	"BA.2.38"	9	"0%"
2022-06-13	"BA.2.65"	20	"1%"
2022-06-13	"BA.2.66"	4	"0%"
2022-06-13	"BA.2.9"	35	"2%"
2022-06-13	"other lineages"	87	"5%"
2022-06-20	"BA.2"	208	"15%"
2022-06-20	"BA.2.10"	0	"0%"
2022-06-20	"BA.2.12"	1	"0%"
2022-06-20	"BA.2.12.1"	977	"69%"
2022-06-20	"BA.2.18"	9	"1%"
2022-06-20	"BA.2.20"	11	"1%"
2022-06-20	"BA.2.21"	12	"1%"
2022-06-20	"BA.2.3"	70	"5%"
2022-06-20	"BA.2.3.10"	6	"0%"
2022-06-20	"BA.2.3.4"	3	"0%"
2022-06-20	"BA.2.3.6"	4	"0%"
2022-06-20	"BA.2.38"	10	"1%"
2022-06-20	"BA.2.65"	13	"1%"
2022-06-20	"BA.2.66"	6	"0%"
2022-06-20	"BA.2.9"	23	"2%"
2022-06-20	"other lineages"	73	"5%"
2022-06-27	"BA.2"	119	"11%"
2022-06-27	"BA.2.10"	0	"0%"
2022-06-27	"BA.2.12"	1	"0%"
2022-06-27	"BA.2.12.1"	779	"71%"
2022-06-27	"BA.2.18"	14	"1%"
2022-06-27	"BA.2.20"	3	"0%"
2022-06-27	"BA.2.21"	12	"1%"
2022-06-27	"BA.2.3"	37	"3%"
2022-06-27	"BA.2.3.10"	7	"1%"
2022-06-27	"BA.2.3.4"	0	"0%"
2022-06-27	"BA.2.3.6"	3	"0%"
2022-06-27	"BA.2.38"	13	"1%"
2022-06-27	"BA.2.65"	4	"0%"
2022-06-27	"BA.2.66"	0	"0%"
2022-06-27	"BA.2.9"	13	"1%"
2022-06-27	"other lineages"	85	"8%"
2022-07-04	"BA.2"	109	"12%"
2022-07-04	"BA.2.10"	2	"0%"
2022-07-04	"BA.2.12"	3	"0%"
2022-07-04	"BA.2.12.1"	619	"69%"
2022-07-04	"BA.2.18"	13	"1%"
2022-07-04	"BA.2.20"	4	"0%"
2022-07-04	"BA.2.21"	5	"1%"
2022-07-04	"BA.2.3"	26	"3%"
2022-07-04	"BA.2.3.10"	1	"0%"
2022-07-04	"BA.2.3.4"	0	"0%"
2022-07-04	"BA.2.3.6"	4	"0%"
2022-07-04	"BA.2.38"	17	"2%"
2022-07-04	"BA.2.65"	3	"0%"
2022-07-04	"BA.2.66"	0	"0%"
2022-07-04	"BA.2.9"	3	"0%"
2022-07-04	"other lineages"	93	"10%"
2022-07-11	"BA.2"	61	"11%"
2022-07-11	"BA.2.10"	0	"0%"
2022-07-11	"BA.2.12"	0	"0%"
2022-07-11	"BA.2.12.1"	373	"67%"
2022-07-11	"BA.2.18"	20	"4%"
2022-07-11	"BA.2.20"	0	"0%"
2022-07-11	"BA.2.21"	1	"0%"
2022-07-11	"BA.2.3"	12	"2%"
2022-07-11	"BA.2.3.10"	0	"0%"
2022-07-11	"BA.2.3.4"	0	"0%"
2022-07-11	"BA.2.3.6"	3	"1%"
2022-07-11	"BA.2.38"	7	"1%"
2022-07-11	"BA.2.65"	5	"1%"
2022-07-11	"BA.2.66"	0	"0%"
2022-07-11	"BA.2.9"	3	"1%"
2022-07-11	"other lineages"	73	"13%"
2022-07-18	"BA.2"	39	"12%"
2022-07-18	"BA.2.10"	0	"0%"
2022-07-18	"BA.2.12"	0	"0%"
2022-07-18	"BA.2.12.1"	207	"63%"
2022-07-18	"BA.2.18"	2	"1%"
