"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"GK.1.1"	0.17560629	0.11747	0.23375	49	"Ontario"
"HK.3"	0.12897573	0.08998	0.16797	83	"Ontario"
"DV.7.1"	0.12891633	0.08807	0.16976	93	"Ontario"
"HV.1"	0.08860768	NA	NA	39	"Quebec"
"HV.1"	0.08788507	0.06415	0.11162	113	"Ontario"
"HV*"	0.08718779	0.05767	0.1167	53	"Quebec"
"HV.1"	0.08674507	0.07454	0.09895	386	"Canada"
"HV.1"	0.08469801	NA	NA	166	"Alberta"
"FL.10.1"	0.08180962	0.05845	0.10517	43	"Quebec"
"FL.10*"	0.08180962	0.05845	0.10517	43	"Quebec"
"HV*"	0.08110948	0.06195	0.10027	163	"Ontario"
"EG.5.1.6"	0.07866273	0.0491	0.10823	50	"Ontario"
"EG.5.1*"	0.07855663	0.06521	0.0919	415	"Quebec"
"FL.1*"	0.07655404	NA	NA	29	"New Brunswick"
"FL.1.5.1"	0.07655404	NA	NA	29	"New Brunswick"
"HN*"	0.07655404	NA	NA	29	"New Brunswick"
"FL.1.5*"	0.07655404	NA	NA	29	"New Brunswick"
"GJ.4"	0.0765008	0.03234	0.12067	18	"Ontario"
"HK.3"	0.07581176	0.06215	0.08947	168	"Canada"
"EG.5*"	0.07553936	0.06271	0.08837	425	"Quebec"
"HK*"	0.0744043	0.06047	0.08834	249	"Quebec"
"HV*"	0.07234403	0.03487	0.10982	19	"New Brunswick"
"DV.7.1"	0.072083	0.05811	0.08606	141	"Canada"
"XBB.1.22.1"	0.07204426	0.01852	0.12557	11	"Ontario"
"GK.1.1"	0.0715395	0.05642	0.08666	103	"Canada"
"EG.5.1.6"	0.07082748	0.038	0.10365	14	"Quebec"
"EG.5.1.3"	0.07045165	0.05041	0.0905	33	"Quebec"
"HV*"	0.07036474	0.03377	0.10696	19	"British Columbia"
"HV*"	0.07035681	0.06234	0.07838	585	"Canada"
"EG.6.1"	0.06925901	0.04419	0.09433	46	"British Columbia"
"EG.5.1.1"	0.06914834	NA	NA	236	"Quebec"
"XBB.1.16.6"	0.06800956	NA	NA	24	"New Brunswick"
"HR.1"	0.06736928	NA	NA	19	"New Brunswick"
"HR*"	0.06736928	NA	NA	19	"New Brunswick"
"GK*"	0.06735362	0.03884	0.09586	30	"British Columbia"
"XBB.1.16.11"	0.06703441	0.0481	0.08597	92	"Ontario"
"EG.6.1"	0.06642116	0.046	0.08684	28	"Quebec"
"FL.24"	0.06601207	0.03745	0.09458	17	"Canada"
"HK*"	0.06582867	0.02574	0.10591	32	"New Brunswick"
"EG.5.1.3"	0.06578318	0.0428	0.08876	50	"British Columbia"
"DV.7.1"	0.0650838	0.04264	0.08753	18	"Quebec"
"DV.7*"	0.0650838	0.04264	0.08753	18	"Quebec"
