"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"XBB.1.5.39"	0.13207234	0.09164	0.1725	22	"British Columbia"
"FL.1.5.1"	0.10680277	0.08242	0.13119	26	"Canada"
"FY*"	0.1029135	0.06732	0.13851	17	"British Columbia"
"XBB.1.22*"	0.1029135	0.06732	0.13851	17	"British Columbia"
"FY.5"	0.10116813	0.08516	0.11717	61	"Canada"
"XBB.1.16.6"	0.10109518	0.06916	0.13303	16	"Ontario"
"EG.5.1"	0.09930863	0.08621	0.11241	92	"Canada"
"EG.5.1.1"	0.09651263	0.07028	0.12274	29	"Quebec"
"EG.5.1"	0.09591946	0.07876	0.11308	63	"Ontario"
"FY*"	0.09566903	0.07898	0.11236	69	"Ontario"
"EG.5.1*"	0.09471425	0.0858	0.10362	221	"Canada"
"EG.5.1.1"	0.09425106	0.08351	0.10499	129	"Canada"
"XBB.1.22*"	0.09284625	0.07702	0.10867	71	"Ontario"
"GJ.1*"	0.0925593	0.06371	0.12141	21	"Quebec"
"GE.1"	0.09162809	0.06852	0.11473	19	"Canada"
"EG.5.1*"	0.09121504	0.06978	0.11265	39	"Quebec"
"EG.6.1"	0.0890915	0.04862	0.12956	25	"Newfoundland and Labrador"
"GJ.1"	0.0882673	0.059	0.11753	18	"Quebec"
"EG.5*"	0.08668584	0.06816	0.10521	48	"Quebec"
"FL.14"	0.08645386	0.05437	0.11854	14	"Quebec"
"EG.5.1*"	0.08413911	0.0735	0.09478	141	"Ontario"
"GK.1"	0.08342544	0.06418	0.10267	22	"Canada"
"GK*"	0.08088038	0.05009	0.11167	13	"Quebec"
"FY.3*"	0.08005328	0.05771	0.10239	15	"Canada"
"EG.5.1.1"	0.07981031	0.06768	0.09194	78	"Ontario"
"GK*"	0.07962383	0.06416	0.09508	33	"Canada"
"EG*"	0.07884852	0.0492	0.1085	38	"Newfoundland and Labrador"
"FL.4"	0.07823957	0.05668	0.0998	35	"British Columbia"
"FL.1.5*"	0.07693497	0.06378	0.09009	46	"Canada"
"FL.15"	0.07602916	0.06589	0.08617	77	"Canada"
"FY*"	0.07563173	0.06696	0.08431	117	"Canada"
"GK*"	0.07524413	0.05478	0.09571	18	"Ontario"
"FK.1*"	0.0751648	0.0441	0.10623	11	"Quebec"
"XBB.1.5.72"	0.07481318	0.06434	0.08528	69	"Canada"
"EG.5*"	0.07478031	NA	NA	11	"Nova Scotia"
"FD.2"	0.07445565	0.05036	0.09855	28	"British Columbia"
"GK.1"	0.07358495	0.0531	0.09407	17	"Ontario"
"EG.5*"	0.07346562	0.06766	0.07927	301	"Canada"
"FL*"	0.07320757	0.05226	0.09415	56	"Nova Scotia"
"XBB.1.22*"	0.0728065	0.06456	0.08105	121	"Canada"
"XBB.2.3*"	0.07151106	NA	NA	11	"Nova Scotia"
"EG*"	0.07134928	0.04637	0.09633	26	"Nova Scotia"
"XBB.1.5.70"	0.07120756	0.0475	0.09492	11	"Canada"
"EG.5*"	0.07084015	NA	NA	12	"Alberta"
"XBB.1.9*"	0.07081118	0.04637	0.09526	46	"Newfoundland and Labrador"
"GF.1"	0.07000043	0.05035	0.08965	16	"Canada"
"XBB.1.16"	0.06922434	0.04979	0.08866	70	"Nova Scotia"
"XBB.1.19.1"	0.06902912	0.0575	0.08056	67	"Ontario"
"FL.15"	0.06846732	0.05624	0.0807	47	"Ontario"
"XBB.1.19.1"	0.06822623	0.05844	0.07801	75	"Canada"
"XBB.1.5.72"	0.06818104	0.05669	0.07967	57	"Ontario"
"GJ.1*"	0.06806704	0.05792	0.07821	67	"Canada"
"XBB.1.16.6"	0.06802179	0.05618	0.07986	46	"Canada"
"XBB.1.9*"	0.06752794	0.0509	0.08416	82	"Nova Scotia"
"GJ.1"	0.06711065	0.05659	0.07763	60	"Canada"
"FD.1.1"	0.06470685	0.02851	0.1009	11	"Newfoundland and Labrador"
"FD*"	0.06470685	0.02851	0.1009	11	"Newfoundland and Labrador"
"FY*"	0.06451549	0.04088	0.08815	15	"Quebec"
"XBB.1.9.1"	0.06451061	0.03575	0.09327	17	"New Brunswick"
"FL.1*"	0.06416483	0.05009	0.07824	32	"Ontario"
"DV.7"	0.06405033	0.04713	0.08097	20	"Canada"
"FL.2.3"	0.06380762	0.04166	0.08596	11	"Canada"
"XBB.1.16.8"	0.06278279	0.04748	0.07809	23	"Canada"
"XBB.1.42"	0.06220003	0.04426	0.08014	17	"Ontario"
"XBB.1.16.3"	0.06161947	0.04053	0.08271	18	"Quebec"
"EG.2"	0.06105624	0.04455	0.07756	20	"Canada"
"FL.1.5*"	0.05984645	0.04277	0.07693	27	"Quebec"
"FL.15"	0.05974139	0.03648	0.08301	14	"Quebec"
"EG.5*"	0.05971766	0.05341	0.06602	205	"Ontario"
"FD*"	0.05951022	0.03947	0.07955	36	"British Columbia"
"FY.5"	0.05940512	NA	NA	48	"Ontario"
"XBB.1.16*"	0.05914504	0.04415	0.07414	96	"Nova Scotia"
"DV.7"	0.05870249	0.04154	0.07586	18	"Ontario"
"FL.14"	0.05805014	0.04375	0.07235	26	"Canada"
"GJ.1*"	0.05773256	0.04078	0.07468	17	"Ontario"
"XBB.1.9.2"	0.05754174	0.04211	0.07298	39	"Alberta"
"XBB.1.22*"	0.05742529	0.03616	0.07869	16	"Quebec"
"FU*"	0.05709912	0.03865	0.07555	40	"British Columbia"
"GN*"	0.05685247	0.04665	0.06706	56	"Ontario"
"GJ.1"	0.05618288	0.03798	0.07439	14	"Ontario"
"GJ*"	0.05616449	0.04144	0.07089	34	"Quebec"
"FU.2*"	0.05610003	0.03086	0.08134	11	"Quebec"
"GF*"	0.05597525	0.0385	0.07345	21	"Alberta"
"EG*"	0.05535205	0.02751	0.0832	14	"New Brunswick"
"XBB.1.5.73"	0.05499389	0.04461	0.06537	51	"Ontario"
"XBB.1.9.1"	0.0547642	0.03091	0.07862	23	"Nova Scotia"
"EG.1"	0.05450831	0.04401	0.06501	47	"Ontario"
"XBB.1.16.11"	0.05425895	0.0368	0.07172	16	"Canada"
"GN*"	0.05395318	0.04608	0.06182	87	"Canada"
"XBB.1.5.28"	0.05392414	0.04279	0.06506	40	"Canada"
"XBB.2.3.6"	0.05390246	0.03945	0.06835	24	"Canada"
"XBB.2.3.11"	0.05360288	0.04099	0.06622	33	"Ontario"
"XCF"	0.05359904	0.03176	0.07544	14	"Quebec"
"FL.1.5"	0.05317496	0.03745	0.0689	20	"Canada"
"GS*"	0.05303093	0.04104	0.06502	37	"Ontario"
"EG.7"	0.05271493	0.03748	0.06795	21	"Canada"
"FL.1*"	0.05249074	0.04504	0.05994	100	"Canada"
"XBB.1.5.28"	0.05230039	0.03269	0.07191	17	"Quebec"
"XBB.1.5.73"	0.05223813	0.04424	0.06024	82	"Canada"
"EG.4"	0.05190904	NA	NA	21	"Ontario"
"XBB.1.5.10"	0.05181049	0.04362	0.06	78	"Canada"
"EG.2"	0.05113324	0.03427	0.068	16	"Ontario"
"XBL"	0.05111938	0.03821	0.06403	30	"Canada"
"EG*"	0.05109037	0.04637	0.05581	397	"Ontario"
"EG.6.1"	0.05096661	0.04241	0.05952	71	"Canada"
"EG*"	0.05080833	0.03989	0.06172	76	"Alberta"
"FY.2"	0.05070714	0.03619	0.06522	23	"Canada"
"XBB.1.16.2"	0.04991417	0.02858	0.07125	29	"British Columbia"
"XBB.1.16*"	0.04980846	0.04248	0.05713	376	"Alberta"
"XBB.1.42"	0.04977325	0.03841	0.06113	38	"Canada"
"FU*"	0.04958169	0.0355	0.06366	38	"Alberta"
"XBB.1.5.59"	0.04956316	0.03053	0.0686	13	"Canada"
"GR.1"	0.04937602	0.03332	0.06543	18	"Canada"
"XBB.1.16"	0.04937055	0.02531	0.07343	15	"New Brunswick"
"XCF"	0.0491914	0.0325	0.06589	17	"Canada"
"FL.1.5"	0.04908097	0.0308	0.06736	19	"Quebec"
"FL.7"	0.04898731	0.03275	0.06523	18	"Canada"
"XBB.1.16*"	0.04894032	0.02842	0.06946	23	"New Brunswick"
"FU.2*"	0.04875477	0.03535	0.06216	27	"Canada"
"FL.1.5.1"	0.04865339	NA	NA	16	"Ontario"
"FL.1.5*"	0.04865339	NA	NA	16	"Ontario"
"GJ*"	0.04864897	0.03519	0.06211	24	"Ontario"
"XBB.1.9*"	0.04846985	0.04473	0.05221	978	"Ontario"
"XBB.1.5.44"	0.04835862	0.03911	0.05761	58	"Canada"
"FL.2*"	0.04818918	0.04082	0.05555	97	"Canada"
"XBB.2.3.2"	0.04817442	0.03424	0.06211	22	"Ontario"
"XBB.1.16"	0.04784274	0.03992	0.05576	268	"Alberta"
"FL.2"	0.04723569	0.03935	0.05512	83	"Canada"
"XBB.1.16.9"	0.04718424	0.02965	0.06472	20	"Quebec"
"FU.2"	0.04717173	0.03248	0.06186	22	"Canada"
"XBB.1.16.9"	0.04708513	0.03328	0.06089	25	"Canada"
"GB.1"	0.04706449	0.02837	0.06576	12	"Ontario"
"FU.1"	0.0470386	0.03459	0.05949	31	"Canada"
"XBB.1.5.77"	0.04698215	0.03332	0.06064	24	"Ontario"
"FL.2*"	0.04694674	0.03516	0.05873	47	"Quebec"
"XBB.2.3*"	0.04674582	0.03773	0.05577	117	"Alberta"
"FE.1.1"	0.0466896	0.03337	0.06001	27	"Canada"
"XBB.1.16*"	0.04656013	0.0237	0.06942	19	"Newfoundland and Labrador"
"XBB.1.5.63"	0.04633063	0.0321	0.06056	22	"Ontario"
"FL.2"	0.04630626	0.03409	0.05852	43	"Quebec"
"XBB.1.5.10"	0.04614935	0.03568	0.05662	48	"Ontario"
"FE.1.1"	0.0460612	0.02933	0.06279	22	"Quebec"
"EG.5.2"	0.04594994	0.03809	0.05381	80	"Canada"
"DV*"	0.04581506	0.03325	0.05838	28	"Ontario"
"XBL"	0.04522254	0.03283	0.05761	30	"Ontario"
"GS*"	0.04510091	0.03617	0.05403	63	"Canada"
"EG.1*"	0.04508966	0.03707	0.05311	76	"Ontario"
"FL.1*"	0.04476064	0.0329	0.05662	45	"Quebec"
"FL*"	0.04453357	0.04036	0.0487	581	"Ontario"
"EG*"	0.0445134	0.04165	0.04737	926	"Canada"
"XBB.2.3.11"	0.04442564	0.03496	0.05389	55	"Canada"
"XBB.1.16.1"	0.04428181	0.02265	0.06592	26	"British Columbia"
"XBB.1.16"	0.04409745	0.03995	0.04824	566	"Ontario"
"FL.3"	0.04360216	0.03382	0.05338	51	"Canada"
"FU*"	0.04350671	0.03486	0.05215	92	"Quebec"
"XBB.2.3*"	0.04349036	0.03752	0.04946	171	"Ontario"
"XBB.1.16*"	0.04331693	0.03831	0.04832	417	"Quebec"
"XBB.1.16.1"	0.04328944	0.03407	0.05251	78	"Quebec"
"FL.2*"	0.04328785	0.03205	0.05453	34	"Ontario"
"XBB.1.5.44"	0.04323489	0.03386	0.05261	53	"Ontario"
"FL.4"	0.04294373	0.0362	0.04969	136	"Ontario"
"GJ*"	0.04282611	0.03189	0.05377	63	"Alberta"
"FL.7"	0.0424138	0.02472	0.06011	13	"Ontario"
"EY.1"	0.04178946	0.02102	0.06256	29	"British Columbia"
"CH.1.1.14"	0.04158365	0.02349	0.05968	14	"Canada"
"XBB.2.3.4"	0.04147729	0.02278	0.06017	13	"Canada"
"GJ*"	0.04140999	0.03554	0.04728	151	"Canada"
"XBB.1.9.2"	0.04139118	0.01864	0.06414	24	"British Columbia"
"XBB.1.16*"	0.04115488	0.03384	0.04847	348	"British Columbia"
"XBB.1.16"	0.0411482	0.01689	0.06541	14	"Newfoundland and Labrador"
"XBB.1.5.12"	0.04028823	0.01597	0.0646	11	"Alberta"
"XBB.1.16"	0.03983789	0.03407	0.04561	246	"Quebec"
"XBB.1.16.2"	0.03975167	0.02645	0.05306	44	"Alberta"
"XBB.2.3"	0.0397275	0.02487	0.05458	28	"Alberta"
"FL.2"	0.0396667	0.02674	0.0526	28	"Ontario"
"XBB.1.5.73"	0.03939633	0.02374	0.05505	23	"Quebec"
"GN*"	0.03939633	0.02374	0.05505	23	"Quebec"
"FL.3"	0.03937199	0.0205	0.05825	11	"Ontario"
"FD.1.1"	0.03927326	0.01535	0.06319	11	"Alberta"
"XBB.1.16"	0.03919976	0.03667	0.04173	1496	"Canada"
"FL.4"	0.0386859	0.03462	0.04275	388	"Canada"
"XBB.1.9*"	0.03848011	0.027	0.04996	104	"New Brunswick"
"BQ.1.1.1"	0.03834288	0.02573	0.05095	27	"Ontario"
"XBB.1.9*"	0.03829794	0.03625	0.04035	2737	"Canada"
"XBB.1.16*"	0.03810071	0.03589	0.04032	2278	"Canada"
"XBB.1.5.77"	0.03796886	0.02857	0.04737	55	"Canada"
"XBB.1.9*"	0.03777005	0.03071	0.04483	275	"Alberta"
"XBB.1.16"	0.03762875	0.02965	0.0456	272	"British Columbia"
"XBB.1.17.1"	0.03749589	0.02467	0.05032	28	"Canada"
"XBB.1.5.25"	0.03742219	0.02421	0.05064	27	"Canada"
"FL.1.3"	0.03724162	0.022	0.05248	20	"Canada"
"XBB.1.5.10"	0.03702518	0.02137	0.05268	22	"Quebec"
"XBB.1.9.1"	0.0367114	0.03107	0.04236	184	"Ontario"
"XBB.2.3*"	0.03669233	0.02908	0.0443	109	"Quebec"
"CH.1.1.14"	0.03662716	0.01696	0.0563	14	"Quebec"
"FL.3*"	0.03621821	0.01882	0.05361	13	"Ontario"
"FL.3"	0.03607123	0.02174	0.0504	27	"Quebec"
"FE.1"	0.03593061	0.01475	0.05711	12	"Quebec"
"XBB.1.9.1"	0.03578307	0.0257	0.04586	81	"Alberta"
"FL*"	0.0357374	0.02417	0.0473	90	"New Brunswick"
"FL*"	0.03570015	0.02819	0.04321	313	"British Columbia"
"FU*"	0.03567418	0.03153	0.03982	349	"Canada"
"XBB.2.3"	0.03566204	0.02135	0.04998	19	"Ontario"
"XBB.1.16*"	0.03557027	0.03224	0.0389	931	"Ontario"
"XBB.2.3*"	0.03507311	0.03181	0.03833	613	"Canada"
"FL*"	0.03503419	0.03273	0.03734	1803	"Canada"
"XBB.1.17.1"	0.03493449	0.01911	0.05076	21	"Quebec"
"EG*"	0.03456155	0.02887	0.04025	217	"Quebec"
"XBB.1.16"	0.03452723	0.0055	0.06355	17	"Manitoba"
"EG.5.2"	0.03439289	0.02603	0.04275	64	"Ontario"
"FL.1"	0.03430735	0.01893	0.04968	20	"Canada"
"XBB.1.9.2"	0.03423663	0.02873	0.03974	182	"Canada"
"EU.1.1*"	0.03407584	0.0235	0.04465	39	"Ontario"
"FL.5"	0.03392068	0.02575	0.04209	74	"Ontario"
"EU.1.1*"	0.03382964	0.02561	0.04205	74	"Canada"
"XBB.1.5.25"	0.03328748	0.01849	0.04809	25	"Quebec"
"FL.10"	0.03318471	0.01863	0.04774	22	"Canada"
"XBB.1.9*"	0.03314114	0.02644	0.03984	450	"British Columbia"
"XBB.1.5.30"	0.03307512	0.01721	0.04894	18	"Ontario"
"XBB.2.3"	0.03301367	0.01831	0.04771	25	"Quebec"
"EG.1.3"	0.03301177	0.02051	0.04552	27	"Ontario"
"XBB.1.16.1"	0.03264918	0.02821	0.03709	291	"Canada"
"FL.13"	0.03257864	0.00335	0.06181	14	"British Columbia"
"EU.1.1"	0.03239987	0.01144	0.05336	12	"Quebec"
"EG.1"	0.03239834	0.0269	0.0379	167	"Canada"
"FL.3*"	0.0320792	0.02098	0.04318	46	"Quebec"
"FL*"	0.03206724	0.02429	0.03984	197	"Alberta"
"EU.1.1"	0.03202957	0.02119	0.04287	37	"Ontario"
"FL.13"	0.03196228	0.01427	0.04965	17	"Quebec"
"EU.1.1"	0.03189492	0.02326	0.04053	67	"Canada"
"XBB.1.5.37"	0.03189466	0.02095	0.04284	46	"Quebec"
"CH.1.1.29"	0.03189241	0.00954	0.05424	22	"Newfoundland and Labrador"
"FD.1.1"	0.0316505	0.02382	0.03948	71	"Ontario"
"FK.1.1"	0.03147425	0.01736	0.04559	24	"Canada"
"FL.13"	0.03146036	0.01879	0.04413	26	"Ontario"
"FL.4"	0.03138841	0.01559	0.04719	27	"Alberta"
"XBB.1.5.63"	0.03131358	0.02106	0.04157	47	"Canada"
"EU.1.1*"	0.03129548	0.01306	0.04953	16	"Quebec"
"XBB.2.3.3"	0.03114557	0.01861	0.04368	47	"Alberta"
"XBB.1.9.1"	0.03111822	0.02147	0.04076	170	"British Columbia"
"FE.1*"	0.03093354	0.02267	0.0392	89	"Quebec"
"FE.1.1*"	0.03086613	0.02476	0.03697	140	"Canada"
"FE*"	0.03073572	0.02259	0.03888	92	"Quebec"
"XBB.1.9.2"	0.03040879	0.01994	0.04087	40	"Ontario"
"XBB.1.16*"	0.03032176	0.00382	0.05683	20	"Manitoba"
"FL.3*"	0.03018675	0.02284	0.03753	95	"Canada"
"XBB.1.9.2"	0.02990465	0.02042	0.03939	65	"Quebec"
"BF*"	0.02988902	0.01397	0.04581	19	"Canada"
"XBB.1.5.37"	0.02987576	0.0181	0.04165	31	"Ontario"
"FE.1.1*"	0.02985284	0.02089	0.03882	73	"Quebec"
"FL.12"	0.0298432	0.01388	0.04581	19	"Canada"
"XBB.1.9*"	0.02953611	0.02583	0.03324	744	"Quebec"
"BQ.1.1.1"	0.02949635	0.0179	0.04109	37	"Canada"
"XBB.1.5.13"	0.02949581	0.00555	0.05344	11	"Alberta"
"XBB.1.5.37"	0.02937142	0.02202	0.03672	95	"Canada"
"XBB.1.5.50"	0.02925987	0.01701	0.04151	48	"Alberta"
"FD.1.1"	0.02886924	0.02614	0.03159	1080	"Canada"
"FH.1"	0.02882465	0.01363	0.04402	21	"Canada"
"XBB.1.5.24"	0.02877781	0.00648	0.05108	12	"Alberta"
"XBB.1.16.3"	0.02875541	0.02107	0.03644	88	"Canada"
"EG.1.3"	0.02846589	0.01915	0.03778	58	"Canada"
"XBB.2.3.5"	0.02833002	0.01726	0.0394	41	"Canada"
"XBB.2.3.2"	0.02827987	0.0213	0.03525	105	"Canada"
"XBB.1.5.77"	0.02820224	0.01327	0.04313	24	"Quebec"
"FL.3*"	0.02809575	0.00851	0.04768	32	"British Columbia"
"XBB.1.16.6"	0.02805897	0.00727	0.04885	12	"Quebec"
"XBB.1.16.1"	0.02803757	0.01068	0.0454	21	"Alberta"
"XBB.2.3*"	0.02767709	0.01798	0.03738	159	"British Columbia"
"FK.1*"	0.02765497	0.01781	0.0375	52	"Canada"
"EG.1*"	0.02753078	0.02311	0.03195	282	"Canada"
"FU*"	0.02744864	0.00272	0.05218	12	"Nova Scotia"
"FK.1"	0.02726176	0.01187	0.04265	21	"Canada"
"FD*"	0.02719135	0.0246	0.02978	1257	"Canada"
"FL.4"	0.02715553	0.01402	0.04029	53	"New Brunswick"
"XBB.1.5.4"	0.02710176	0.01149	0.04271	22	"Quebec"
"EG.1"	0.02693997	0.01066	0.04322	47	"British Columbia"
"XBB.1.5.1"	0.02686478	0.01416	0.03957	90	"British Columbia"
"FE.1.1.1"	0.0267754	0.01998	0.03357	113	"Canada"
"FL*"	0.02675992	0.02265	0.03087	523	"Quebec"
"FL.4"	0.0263615	0.01918	0.03354	117	"Quebec"
"XBB.1.5.86"	0.02628033	0.01525	0.03731	37	"Ontario"
"FL.5"	0.02621297	0.00982	0.0426	27	"Alberta"
"EG.1*"	0.02616845	0.0137	0.03864	89	"British Columbia"
"FU*"	0.02597072	0.0201	0.03184	154	"Ontario"
"XBB.1.5.13"	0.02563327	0.01282	0.03845	88	"British Columbia"
"FL.5"	0.0255704	0.01994	0.0312	179	"Canada"
"EG*"	0.02532592	0.01488	0.03577	135	"British Columbia"
"XBB.2.3.12"	0.02511826	0.00537	0.04487	13	"Canada"
"XBB.1.9.1"	0.02498949	0.02178	0.0282	645	"Canada"
"FD*"	0.024755	0.01856	0.03095	131	"Ontario"
"XBB.1.5.30"	0.02465634	0.01617	0.03314	72	"Canada"
"XBB.1.16.1"	0.02452751	0.01844	0.03062	143	"Ontario"
"FL.3.1"	0.02417466	0.00594	0.04241	16	"Quebec"
"GF*"	0.02413403	0.01437	0.0339	55	"Canada"
"FD*"	0.02396788	0.00576	0.04217	20	"Alberta"
"FL.13"	0.02394492	0.01672	0.03117	103	"Canada"
"XBB.2.3.3"	0.02383448	0.00368	0.04399	13	"Quebec"
"GJ*"	0.02381763	-0.004	0.05164	16	"British Columbia"
"XBB.2.3.5"	0.02335501	0.0124	0.03431	39	"Ontario"
"XBB.2.3"	0.02312365	0.01749	0.02876	173	"Canada"
"EG.1"	0.02298471	0.01336	0.03261	62	"Quebec"
"EG.6.1"	0.02287925	0.01158	0.03418	36	"Ontario"
"FE.1.1.1"	0.02265574	0.01217	0.03314	51	"Quebec"
"FE.1.1.1"	0.02211832	0.0129	0.03133	54	"Ontario"
"FE.1.1*"	0.02203977	0.01312	0.03096	58	"Ontario"
"XBB.1.16.2"	0.02200174	0.00561	0.0384	20	"Quebec"
"XBB.1.5.49"	0.02169638	0.01441	0.02898	110	"Quebec"
"XBB.2.3.3"	0.02157887	0.01349	0.02967	84	"Canada"
"XBB.2.3.2"	0.02157497	-0.00664	0.04979	16	"Manitoba"
"FD.1.1"	0.02135425	0.01781	0.0249	898	"Quebec"
"GF*"	0.0213295	0.00552	0.03714	18	"Ontario"
"EG.1.4"	0.02112644	0.00253	0.03972	39	"British Columbia"
"XBB.1.5.2"	0.02099071	0.00448	0.0375	50	"British Columbia"
"XBB.1.5.86"	0.02090823	0.01014	0.03167	47	"Canada"
"FD.1.1"	0.02089668	0.0089	0.03289	83	"New Brunswick"
"FD*"	0.02079619	0.00882	0.03277	84	"New Brunswick"
"CH.1.1.29"	0.02060341	0.00717	0.03404	30	"Canada"
"XBB.1.5.1"	0.02043421	0.0098	0.03107	77	"Alberta"
"FE*"	0.0202714	0.01525	0.02529	230	"Canada"
"FE.1*"	0.02018931	0.01509	0.02529	222	"Canada"
"FD*"	0.02009688	0.01663	0.02356	963	"Quebec"
"EG.1*"	0.02000274	0.01226	0.02775	99	"Quebec"
"XBB.1.16.2"	0.01901274	0.01378	0.02425	209	"Canada"
"CH.1.1*"	0.01900798	0.01267	0.02535	127	"Ontario"
"XBB.2.3.2"	0.01860645	0.00477	0.03244	29	"Quebec"
"FD.2"	0.01846901	0.00739	0.02955	46	"Canada"
"XBB.1.16.3"	0.01793164	0.00917	0.02669	69	"Ontario"
"XBB.2.3"	0.01778975	0.00531	0.03027	87	"British Columbia"
"XBB.1.5.62"	0.01691898	0.00687	0.02697	57	"Canada"
"BA.2.75*"	0.0165363	0.01041	0.02266	141	"Ontario"
"XBB.1.5.68"	0.01622994	-0.00551	0.03797	12	"Canada"
"GB.1"	0.01609992	0.00418	0.02802	41	"Canada"
"EG.1*"	0.01597965	-0.00768	0.03964	13	"Alberta"
"CH.1.1"	0.01579462	0.00715	0.02444	68	"Ontario"
"FE.1*"	0.01555724	0.00762	0.02349	82	"Ontario"
"FE*"	0.01511604	0.00728	0.02295	85	"Ontario"
"FL.5"	0.0146499	0.00381	0.02549	51	"Quebec"
"FH*"	0.01375094	-0.00085	0.02835	27	"Quebec"
"EY.1"	0.0131407	-0.00136	0.02764	29	"Canada"
"XBB.1.5.62"	0.01293639	-0.00221	0.02808	25	"Quebec"
"XBB.1.5.62"	0.01253118	-0.0008	0.02586	30	"Ontario"
"XBB.1.5.15"	0.0124828	-0.00011	0.02507	34	"Ontario"
"XBB.2.3*"	0.0120038	-0.01413	0.03814	18	"Manitoba"
"XBB.1.5.51"	0.01176134	-0.01019	0.03371	12	"Quebec"
"FL.3.1"	0.01166349	-0.00154	0.02486	36	"Canada"
"XBB.1.5.31"	0.01130318	0.00007	0.02253	44	"Ontario"
"CH.1.1*"	0.01114752	-0.00133	0.02363	56	"Alberta"
"XBB.1.5.30"	0.01088856	-0.00383	0.02561	40	"Newfoundland and Labrador"
"XBB.1.5.16"	0.01087296	-0.00866	0.0304	17	"Canada"
"FK.1*"	0.01069286	-0.01652	0.03791	18	"British Columbia"
"XBB.1.5.49"	0.01068956	0.00606	0.01532	315	"Canada"
"FL.13"	0.01042486	-0.00452	0.02537	38	"Alberta"
"XBB.1.5.15"	0.01017102	0.00261	0.01774	115	"Canada"
"EG.1.4"	0.00936818	-0.00245	0.02119	47	"Canada"
"XBB.1.5.13"	0.00933365	0.00378	0.01489	223	"Canada"
"XBB.1.5.13"	0.0092291	0.00005	0.01841	74	"Quebec"
"XBB.1.16.2"	0.00903081	0.00166	0.0164	101	"Ontario"
"CH.1.1.11"	0.00888051	-0.00944	0.0272	25	"Alberta"
