"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"BQ.1.1.9"	12.418975	8.188	16.65	22	"Canada"
"BQ.1.1.9"	12.170809	7.83	16.512	22	"Ontario"
"XBB.1.5"	10.938568	9.655	12.222	893	"Quebec"
"XBB.1*"	9.733054	8.643	10.823	952	"Quebec"
"XBB.1.5"	9.105473	8.643	9.567	3083	"Canada"
"BQ.1.25"	8.919169	5.16	12.679	17	"Alberta"
"XBB*"	8.847678	7.882	9.813	966	"Quebec"
"XBB.1.5"	8.75625	8.162	9.351	1858	"Ontario"
"CH.1.1.1"	8.722947	6.339	11.107	40	"Quebec"
"XBB.1.5"	7.917541	6.76	9.075	246	"Alberta"
"CH.1.1*"	7.614407	6.152	9.077	118	"Quebec"
"CH.1.1.1"	7.364019	5.814	8.914	63	"Canada"
"XBB.1*"	7.342649	6.986	7.699	3471	"Canada"
"CH.1.1"	7.290916	5.337	9.245	45	"Quebec"
"BM.1.1.1"	7.106539	3.762	10.451	12	"Canada"
"CH.1.1.1"	7.087672	4.27	9.905	19	"Ontario"
"XBB.1*"	6.917538	6.455	7.38	2095	"Ontario"
"XBB*"	6.539694	6.223	6.856	3574	"Canada"
"BA.5.3.1"	6.366287	3.739	8.993	17	"Quebec"
"CH.1.1.2"	6.311417	4.384	8.239	33	"Quebec"
"BW.1.1"	6.162686	4.117	8.208	67	"New Brunswick"
"BW.1*"	6.162686	4.117	8.208	67	"New Brunswick"
"XBF"	6.082645	3.23	8.935	12	"Quebec"
"BQ.1.1.13"	6.040295	1.266	10.815	15	"New Brunswick"
"XBB*"	6.005569	5.598	6.414	2155	"Ontario"
"XBB.1*"	5.990146	5.198	6.782	319	"Alberta"
"CJ*"	5.716793	3.98	7.454	34	"Canada"
"BQ.1.1.2"	5.711775	4.083	7.341	46	"Ontario"
"CJ.1"	5.586045	3.02	8.152	17	"Ontario"
"XBB.1"	5.584007	4.181	6.987	58	"Quebec"
"XBB.1*"	5.433985	3.607	7.261	56	"New Brunswick"
"CJ*"	5.414198	3.229	7.6	23	"Ontario"
"XBB*"	5.368566	4.667	6.07	345	"Alberta"
"BQ.1.15"	5.357419	4.034	6.681	65	"Quebec"
"XBB*"	5.341088	3.559	7.123	58	"New Brunswick"
"CH.1.1*"	5.324539	4.791	5.858	444	"Canada"
"CH.1.1*"	5.288283	4.564	6.013	276	"Ontario"
"CH.1.1"	5.223176	4.474	5.972	249	"Ontario"
"CJ.1"	5.096776	3.084	7.109	22	"Canada"
"CH.1.1"	5.065459	4.489	5.642	339	"Canada"
"CH.1.1.2"	5.064035	3.6	6.528	42	"Canada"
"BQ.1.1.2"	4.945831	3.674	6.217	55	"Canada"
"BA.5.6*"	4.874392	3.26	6.488	70	"New Brunswick"
"BQ.1.1.10"	4.764184	2.605	6.923	17	"Quebec"
"BQ.1.10"	4.671684	2.893	6.45	28	"Alberta"
"XBF"	4.614463	3.382	5.847	59	"Alberta"
"XBF"	4.576926	3.647	5.507	100	"Canada"
"BQ.1.3"	4.55274	3.105	6.001	39	"Alberta"
"BQ.1.15"	4.507922	1.94	7.076	14	"Ontario"
"BA.2*"	4.450916	3.988	4.914	1228	"Quebec"
"CK.2*"	4.378024	1.842	6.914	11	"Alberta"
"BQ.1.15"	4.270918	3.299	5.243	83	"Canada"
"XBF"	4.268737	2.478	6.06	28	"Ontario"
"BM*"	4.159086	1.376	6.942	12	"New Brunswick"
"BQ.1.1.13"	4.090005	2.4	5.78	30	"Ontario"
"BA.5.2.13"	4.042355	NA	NA	13	"Alberta"
"BM*"	3.949062	3.123	4.775	144	"Quebec"
"CM.8.1"	3.741218	2.533	4.949	60	"Ontario"
"CM.8*"	3.741218	2.533	4.949	60	"Ontario"
"BQ.1.22"	3.736309	1.955	5.518	22	"Quebec"
"BQ.1.1.15"	3.724371	1.974	5.475	23	"Quebec"
"BM*"	3.707943	3.146	4.27	333	"Ontario"
"CM.8*"	3.68424	2.747	4.621	82	"Canada"
"BM*"	3.647259	3.248	4.046	538	"Canada"
"CM.8.1"	3.646954	2.708	4.586	81	"Canada"
"BQ.1.1.13"	3.548524	2.646	4.451	84	"Canada"
"XBB.1.5"	3.530687	0.851	6.21	29	"Nova Scotia"
"XBB.1*"	3.530687	0.851	6.21	29	"Nova Scotia"
"XBB*"	3.530687	0.851	6.21	29	"Nova Scotia"
"BQ.1.1.5"	3.529769	1.831	5.229	39	"New Brunswick"
"BF.7.5"	3.486845	1.983	4.99	30	"Alberta"
"BQ.1.1.13"	3.476558	1.112	5.841	11	"Quebec"
