"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"XBB.1.11.1"	0.11084865	0.06614	0.15556	16	"Canada"
"XBB.1.11.1"	0.1027372	0.05826	0.14722	15	"Ontario"
"XBB.1.16"	0.09436806	0.04199	0.14675	16	"Alberta"
"XBB.1.18.1*"	0.08733742	0.04506	0.12961	16	"Quebec"
"FE.1"	0.08445841	0.06567	0.10325	61	"Canada"
"FE.1"	0.08217207	0.0406	0.12374	15	"Quebec"
"XBB.1.16*"	0.08042045	0.03812	0.12272	14	"Quebec"
"XBB.1.16*"	0.0799707	0.03964	0.1203	21	"Alberta"
"XBB.2.3*"	0.07852473	0.03178	0.12527	11	"Quebec"
"FE.1"	0.07789056	0.05626	0.09952	42	"Ontario"
"XBB.1.18.1*"	0.07488682	0.05834	0.09143	67	"Canada"
"XBB.1.16.1"	0.07177324	0.05153	0.09201	42	"Canada"
"XBB.1.18.1*"	0.07072585	0.05113	0.09032	45	"Ontario"
"XBB.1.5.36"	0.06679611	0.03786	0.09573	19	"Ontario"
"XBB.1.16*"	0.06666526	0.05775	0.07558	208	"Canada"
"XBB.1.16.1"	0.06593881	0.04185	0.09003	27	"Ontario"
"XBB.1.16"	0.06512149	0.05532	0.07492	166	"Canada"
"XBB.1.5.2"	0.06452432	0.03976	0.08929	30	"Quebec"
"XBB.1.5.35"	0.06113879	0.03688	0.0854	29	"Quebec"
"XBB.1.16*"	0.06060166	0.05082	0.07038	159	"Ontario"
"XBB.1.16"	0.0591083	0.04859	0.06963	132	"Ontario"
"XBB.1.5.12"	0.05321821	0.03634	0.07009	44	"Ontario"
"EL.1"	0.05054485	0.0177	0.08339	11	"Canada"
"XBB.1.5.35"	0.04845685	0.03232	0.0646	44	"Canada"
"XBB.2.3"	0.04786603	0.01073	0.085	13	"Alberta"
"XBB.2.3*"	0.04786603	0.01073	0.085	13	"Alberta"
"XBB.1.5.1"	0.04740649	0.01952	0.07529	23	"Alberta"
"XBB.1.9.1"	0.04573096	-0.01103	0.10249	11	"British Columbia"
"XBB.1.5.30"	0.04526152	0.02562	0.0649	28	"Canada"
"XBB.2.3*"	0.04356094	0.02734	0.05978	40	"Canada"
"XBB.1.9.1"	0.0433473	NA	NA	11	"New Brunswick"
"XBB.1.9*"	0.0433473	NA	NA	11	"New Brunswick"
"XBB.1.5.1"	0.04197768	0.01099	0.07297	12	"Quebec"
"XBB.1.19.1"	0.0418765	0.01482	0.06894	14	"Canada"
"XBB.2.3"	0.04122775	0.02447	0.05798	36	"Canada"
"XBB.1.5.12"	0.04079419	0.01246	0.06913	14	"Quebec"
"XBB.1.5.14*"	0.04054299	0.02057	0.06052	25	"Canada"
"EG.1"	0.04046702	0.02221	0.05872	34	"Quebec"
"XBB.1.17.1"	0.0402883	0.0182	0.06238	20	"Canada"
"XBB.1.5.10"	0.03900262	0.0158	0.06221	18	"Canada"
"XBB.1.5.30"	0.03898992	0.00109	0.07689	18	"Newfoundland and Labrador"
"EU.1.1"	0.03849853	0.01004	0.06696	12	"Canada"
"XBB.1.19*"	0.03822597	0.01297	0.06348	15	"Canada"
"FD.1.1"	0.03727775	0.01156	0.06299	14	"Ontario"
"XBB.1.5.15.1*"	0.03727775	0.01156	0.06299	14	"Ontario"
"XBB.1.5.26*"	0.03624538	0.01356	0.05893	18	"Canada"
"XBB.1.5.10"	0.03579392	0.00839	0.0632	12	"Ontario"
"FD.1.1"	0.03560608	0.0302	0.04101	329	"Canada"
"XBB.1.5.15.1*"	0.03541313	0.03007	0.04075	337	"Canada"
"FD.1.1"	0.03512164	0.0289	0.04134	291	"Quebec"
"XBB.1.5.15.1*"	0.03512164	0.0289	0.04134	291	"Quebec"
"EG.1"	0.0351212	0.02135	0.04889	48	"Canada"
"XBB.2.3*"	0.0349177	0.01059	0.05925	15	"Ontario"
"XBB.1.9.2*"	0.03412916	0.01868	0.04958	42	"Quebec"
