"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"NB.1.8.1"	0.13416091	0.10054	0.16778	56	"Canada"	0	"dashed"	"XEC"
"NB.1.8.1"	0.07199731	0.064797579	0.079197041	26	"Alberta"	0	"solid"	"XEC"
"NY.3"	0.07127671	0.04602	0.09653	16	"Canada"	0	"dashed"	"XEC"
"LP.8.1*"	0.07045878	0.03562	0.1053	21	"New Brunswick"	0	"dashed"	"XEC*"
"LP*"	0.07045878	0.03562	0.1053	21	"New Brunswick"	0	"dashed"	"XEC*"
"KP.1.1*"	0.07045878	0.03562	0.1053	21	"New Brunswick"	0	"dashed"	"XEC*"
"NB.1.8.1"	0.06853848	0.061684632	0.075392328	16	"British Columbia"	0	"solid"	"XEC"
"LF.7.9"	0.06811212	0.04645	0.08977	20	"Canada"	0	"dashed"	"XEC"
"LP.8.1.1"	0.06749332	0.03249	0.10249	19	"New Brunswick"	0	"dashed"	"XEC"
"NY*"	0.06749332	0.03249	0.10249	19	"New Brunswick"	0	"dashed"	"XEC*"
"LP.8.1.6"	0.06323042	0.056907378	0.069553462	44	"Canada"	0	"solid"	"XEC"
"NB.1*"	0.06071593	0.04765	0.07378	71	"Canada"	0	"dashed"	"XEC*"
"PA.1"	0.06033321	0.0327	0.08797	16	"Ontario"	0	"dashed"	"XEC"
"MC.10.1"	0.05901671	0.053115039	0.064918381	20	"Alberta"	0	"solid"	"XEC"
"LP.8.1.1"	0.05449773	0.04128	0.06772	88	"Alberta"	0	"dashed"	"XEC"
"LP.8.1*"	0.0507474	0.02908	0.07242	24	"Newfoundland and Labrador"	0	"dashed"	"XEC*"
"LP*"	0.0507474	0.02908	0.07242	24	"Newfoundland and Labrador"	0	"dashed"	"XEC*"
"KP.1.1*"	0.0507474	0.02908	0.07242	24	"Newfoundland and Labrador"	0	"dashed"	"XEC*"
"NY*"	0.04891193	0.02686	0.07096	21	"Newfoundland and Labrador"	0	"dashed"	"XEC*"
"LP.8.1.4"	0.04823481	0.01825	0.07822	12	"Alberta"	0	"dashed"	"XEC"
"LP.8.1.1"	0.04795711	0.02574	0.07017	20	"Newfoundland and Labrador"	0	"dashed"	"XEC"
"MC.10*"	0.04750283	0.03055	0.06446	32	"Alberta"	0	"dashed"	"XEC*"
"LP.8.1.4"	0.04711373	0.0354	0.05883	46	"Canada"	0	"dashed"	"XEC"
"LP*"	0.04681482	0.00855	0.08508	11	"Nova Scotia"	0	"dashed"	"XEC*"
"KP.1.1*"	0.04681482	0.00855	0.08508	11	"Nova Scotia"	0	"dashed"	"XEC*"
"MC.10.1*"	0.04553241	0.02876	0.0623	29	"Alberta"	0	"dashed"	"XEC*"
"NL.9"	0.04441283	0.02209	0.06673	11	"Canada"	0	"dashed"	"XEC"
"XEC.18"	0.04402959	0.02437	0.06369	17	"Ontario"	0	"dashed"	"XEC"
"MC.10.1.4"	0.0440132	0.02266	0.06537	12	"Canada"	0	"dashed"	"XEC"
"PA*"	0.04179088	0.0258	0.05778	26	"Ontario"	0	"dashed"	"XEC*"
"KP.3.3*"	0.04142808	0.01896	0.0639	14	"British Columbia"	0	"dashed"	"XEC*"
"XEC.2"	0.03953167	0.01021	0.06886	13	"Nova Scotia"	0	"dashed"	"XEC"
"XEC.2*"	0.03953167	0.01021	0.06886	13	"Nova Scotia"	0	"dashed"	"XEC*"
"LP.8.1.4"	0.03900526	0.02018	0.05784	23	"British Columbia"	0	"dashed"	"XEC"
"XFG"	0.03824592	0.01339	0.0631	12	"Canada"	0	"dashed"	"XEC"
"NY.7"	0.03816772	0.02052	0.05581	19	"Ontario"	0	"dashed"	"XEC"
"LP.8.1.4"	0.0379582	0.01499	0.06093	11	"Ontario"	0	"dashed"	"XEC"
