"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"reference"
"JN.1"	0.11215157	0.07785	0.14645	63	"Quebec"	"EG.5*"
"JN.1"	0.11053752	0.09483	0.12624	269	"Ontario"	"EG.5*"
"JN.1"	0.10750783	0.09806	0.11695	594	"Canada"	"EG.5*"
"JN*"	0.10492242	0.07491	0.13493	71	"Quebec"	"EG.5.1.1"
"BA.2.86*"	0.10492242	0.07491	0.13493	71	"Quebec"	"EG.5.1.1"
"JN.1"	0.09593225	0.08096	0.1109	216	"Alberta"	"EG.5*"
"JG*"	0.09292213	0.03985	0.146	20	"Newfoundland and Labrador"	"EG.5.1.1"
"JD.1.1.3"	0.09079173	0.05441	0.12717	16	"Canada"	"EG.5*"
"JN*"	0.08864437	0.07054	0.10675	69	"British Columbia"	"EG.5.1.1"
"BA.2.86.1"	0.08597808	0.06219	0.10977	32	"British Columbia"	"EG.5*"
"JG.3"	0.0851346	NA	NA	42	"Nova Scotia"	"EG.5*"
"BA.2.86*"	0.0825045	0.06595	0.09906	71	"British Columbia"	"EG.5.1.1"
"JN*"	0.07602045	0.06812	0.08392	417	"Ontario"	"EG.5.1.1"
"JN.2"	0.07568721	0.04995	0.10142	21	"British Columbia"	"EG.5*"
"BA.2.86*"	0.07542334	0.0676	0.08325	418	"Ontario"	"EG.5.1.1"
"JN.1"	0.07320551	0.03336	0.11305	17	"Nova Scotia"	"EG.5*"
"XCP"	0.07176025	0.03707	0.10645	11	"Canada"	"EG.5*"
"JD.1.1.1"	0.07054181	0.06064	0.08045	190	"Ontario"	"EG.5*"
"JD.1.1.1"	0.06819892	0.06017	0.07623	234	"Canada"	"EG.5*"
"JN*"	0.06661779	0.06231	0.07093	1039	"Canada"	"EG.5.1.1"
"JD.1.1*"	0.06609538	0.04309	0.0891	29	"Quebec"	"EG.5.1.1"
"JD.1*"	0.06609538	0.04309	0.0891	29	"Quebec"	"EG.5.1.1"
"BA.2.86*"	0.06596062	0.0617	0.07022	1043	"Canada"	"EG.5.1.1"
"JN*"	0.0652981	0.04035	0.09025	30	"Nova Scotia"	"EG.5.1.1"
"BA.2.86*"	0.0652981	0.04035	0.09025	30	"Nova Scotia"	"EG.5.1.1"
"GK.2*"	0.06458455	0.03154	0.09763	18	"Nova Scotia"	"EG.5.1.1"
"JD.1.1"	0.06401948	0.04104	0.087	27	"Quebec"	"EG.5*"
"FL.13*"	0.06146804	0.03229	0.09064	12	"Canada"	"EG.5.1.1"
"JG.3"	0.06105684	0.0497	0.07241	127	"Alberta"	"EG.5*"
"JD.1.1*"	0.05880321	0.05292	0.06468	453	"Ontario"	"EG.5.1.1"
"HV.1"	0.05733794	0.04512	0.06955	257	"Manitoba"	"EG.5*"
"FL.4*"	0.05636442	0.02421	0.08852	21	"Newfoundland and Labrador"	"EG.5.1.1"
"FL.4.9"	0.05636442	0.02421	0.08852	21	"Newfoundland and Labrador"	"EG.5*"
"HV*"	0.0563548	0.0443	0.06841	259	"Manitoba"	"EG.5.1.1"
"HK.3.2"	0.05577221	0.04988	0.06166	322	"Canada"	"EG.5*"
"FL.1.5.1"	0.05555137	0.01717	0.09394	13	"Newfoundland and Labrador"	"EG.5*"
"FL.1.5*"	0.05555137	0.01717	0.09394	13	"Newfoundland and Labrador"	"EG.5.1.1"
"HN*"	0.05555137	0.01717	0.09394	13	"Newfoundland and Labrador"	"EG.5.1.1"
"FL.1*"	0.05555137	0.01717	0.09394	13	"Newfoundland and Labrador"	"EG.5.1.1"
"JN.1"	0.05459972	NA	NA	14	"British Columbia"	"EG.5*"
"JG.3"	0.05418806	0.05032	0.05805	905	"Canada"	"EG.5*"
"HK.3.2"	0.05414569	0.04714	0.06115	242	"Ontario"	"EG.5*"
"FL.1.5.2"	0.0536197	0.01571	0.09153	11	"New Brunswick"	"EG.5*"
"JD.1*"	0.05341474	0.04813	0.0587	493	"Ontario"	"EG.5.1.1"
"FL.15.1.1"	0.05316475	0.03637	0.06996	33	"Ontario"	"EG.5*"
"JG.3"	0.05287363	0.04791	0.05783	624	"Ontario"	"EG.5*"
"JN.2"	0.0525547	0.04148	0.06363	77	"Ontario"	"EG.5*"
"HK.3"	0.05234439	0.03556	0.06912	87	"Nova Scotia"	"EG.5*"
"HK.3*"	0.05234439	0.03556	0.06912	87	"Nova Scotia"	"EG.5.1.1"
"GJ.1.2*"	0.05226564	0.02406	0.08047	20	"Nova Scotia"	"EG.5.1.1"
"GJ.1*"	0.05226564	0.02406	0.08047	20	"Nova Scotia"	"EG.5.1.1"
"GJ*"	0.05226564	0.02406	0.08047	20	"Nova Scotia"	"EG.5.1.1"
"JD.1.1"	0.05212562	0.04556	0.05869	260	"Ontario"	"EG.5*"
"HV.1"	0.05181554	0.04869	0.05494	3538	"Ontario"	"EG.5*"
