"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"XBB.1.9.2"	0.11100929	0.06417	0.15785	15	"Canada"
"BQ.1.9"	0.10521101	0.07569	0.13473	36	"Canada"
"BQ.1.9"	0.09625621	0.06769	0.12482	36	"Ontario"
"BQ.1.1.8"	0.09466083	0.0296	0.15973	19	"Manitoba"
"XBB.1.5*"	0.09460916	0.08523	0.10399	1947	"Quebec"
"XBB.1.5"	0.09427248	0.08487	0.10368	1880	"Quebec"
"XBB.1.9.1"	0.0930966	0.07671	0.10948	91	"Canada"
"XBB.1.9*"	0.09101565	0.0763	0.10574	109	"Canada"
"EF.1.1.1"	0.08975511	0.06205	0.11746	27	"Canada"
"BQ.1.1"	0.08720825	0.04599	0.12842	113	"Manitoba"
"XBB.1.5.7"	0.08696285	0.0588	0.11512	29	"Quebec"
"XBB.1.5.2"	0.0868315	0.06431	0.10935	38	"Canada"
"EF.1"	0.08505995	0.03004	0.14008	27	"New Brunswick"
"XBB.1*"	0.08475912	0.07672	0.0928	2060	"Quebec"
"XBB*"	0.08213596	0.07441	0.08986	2072	"Quebec"
"EF.1.1.1"	0.07778487	0.05151	0.10406	25	"Ontario"
"XBB.1.5.1"	0.0774077	0.05272	0.1021	24	"Canada"
"DV.1"	0.07582036	0.06208	0.08956	76	"Canada"
"XBB.1.5*"	0.07573242	0.06643	0.08504	487	"Alberta"
"XBB.1.5"	0.07512268	0.07192	0.07832	5939	"Canada"
"XBB.1.5*"	0.07481931	0.07168	0.07796	6351	"Canada"
"EF.1*"	0.07305713	0.04277	0.10335	30	"New Brunswick"
"EF*"	0.07305713	0.04277	0.10335	30	"New Brunswick"
"DT*"	0.0713364	0.03898	0.10369	11	"Quebec"
"XBB.1.5.5"	0.07130764	0.02968	0.11293	26	"Quebec"
"BQ.1.1.61"	0.07107313	0.04924	0.09291	26	"Canada"
"DV*"	0.0702251	0.05503	0.08542	75	"Quebec"
"XBB.1.5.5"	0.07022402	0.05099	0.08946	32	"Canada"
"BQ.1.1.41"	0.06984633	0.03353	0.10617	15	"New Brunswick"
