"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"LF.7.1*"	0.01930502	0.01219	0.02642	66	"Ontario"	0	"dashed"	"KP.3*"
"XEC.14"	0.01924289	0.01497	0.02351	205	"Ontario"	0	"dashed"	"KP.3.1.1"
"XEC.1"	0.01917794	0.00611	0.03225	19	"Ontario"	0	"dashed"	"KP.3.1.1"
"XEC.8"	0.0191649	0.01615	0.02218	405	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.17"	0.01913695	0.01011	0.02816	41	"Canada"	0	"dashed"	"KP.3.1.1"
"XEC.8"	0.01910405	0.00647	0.03173	24	"Quebec"	0	"dashed"	"KP.3.1.1"
"LF.7.1"	0.01908445	0.01308	0.02509	94	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.1"	0.01902509	0.01303	0.02502	142	"British Columbia"	0	"dashed"	"KP.3.1.1"
"MC.9"	0.01893459	0.00293	0.03494	18	"Alberta"	0	"dashed"	"KP.3.1.1"
"MC.1*"	0.01847013	0.017	0.01994	2729	"Canada"	0	"dashed"	"KP.3*"
"KP.3.2*"	0.0184426	0.00696	0.02993	37	"Alberta"	0	"dashed"	"KP.3*"
"MC.13*"	0.01810393	0.01101	0.0252	92	"British Columbia"	0	"dashed"	"KP.3*"
"MC.1"	0.01803292	0	0.03812	14	"Nova Scotia"	0	"dashed"	"KP.3.1.1"
"MC.8.1"	0.01798193	0.01299	0.02298	139	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.28*"	0.01767814	0.01122	0.02413	82	"Ontario"	0	"dashed"	"KP.3*"
"LF.7.1*"	0.01732261	0.00313	0.03152	23	"Alberta"	0	"dashed"	"KP.3*"
"MC.10.1"	0.01717219	0.00587	0.02847	47	"New Brunswick"	0	"dashed"	"KP.3.1.1"
"LB.1*"	0.01713168	0.00716	0.02711	49	"Alberta"	0	"dashed"	"KP.3*"
"XEC.1"	0.01703969	0.00522	0.02886	36	"Alberta"	0	"dashed"	"KP.3.1.1"
"MC.1.1"	0.01684042	0.00894	0.02474	54	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.28"	0.01677678	0.00968	0.02388	67	"Ontario"	0	"dashed"	"KP.3.1.1"
"LF*"	0.01647618	0.00394	0.02902	30	"Alberta"	0	"dashed"	"KP.3*"
"MC.2"	0.01645678	0.00885	0.02406	58	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.2*"	0.01645678	0.00885	0.02406	58	"Ontario"	0	"dashed"	"KP.3*"
"MC.21*"	0.0164306	0.01052	0.02234	98	"Canada"	0	"dashed"	"KP.3*"
"LF.7.1"	0.01639185	0.009	0.02379	61	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.1*"	0.01616632	0.01095	0.02138	209	"British Columbia"	0	"dashed"	"KP.3*"
"XEM"	0.01604435	0.00963	0.02246	83	"Canada"	0	"dashed"	"KP.3.1.1"
"NL.4"	0.01575816	0	0.03155	24	"Nova Scotia"	0	"dashed"	"KP.3.1.1"
