"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"DV.7"	0.12942483	0.08084	0.17801	18	"Ontario"
"DV.7"	0.12258402	0.08336	0.1618	19	"Canada"
"XBB.1.9*"	0.11826402	-0.00162	0.23814	11	"New Brunswick"
"XBB.1.9.1*"	0.11826402	-0.00162	0.23814	11	"New Brunswick"
"GK.1"	0.11564316	0.07067	0.16062	12	"Canada"
"XBB.1.42"	0.11249813	0.06772	0.15728	14	"Ontario"
"EG.2"	0.11103107	0.0747	0.14736	17	"Canada"
"XBB.1.9.2.5*"	0.11102899	0.06784	0.15422	15	"Quebec"
"XBB.1.5.70*"	0.10748965	0.07377	0.1412	18	"Canada"
"XBB.1.9.2.5.1*"	0.10723236	0.0628	0.15167	13	"Quebec"
"XBB.1.16.3"	0.09953357	0.05984	0.13923	14	"Quebec"
"XBB.1.22.1*"	0.09779244	0.05439	0.1412	11	"Quebec"
"EY.1"	0.09698398	0.05772	0.13625	22	"British Columbia"
"EG.2"	0.09280431	0.06057	0.12503	16	"Ontario"
"XBB.2.3.11"	0.09115235	0.04105	0.14126	12	"British Columbia"
"XBB.2.3.11*"	0.09115235	0.04105	0.14126	12	"British Columbia"
"EG.5.1.1"	0.08977872	0.07023	0.10933	36	"Canada"
"XBB.1.9.1.1.5*"	0.08657855	0.05777	0.11538	20	"Quebec"
"EG.1.4"	0.08649544	0.05851	0.11448	38	"British Columbia"
"XBB.1.9.1.1.5*"	0.08580154	0.06222	0.10938	22	"Canada"
"XBB.2.3.2"	0.08343692	0.04807	0.11881	22	"British Columbia"
"XCF"	0.08341837	0.04823	0.11861	12	"Quebec"
"XBL"	0.08326502	0.06354	0.10299	30	"Canada"
"XBB.1.5.72"	0.08219271	0.06387	0.10052	34	"Canada"
"XBB.1.9.2.5.1*"	0.08214229	0.06763	0.09665	55	"Canada"
"XCF"	0.0814601	0.05141	0.11151	12	"Canada"
"XBB.2.3.11"	0.08144458	0.06117	0.10172	29	"Ontario"
"XBB.2.3.11*"	0.0804393	0.06163	0.09924	33	"Ontario"
"GB.1"	0.08031264	0.04962	0.11101	12	"Ontario"
"XBB.1.22*"	0.0797574	0.04592	0.1136	12	"Quebec"
"FL.1.5"	0.07919409	0.05067	0.10772	17	"Quebec"
"XBB.1.5.72"	0.07797333	0.05874	0.0972	30	"Ontario"
"XBB.1.5.63"	0.07764924	0.05547	0.09983	22	"Ontario"
"FL.1.5"	0.07747263	0.05334	0.10161	17	"Canada"
"XBB.1.9*"	0.07546492	NA	NA	19	"Newfoundland and Labrador"
"GJ.1"	0.07524571	0.05694	0.09355	28	"Canada"
"EG.5.1.1"	0.07457851	0.05477	0.09439	25	"Ontario"
"XBB.2.3.3.1*"	0.07447969	0.05665	0.09231	29	"Canada"
"XBL"	0.07380073	0.05574	0.09187	30	"Ontario"
"XBB.1.9.2*"	0.07376482	NA	NA	15	"Newfoundland and Labrador"
"FE.1.1"	0.07367583	0.04896	0.09839	20	"Quebec"
"XBB.1.16*"	0.07308767	0.02725	0.11893	12	"Newfoundland and Labrador"
"XBB.1.9.2.5.1*"	0.0726544	0.05622	0.08909	35	"Ontario"
"CH.1.1.29"	0.07252449	0.04152	0.10352	21	"Newfoundland and Labrador"
"FL.15"	0.07189397	0.05532	0.08847	32	"Canada"
"XBB.1.16"	0.07121797	0.00276	0.13967	11	"Newfoundland and Labrador"
"XBB.1.16.1.2*"	0.0707477	0.04854	0.09295	17	"Canada"
"EG.5.1"	0.06973473	0.04898	0.09049	19	"Canada"
