"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"reference"
"XDK.1"	0.18972478	0.10958	0.26987	23	"Ontario"	0	"JN.1*"
"KP.1.1"	0.16318475	0.07997	0.2464	13	"Ontario"	0	"JN.1*"
"KP.2"	0.16243728	0.12588	0.199	82	"Alberta"	0	"JN.1*"
"KP.3"	0.15773356	0.11594	0.19953	46	"Alberta"	0	"JN.1*"
"KP.1.1*"	0.14867966	0.08125	0.21611	16	"Ontario"	0	"JN.1"
"KP.2*"	0.148662	0.11759	0.17973	95	"Alberta"	0	"JN.1"
"KS.1"	0.14022058	0.11236	0.16809	59	"Canada"	0	"JN.1*"
"JN.1.16.1"	0.1399636	0.08772	0.19221	14	"Canada"	0	"JN.1*"
"JN.1.16*"	0.13972014	0.09906	0.18038	24	"British Columbia"	0	"JN.1"
"JN.1.16"	0.13403157	0.09157	0.17649	20	"British Columbia"	0	"JN.1*"
"KP.2*"	0.13133472	0.08868	0.17399	21	"British Columbia"	0	"JN.1"
"KP.2"	0.13105726	0.08369	0.17843	16	"British Columbia"	0	"JN.1*"
"KS.1"	0.12768925	0.09468	0.1607	56	"Ontario"	0	"JN.1*"
"KP.4.2"	0.12495108	0.07607	0.17384	11	"Canada"	0	"JN.1*"
"KP.2"	0.1131987	0.09917	0.12723	149	"Canada"	0	"JN.1*"
"KP.3"	0.11315986	0.10061	0.12571	200	"Canada"	0	"JN.1*"
"KP*"	0.11121185	0.09561	0.12681	228	"Alberta"	0	"JN.1"
"KP.2*"	0.11023485	0.09742	0.12305	172	"Canada"	0	"JN.1"
"JN.1.11*"	0.10816094	0.09323	0.12309	229	"Alberta"	0	"JN.1"
"KP*"	0.10458487	0.08111	0.12806	57	"British Columbia"	0	"JN.1"
"KP.4*"	0.10180802	0.0707	0.13291	18	"Canada"	0	"JN.1"
"JN.1.11.1"	0.10059457	0.07924	0.12195	60	"Alberta"	0	"JN.1*"
"KS*"	0.09888803	0.07857	0.11921	74	"Ontario"	0	"JN.1"
"JN.1.13*"	0.09547843	0.07625	0.11471	75	"Ontario"	0	"JN.1"
"KP*"	0.09160198	NA	NA	13	"Newfoundland and Labrador"	0	"JN.1"
"JN.1.11*"	0.09160198	NA	NA	13	"Newfoundland and Labrador"	0	"JN.1"
"KP*"	0.09032912	0.05742	0.12324	28	"Quebec"	0	"JN.1"
"JN.1.11*"	0.09032912	0.05742	0.12324	28	"Quebec"	0	"JN.1"
"KS*"	0.08828566	0.07637	0.10021	113	"Canada"	0	"JN.1"
"KP.2.1"	0.08795181	0.05881	0.11709	16	"Canada"	0	"JN.1*"
"KP.1.1.1"	0.08775144	0.05266	0.12284	11	"Canada"	0	"JN.1*"
"JN.1.13*"	0.08658383	0.075	0.09817	115	"Canada"	0	"JN.1"
"XDK.1"	0.08646406	0.06917	0.10376	46	"Canada"	0	"JN.1*"
"KP.1.1"	0.08609549	0.05444	0.11775	20	"British Columbia"	0	"JN.1*"
"JN.1.13.1"	0.08585719	0.04989	0.12182	15	"British Columbia"	0	"JN.1*"
"KS*"	0.08585719	0.04989	0.12182	15	"British Columbia"	0	"JN.1"
"JN.1.13*"	0.08585719	0.04989	0.12182	15	"British Columbia"	0	"JN.1"
"KP.3"	0.08566567	0.07271	0.09862	130	"Ontario"	0	"JN.1*"
"XDK*"	0.08556371	0.06145	0.10968	32	"Ontario"	0	"JN.1"
"KP.1*"	0.08536406	0.05521	0.11551	22	"British Columbia"	0	"JN.1"
"KP.1.1*"	0.08536406	0.05521	0.11551	22	"British Columbia"	0	"JN.1"
"KP.2*"	0.08449611	0.06231	0.10668	37	"Ontario"	0	"JN.1"
"KP*"	0.0837625	0.07787	0.08966	595	"Canada"	0	"JN.1"
"KP.2"	0.08087595	0.05904	0.10271	34	"Ontario"	0	"JN.1*"
"KP.1.1*"	0.08061564	0.06539	0.09584	53	"Canada"	0	"JN.1"
"KP.1.1"	0.07880569	0.06221	0.09541	42	"Canada"	0	"JN.1*"
"JN.1.11*"	0.07709623	0.07179	0.08241	613	"Canada"	0	"JN.1"
"XDP"	0.07217768	0.04917	0.09519	31	"British Columbia"	0	"JN.1*"
"XDP*"	0.07217768	0.04917	0.09519	31	"British Columbia"	0	"JN.1"
"JN.1.11.1"	0.06943536	0.05993	0.07895	111	"Canada"	0	"JN.1*"
"KP*"	0.06715393	0.04089	0.09342	27	"Nova Scotia"	0	"JN.1"
"JN.1.11*"	0.06715393	0.04089	0.09342	27	"Nova Scotia"	0	"JN.1"
"KR*"	0.06658073	0.04038	0.09278	11	"Alberta"	0	"JN.1"
"JN.1.13.1"	0.06530858	0.05266	0.07796	54	"Canada"	0	"JN.1*"
"KP.1*"	0.06512825	0.04289	0.08736	17	"Alberta"	0	"JN.1"
"JN.1.18*"	0.06507687	0.03973	0.09042	13	"Alberta"	0	"JN.1"
"JN.1.13.1"	0.06488187	0.04217	0.08759	18	"Ontario"	0	"JN.1*"
"JN.1.7.2"	0.06432326	0.04976	0.07889	73	"British Columbia"	0	"JN.1*"
