#node	date	numeric date
NODE_0000047	2020-03-04	2020.174849
NODE_0000048	2020-04-13	2020.282310
hCoV-19/Canada/ON-PHL-20-00180/2020_B.39_2020-04-14	2020-04-14	2020.285519
hCoV-19/Canada/ON-PHL-20-01750/2020_B.39_2020-05-01	2020-05-01	2020.331967
NODE_0000049	2020-03-04	2020.174849
NODE_0000050	2020-03-04	2020.174849
hCoV-19/Canada/NL-NML-1399/2020_B.39_2020-03-24	2020-03-24	2020.228142
hCoV-19/Canada/NB_55/2020_B.39_2020-03-15	2020-03-15	2020.203552
NODE_0000051	2020-03-06	2020.178058
hCoV-19/Canada/QC-HMR-96012466/2020_B.39_2020-04-01	2020-04-01	2020.250000
NODE_0000052	2020-03-15	2020.202773
hCoV-19/Canada/Qc-LSPQ-L00232609/2020_B.58_2020-03-21	2020-03-21	2020.219945
NODE_0000053	2020-03-15	2020.202773
hCoV-19/Canada/QC-1nDJLG-R9060339/2021_B.58_2021-03-06	2021-03-06	2021.176712
hCoV-19/Canada/Qc-LSPQ-L00235671/2020_B.58_2020-03-24	2020-03-24	2020.228142
NODE_0000054	2020-01-02	2020.004189
NODE_0000055	2020-02-24	2020.147586
hCoV-19/Canada/SK-NML-70/2020_B.3.1_2020-03-18	2020-03-18	2020.211749
NODE_0000056	2020-02-25	2020.150795
hCoV-19/Canada/ON-PHL-20-80191/2020_B.3_2020-03-24	2020-03-24	2020.228142
NODE_0000057	2020-03-05	2020.176933
NODE_0000058	2020-03-06	2020.177785
hCoV-19/Canada/QC-LSPQ-L00220832/2020_B.3_2020-03-14	2020-03-14	2020.200820
hCoV-19/Canada/ON-PHL-20-90272/2020_B.3_2020-03-17	2020-03-17	2020.209016
NODE_0000059	2020-04-03	2020.255458
hCoV-19/Canada/ON-PHL-20-80473/2020_B.3_2020-04-06	2020-04-06	2020.263661
hCoV-19/Canada/ON-PHL-20-80723/2020_B.3_2020-04-17	2020-04-17	2020.293716
NODE_0000060	2020-01-17	2020.046015
NODE_0000061	2020-02-28	2020.159711
NODE_0000062	2020-03-20	2020.216253
hCoV-19/Canada/AB-84807/2020_A.2.2_2020-03-29	2020-03-29	2020.241803
NODE_0000063	2020-03-20	2020.217213
hCoV-19/Canada/ON-PHL-20-00399/2020_A.2.2_2020-04-01	2020-04-01	2020.250000
hCoV-19/Canada/ON-PHL-20-80296/2020_A.2.2_2020-03-20	2020-03-20	2020.217213
NODE_0000064	2020-02-29	2020.162920
NODE_0000065	2020-03-13	2020.198087
hCoV-19/Canada/ON-PHL-20-80797/2020_A.2_2020-03-13	2020-03-13	2020.198087
hCoV-19/Canada/ON-PHL-20-80139/2020_A.2_2020-03-19	2020-03-19	2020.214481
NODE_0000066	2020-03-01	2020.166129
NODE_0000067	2020-03-01	2020.166129
hCoV-19/Canada/QC-JUS-V5281550/2020_A.2_2020-03-26	2020-03-26	2020.233607
hCoV-19/Canada/QC-JUS-V6010321/2020_A.2_2020-03-30	2020-03-30	2020.244536
NODE_0000068	2020-03-21	2020.219469
hCoV-19/Canada/QC-1nDJXQ-2008201084A/2020_A.2.5_2020-03-22	2020-03-22	2020.222678
NODE_0000069	2020-11-16	2020.874914
hCoV-19/Canada/MB-NML-23496/2021_A.2.5_2021-03-21	2021-03-21	2021.217808
NODE_0000070	2020-12-12	2020.945552
NODE_0000071	2020-12-24	2020.979077
NODE_0000072	2021-03-25	2021.228767
