region,sequences,GISAID,Portal,date
Alberta,29190,19279,9956,2021-09-01
British Columbia,48171,38863,22576,2021-09-01
Manitoba,4676,1878,0,2021-09-01
New Brunswick,1192,502,0,2021-09-01
Newfoundland and Labrador,484,373,0,2021-09-01
Nova Scotia,1582,1289,0,2021-09-01
Ontario,39381,31535,11785,2021-09-01
Prince Edward Island,119,0,0,2021-09-01
Quebec,39327,17235,6016,2021-09-01
Saskatchewan,11229,6000,0,2021-09-01
Canada,175351,116954,50333,2021-09-01
Alberta,33729,24564,19737,2021-10-01
British Columbia,73905,53161,34694,2021-10-01
Manitoba,5003,3186,1021,2021-10-01
New Brunswick,1547,923,0,2021-10-01
Newfoundland and Labrador,640,439,0,2021-10-01
Nova Scotia,1776,1438,0,2021-10-01
Ontario,42734,35856,17531,2021-10-01
Prince Edward Island,169,0,0,2021-10-01
Quebec,43723,18048,0,2021-10-01
Saskatchewan,13664,7463,5340,2021-10-01
Canada,216890,145078,78323,2021-10-01
Alberta,38088,26243,27740,2021-11-01
British Columbia,85884,68612,34697,2021-11-01
Manitoba,5430,3693,1021,2021-11-01
New Brunswick,2224,1449,507,2021-11-01
Newfoundland and Labrador,766,587,296,2021-11-01
Nova Scotia,2014,1534,1202,2021-11-01
Ontario,44215,38388,29685,2021-11-01
Prince Edward Island,195,0,0,2021-11-01
Quebec,47957,21152,0,2021-11-01
Saskatchewan,15892,11841,5340,2021-11-01
Canada,242665,173499,100488,2021-11-01
Alberta,41329,29490,30801,2021-12-01
British Columbia,90631,80346,57530,2021-12-01
Manitoba,6020,3947,1021,2021-12-01
New Brunswick,2742,1840,507,2021-12-01
Newfoundland and Labrador,900,627,296,2021-12-01
Nova Scotia,2140,1811,1202,2021-12-01
Ontario,48329,42049,29688,2021-12-01
Prince Edward Island,250,0,0,2021-12-01
Quebec,49869,22713,0,2021-12-01
Saskatchewan,17553,14701,10209,2021-12-01
Canada,259763,197524,131254,2021-12-01
Alberta,44944,31849,32905,2022-01-01
British Columbia,101573,86766,57530,2022-01-01
Manitoba,6581,3955,1021,2022-01-01
New Brunswick,3459,2541,507,2022-01-01
Newfoundland and Labrador,1031,693,296,2022-01-01
Nova Scotia,2404,1883,1202,2022-01-01
Ontario,56207,49021,29688,2022-01-01
Prince Edward Island,334,0,0,2022-01-01
Quebec,50794,33640,20502,2022-01-01
Saskatchewan,18629,16085,10209,2022-01-01
