"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"reference"
"HK.3.7"	0.05377614	0.02971	0.07784	18	"Canada"	"HV.1*"
"JN*"	0.05280788	0.04882	0.0568	1204	"Alberta"	"HV.1"
"BA.2.86*"	0.05259957	0.04862	0.05658	1205	"Alberta"	"HV.1"
"JG.3.2"	0.05123935	0.04703	0.05545	750	"Canada"	"HV.1*"
"HR.1.1"	0.05081765	0.0198	0.08184	14	"Nova Scotia"	"HV.1*"
"JG.3.2"	0.04961179	0.0312	0.06802	29	"Nova Scotia"	"HV.1*"
"HK.3.2*"	0.04954597	0.02834	0.07075	26	"British Columbia"	"HV.1"
"JD.1.1.3"	0.04940316	0.0278	0.07101	25	"British Columbia"	"HV.1*"
"HK.3.4"	0.04913252	0.014	0.08427	12	"Ontario"	"HV.1*"
"KL.1*"	0.04791586	0.04065	0.05518	205	"Canada"	"HV.1"
"HK.3.2"	0.04757108	0.02505	0.07009	22	"British Columbia"	"HV.1*"
"JG.3*"	0.04754925	0.03579	0.05931	85	"British Columbia"	"HV.1"
"JG.3.2"	0.04616582	0.017	0.07533	19	"New Brunswick"	"HV.1*"
"KL.1"	0.04459337	0.0366	0.05259	159	"Canada"	"HV.1*"
"JG.3"	0.04348948	0.03084	0.05614	66	"British Columbia"	"HV.1*"
"JD.1.1.7"	0.04087181	0.02653	0.05522	66	"Ontario"	"HV.1*"
"KL*"	0.04063563	0.03386	0.04741	318	"Ontario"	"HV.1"
"JG.3*"	0.04023137	0.03384	0.04663	230	"Alberta"	"HV.1"
"JG.3*"	0.03995933	0.02675	0.05317	62	"Nova Scotia"	"HV.1"
"XBB.1.16.26"	0.03865326	0.00724	0.07006	13	"Ontario"	"HV.1*"
"XDA"	0.03854147	0.01523	0.06186	17	"British Columbia"	"HV.1*"
"JG.3.1"	0.03740345	0.01963	0.05518	23	"Alberta"	"HV.1*"
"HK.13*"	0.03614297	0.02239	0.0499	67	"Ontario"	"HV.1"
"JD.1.1.1"	0.03542196	0.00732	0.06352	11	"British Columbia"	"HV.1*"
"XDA*"	0.03492632	0.01299	0.05687	18	"British Columbia"	"HV.1"
"JN.2*"	0.03393519	0.02512	0.04275	163	"Ontario"	"HV.1"
"HK.20.1"	0.03366454	0.01195	0.05538	18	"British Columbia"	"HV.1*"
"JD.1.1"	0.03338608	0.01297	0.0538	32	"New Brunswick"	"HV.1*"
"KL*"	0.03280034	0.00843	0.05717	14	"British Columbia"	"HV.1"
"HK.26"	0.03271434	0.01695	0.04848	34	"British Columbia"	"HV.1*"
"BA.2.86.1"	0.03241942	0.01942	0.04541	51	"British Columbia"	"HV.1*"
"BA.2.86.1"	0.0323415	0.02083	0.04385	90	"Ontario"	"HV.1*"
"KH*"	0.03185092	0.01614	0.04756	34	"Canada"	"HV.1"
"XCH.1"	0.03179231	0.01749	0.04609	35	"Alberta"	"HV.1*"
"HK.13.1"	0.03177661	0.00767	0.05588	14	"British Columbia"	"HV.1*"
"JN.1.4"	0.03161701	0.00774	0.0555	22	"Newfoundland and Labrador"	"HV.1*"
"BA.2.86*"	0.0312876	0.01893	0.04365	80	"New Brunswick"	"HV.1"
"JN*"	0.03091051	0.01855	0.04327	79	"New Brunswick"	"HV.1"
"JD.1.1.7"	0.03083482	0.02079	0.04087	84	"Canada"	"HV.1*"
"HV.1.4"	0.0307138	0.01269	0.04874	25	"British Columbia"	"HV.1*"
"FY.5.1.1"	0.03055094	0.00592	0.05518	13	"Canada"	"HV.1*"
"JE.1.1.1"	0.03014213	0.01408	0.0462	32	"Canada"	"HV.1*"
"HV.1.1"	0.0301188	0.01929	0.04095	61	"Alberta"	"HV.1*"
"JE.1.1*"	0.02988577	0.01454	0.04523	35	"Canada"	"HV.1"
"HK.20.1"	0.02988066	0.0202	0.03956	89	"Canada"	"HV.1*"
"KL*"	0.02934108	0.0245	0.03418	381	"Canada"	"HV.1"
"HV.1.6*"	0.0293364	0.02375	0.03492	403	"Ontario"	"HV.1"
"JN.2"	0.02923316	0.01322	0.04525	31	"British Columbia"	"HV.1*"
"HV.1.6*"	0.02920681	0.0083	0.05011	18	"British Columbia"	"HV.1"
"JG.3"	0.0287717	0.01378	0.04376	32	"Nova Scotia"	"HV.1*"
"HK.20.1"	0.02860089	0.0168	0.0404	51	"Alberta"	"HV.1*"
"HN.4"	0.02830001	0.00861	0.04799	29	"Ontario"	"HV.1*"
"HN.4*"	0.02830001	0.00861	0.04799	29	"Ontario"	"HV.1"
"JD.1.1.3"	0.02791402	0.01061	0.04522	27	"Canada"	"HV.1*"
"JD.1.1.1"	0.02773493	0.01643	0.03904	54	"Alberta"	"HV.1*"
"JN.2"	0.02763392	0.01817	0.0371	128	"Ontario"	"HV.1*"
"HV.1.6.1"	0.02755977	0.00231	0.05281	12	"British Columbia"	"HV.1*"
"JN.2*"	0.02728877	0.02296	0.03162	458	"Canada"	"HV.1"
"HV.1.3"	0.02710869	0.00662	0.0476	19	"Canada"	"HV.1*"
"JG.3*"	0.02628994	0.0238	0.02878	1602	"Canada"	"HV.1"
"JD.1.1.1"	0.02624276	0.01983	0.03266	293	"Ontario"	"HV.1*"
"JN.2*"	0.02591799	0.00179	0.05005	12	"Quebec"	"HV.1"
"JD.1.1.1"	0.02585666	0.021	0.03072	361	"Canada"	"HV.1*"
"JG.3"	0.02578902	0.01794	0.03364	121	"Alberta"	"HV.1*"
"GK.2"	0.02408263	0	0.05365	12	"New Brunswick"	"HV.1*"
"XCP"	0.02376121	0.00134	0.04618	15	"Canada"	"HV.1*"
"HK.3.4"	0.02362991	0.00701	0.04025	27	"British Columbia"	"HV.1*"
"GW.5.3.1"	0.02311344	0.00172	0.04451	17	"Canada"	"HV.1*"
"JN.2"	0.02219744	0	0.04691	11	"Quebec"	"HV.1*"
