"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"reference"
"JN.1.7"	0.14913872	0.12042	0.17786	42	"Canada"	"HV.1*"
"XDP"	0.13825102	0.11172	0.16478	39	"Canada"	"HV.1*"
"JN.1.5"	0.13797237	0.08678	0.18917	19	"British Columbia"	"HV.1*"
"JD.1.1.3"	0.12016783	0.0821	0.15823	15	"Ontario"	"HV.1*"
"JN.1.7"	0.11546558	0.08598	0.14496	29	"Alberta"	"HV.1*"
"JN.1.22"	0.11438734	0.10165	0.12713	181	"Ontario"	"HV.1*"
"JN.1"	0.1137802	0.10317	0.12439	652	"British Columbia"	"HV.1*"
"JN.1*"	0.10516108	0.09708	0.11324	1180	"British Columbia"	"HV.1"
"JN.1.6"	0.10376668	0.08194	0.12559	34	"Canada"	"HV.1*"
"JN.1.8.1"	0.10282749	0.09039	0.11526	116	"Canada"	"HV.1*"
"JN.1.4"	0.10219667	0.08685	0.11754	144	"British Columbia"	"HV.1*"
"JN.1.4*"	0.10219667	0.08685	0.11754	144	"British Columbia"	"HV.1"
"JN.1.6*"	0.10134417	0.08028	0.12241	35	"Canada"	"HV.1"
"JN.1.8.1"	0.10039115	0.08005	0.12073	47	"Alberta"	"HV.1*"
"JN.1.22"	0.10012061	0.07431	0.12593	25	"Alberta"	"HV.1*"
"JN.1.8"	0.09958809	0.06577	0.1334	13	"Alberta"	"HV.1*"
"JN.1.8*"	0.09944616	0.08107	0.11783	60	"Alberta"	"HV.1"
"JN.1.5"	0.09898863	0.07946	0.11852	40	"Canada"	"HV.1*"
"JN.1.22"	0.09406032	0.08787	0.10025	566	"Canada"	"HV.1*"
"JN.1*"	0.09266494	0.07585	0.10948	154	"New Brunswick"	"HV.1"
"JN.1.8*"	0.09218144	0.08294	0.10142	182	"Canada"	"HV.1"
"JN.1.8*"	0.09138831	0.07268	0.1101	60	"British Columbia"	"HV.1"
"JN.2.5"	0.09115859	0.07972	0.1026	223	"British Columbia"	"HV.1*"
"JN.1.22"	0.09092286	NA	NA	30	"Newfoundland and Labrador"	"HV.1*"
"JN.1.8.1"	0.09014132	0.07128	0.109	57	"British Columbia"	"HV.1*"
"JN.1"	0.0889245	0.08451	0.09334	2109	"Ontario"	"HV.1*"
"JN.1.22"	0.08848185	0.06726	0.10971	43	"British Columbia"	"HV.1*"
"JN.1.4*"	0.08757893	0.08141	0.09375	645	"Ontario"	"HV.1"
"JN.1.4"	0.08749586	0.08132	0.09367	643	"Ontario"	"HV.1*"
"JN.1.22"	0.08726172	0.07109	0.10343	224	"Quebec"	"HV.1*"
"JN.1*"	0.08683849	0.0832	0.09047	4069	"Ontario"	"HV.1"
"JN.1.4"	0.08564838	0.06344	0.10786	48	"New Brunswick"	"HV.1*"
"JN.1.4*"	0.08564838	0.06344	0.10786	48	"New Brunswick"	"HV.1"
"JN*"	0.08514093	0.07929	0.09099	1534	"British Columbia"	"HV.1"
"JN.1"	0.08475392	0.08185	0.08765	4382	"Canada"	"HV.1*"
"BA.2.86*"	0.08460999	0.0788	0.09042	1535	"British Columbia"	"HV.1"
"JN.2.5"	0.08405622	0.07746	0.09065	361	"Canada"	"HV.1*"
"JN.1.1"	0.08284049	0.07065	0.09503	141	"British Columbia"	"HV.1*"
"JN.1*"	0.08242555	0.08004	0.08481	8221	"Canada"	"HV.1"
"XDD"	0.08234179	0.06211	0.10257	26	"Canada"	"HV.1*"
"JN.1.4*"	0.08219806	0.07805	0.08635	1192	"Canada"	"HV.1"
"JN.1.4"	0.08194261	0.07779	0.08609	1182	"Canada"	"HV.1*"
"JN.1.8"	0.07978965	0.06705	0.09253	66	"Canada"	"HV.1*"
"JN.1*"	0.07960184	0.06527	0.09394	220	"Nova Scotia"	"HV.1"
"XDD*"	0.07926156	0.0602	0.09833	28	"Canada"	"HV.1"
"JN.2.5"	0.07879922	0.0679	0.0897	107	"Ontario"	"HV.1*"
"JN.1"	0.07845724	0.05463	0.10229	117	"Nova Scotia"	"HV.1*"
"JN.1.4*"	0.07829008	0.06841	0.08817	157	"Alberta"	"HV.1"
"JN.1.2"	0.07827802	0.07208	0.08448	491	"Ontario"	"HV.1*"
"JN.1.9*"	0.07801163	0.06825	0.08778	118	"Canada"	"HV.1"
"JN.1.9"	0.07767853	0.06791	0.08745	117	"Canada"	"HV.1*"
"JN*"	0.07754675	0.07436	0.08073	4495	"Ontario"	"HV.1"
"BA.2.86*"	0.07754129	0.07436	0.08072	4498	"Ontario"	"HV.1"
"JN.1.9*"	0.07724581	0.06552	0.08897	87	"Ontario"	"HV.1"
"JN.1.4"	0.07717989	0.06733	0.08703	150	"Alberta"	"HV.1*"
"JN.1.9"	0.07669583	0.06497	0.08842	86	"Ontario"	"HV.1*"
"JN.1"	0.07534068	0.07011	0.08057	1233	"Alberta"	"HV.1*"
"JN.1*"	0.07527522	0.07051	0.08004	1788	"Alberta"	"HV.1"
"JN.1.2"	0.0751547	0.06005	0.09026	64	"British Columbia"	"HV.1*"
"JN.2*"	0.0750095	0.06632	0.0837	280	"British Columbia"	"HV.1"
"JN.1.19"	0.0746362	0.05575	0.09352	30	"Ontario"	"HV.1*"
"BA.2.86*"	0.07378556	0.06038	0.08719	172	"New Brunswick"	"HV.1"
"JN*"	0.07360359	0.06019	0.08702	170	"New Brunswick"	"HV.1"
"JN.1.8*"	0.07308222	0.05813	0.08803	48	"Ontario"	"HV.1"
"JN*"	0.07216377	0.07014	0.07419	9324	"Canada"	"HV.1"
"BA.2.86*"	0.07211252	0.07009	0.07414	9332	"Canada"	"HV.1"
"JN.1*"	0.07165111	0.06104	0.08227	635	"Quebec"	"HV.1"
"JN.1.4*"	0.0704452	0.05533	0.08556	115	"Quebec"	"HV.1"
"JN.1.4"	0.07030212	0.05517	0.08544	114	"Quebec"	"HV.1*"
"JN.1.1"	0.06942682	0.06366	0.0752	434	"Ontario"	"HV.1*"
"JN.1.2"	0.06915038	0.06459	0.07371	642	"Canada"	"HV.1*"
"JF.1.1.2"	0.06903554	0.04522	0.09285	17	"Ontario"	"HV.1*"
"BA.2.86*"	0.06884351	0.057	0.08069	236	"Nova Scotia"	"HV.1"
"JN*"	0.0687443	0.0569	0.08059	235	"Nova Scotia"	"HV.1"
