"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"XBB.1.16"	0.16860506	0.08493	0.25228	17	"Ontario"
"XBB.1.16"	0.1647503	0.10028	0.22922	22	"Canada"
"XBB.1.16*"	0.1589738	0.10421	0.21374	29	"Canada"
"XBB.1.16*"	0.15493486	0.08606	0.22381	22	"Ontario"
"XBB.1.5.21"	0.11046532	0.06094	0.15999	27	"Alberta"
"XBB.1.5.31"	0.08171932	0.05252	0.11092	54	"Alberta"
"XBB.1.5.3"	0.0705639	0.03268	0.10845	20	"Canada"
"XBB.1.5.3"	0.06620988	0.02719	0.10523	19	"Ontario"
"XBB.1.5.17"	0.05446352	0.00826	0.10067	13	"Alberta"
"XBB.2.3*"	0.05309602	0.01081	0.09539	12	"Canada"
"XBB.1.9.2"	0.0520886	0.02366	0.08052	26	"Canada"
"XBB.1.9.2"	0.05206903	0.01631	0.08783	17	"Ontario"
"XBB.2.3"	0.05101498	0.0077	0.09433	11	"Canada"
"XBB.1.9.1"	0.05026783	0.03698	0.06356	122	"Ontario"
"XBB.1.5.1"	0.04810922	0.03111	0.06511	68	"Canada"
"XBB.1.9*"	0.04546975	0.03374	0.0572	142	"Ontario"
"XBB.1.5.35"	0.0445431	0.00691	0.08218	13	"Canada"
"XBB.1.5.12"	0.04399013	0.00694	0.08104	17	"Alberta"
"XBB.1.5.1"	0.04302167	0.02549	0.06055	59	"Ontario"
"XBB.1.5.23"	0.04297412	0.01931	0.06664	32	"Canada"
"XBB.1.5.23"	0.04032337	0.01523	0.06542	27	"Ontario"
"XBB.1.9.1"	0.03645986	0.02775	0.04517	215	"Canada"
"XBB.1.9*"	0.03588368	0.02773	0.04403	244	"Canada"
"DR.2"	0.03332006	0.00098	0.06566	14	"Ontario"
"DR.2"	0.0323823	0.00112	0.06364	15	"Canada"
"BQ.1.1.45"	0.03141487	-0.00151	0.06434	13	"Ontario"
"XBB.1.5.12"	0.03090644	0.01095	0.05087	36	"Canada"
"EY*"	0.03075385	0.01617	0.04534	68	"Canada"
"EF.1.1.1"	0.02985836	0.01518	0.04454	66	"Canada"
"XBB.1.5.33"	0.02883999	0.00506	0.05262	61	"New Brunswick"
"XBB.1.5.17"	0.02810319	0.00483	0.05137	30	"Quebec"
"XBB.1.9.1"	0.02717945	0.00569	0.04867	38	"Alberta"
"XBB.1.9*"	0.02717945	0.00569	0.04867	38	"Alberta"
"XBB.1.9*"	0.02520194	0.00846	0.04194	57	"Quebec"
"BQ.1.1.39"	0.02515519	0.00486	0.04545	40	"Alberta"
"XBB.1.9.1"	0.02373079	0.00642	0.04104	52	"Quebec"
"BQ.1.1.45"	0.02297684	-0.00263	0.04859	19	"Canada"
"XBB.1.5.39"	0.02229918	0.00902	0.03558	88	"Quebec"
"EF.1.1.1"	0.02161487	0.00811	0.03512	64	"Ontario"
"EY*"	0.02161487	0.00811	0.03512	64	"Ontario"
"XBB.1.5.34"	0.02117842	-0.01533	0.05768	11	"Quebec"
"XBB.1.22"	0.01848347	-0.01443	0.0514	13	"Quebec"
"XBB.1.22*"	0.01848347	-0.01443	0.0514	13	"Quebec"
"DV.1.1"	0.01742278	0.00479	0.03006	90	"Quebec"
"DV*"	0.01672466	-0.01539	0.04884	13	"Alberta"
"XBB.1.5.2"	0.01587839	0.00393	0.02783	78	"Canada"
"XBB.1.5.17"	0.01565901	0.00599	0.02533	119	"Canada"
"XBB.1.5.17"	0.01440505	0.00222	0.02659	68	"Ontario"
"XBB.1.5.5"	0.01431737	-0.0055	0.03414	34	"Quebec"
"XBB.1.5.34"	0.01318573	-0.01364	0.04001	14	"Ontario"
"XBB.1.5.15"	0.01185793	-0.00005	0.02377	68	"Ontario"
"CH.1.1"	0.0117157	-0.02872	0.05216	15	"Newfoundland and Labrador"
"CH.1.1*"	0.0117157	-0.02872	0.05216	15	"Newfoundland and Labrador"
"BM*"	0.0117157	-0.02872	0.05216	15	"Newfoundland and Labrador"
"XBB.1.5.34"	0.01163907	-0.00833	0.03161	26	"Canada"
