Canada	Newfoundland and Labrador	Prince Edward Island	Nova Scotia	New Brunswick	Quebec	Ontario	Manitoba	Saskatchewan	Alberta	British Columbia	Yukon	Northwest Territories	Nunavut
"33907393"	"442376"	"146762"	"867290"	"686549"	"7445151"	"13190604"	"1249658"	"1059260"	"4104002"	"4593077"	"40116"	"43098"	"39450"
"5022509"	"83596"	"23926"	"152435"	"125512"	"1250508"	"1918812"	"159565"	"135543"	"439109"	"726247"	"3673"	"2507"	"1076"
