"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"reference"
"JN.1.7"	0.17311335	0.12596	0.22026	50	"Ontario"	0	"HV.1*"
"JN.1.7*"	0.170497	0.12371	0.21729	51	"Ontario"	0	"HV.1"
"KP*"	0.16702909	0.13352	0.20054	109	"Canada"	0	"HV.1"
"JN.1.11*"	0.15093214	0.12531	0.17655	124	"Canada"	0	"HV.1"
"KP.1*"	0.14611081	0.11164	0.18058	30	"Canada"	0	"HV.1"
"KP.1"	0.1436737	0.10925	0.17809	28	"Canada"	0	"HV.1*"
"JN.1.7*"	0.13956124	0.12258	0.15655	192	"Canada"	0	"HV.1"
"JN.1.7"	0.13690021	0.11986	0.15394	174	"Canada"	0	"HV.1*"
"JN.1.8.1"	0.13271863	0.10066	0.16478	31	"Ontario"	0	"HV.1*"
"JN.1.7.2"	0.1284311	0.09551	0.16135	18	"Canada"	0	"HV.1*"
"JN.1.22"	0.12098185	0.07052	0.17144	34	"Newfoundland and Labrador"	0	"HV.1*"
"XDK*"	0.12074153	0.09263	0.14885	22	"Canada"	0	"HV.1"
"XDK"	0.11860765	0.09062	0.1466	21	"Canada"	0	"HV.1*"
"JN.1"	0.11814254	0.09254	0.14375	147	"New Brunswick"	0	"HV.1*"
"JN.1.4"	0.11671386	0.06817	0.16526	55	"Nova Scotia"	0	"HV.1*"
"JN.1.4*"	0.11671386	0.06817	0.16526	55	"Nova Scotia"	0	"HV.1"
"JN.1.18"	0.1157181	0.08447	0.14696	16	"Ontario"	0	"HV.1*"
"JN.1.22"	0.11248741	0.08072	0.14426	52	"New Brunswick"	0	"HV.1*"
"JN.1"	0.1121157	0.06243	0.1618	25	"Newfoundland and Labrador"	0	"HV.1*"
"JN.1.22"	0.11072461	0.09911	0.12234	266	"Ontario"	0	"HV.1*"
"JN.1*"	0.10921559	0.09145	0.12698	381	"New Brunswick"	0	"HV.1"
"JN.1.4"	0.10751544	0.08373	0.1313	98	"New Brunswick"	0	"HV.1*"
"JN.1.4*"	0.10751544	0.08373	0.1313	98	"New Brunswick"	0	"HV.1"
"JN.1.8.1"	0.1060908	0.09666	0.11552	296	"Canada"	0	"HV.1*"
"XDP"	0.10516573	0.08952	0.12081	66	"Canada"	0	"HV.1*"
"JN.1.8.1"	0.10144322	0.04636	0.15653	14	"Quebec"	0	"HV.1*"
"JN.1.7"	0.10113222	NA	NA	22	"New Brunswick"	0	"HV.1*"
"JN.1.7*"	0.10113222	NA	NA	22	"New Brunswick"	0	"HV.1"
"JN.1"	0.10043241	0.09161	0.10925	1240	"British Columbia"	0	"HV.1*"
"JN.1.11"	0.10041754	0.07392	0.12691	15	"Canada"	0	"HV.1*"
"JN.1.16"	0.0999614	0.07739	0.12253	20	"Canada"	0	"HV.1*"
"JN.1.18"	0.09941014	0.08348	0.11534	48	"Canada"	0	"HV.1*"
"JD.1.1.3"	0.09895973	0.06903	0.12889	14	"Ontario"	0	"HV.1*"
"JN*"	0.09869366	0.08313	0.11425	397	"New Brunswick"	0	"HV.1"
"BA.2.86*"	0.09866605	0.08312	0.11422	399	"New Brunswick"	0	"HV.1"
"JN.1.7*"	0.09837371	0.07832	0.11842	61	"Alberta"	0	"HV.1"
"JN.1*"	0.09712412	0.08964	0.10461	2270	"British Columbia"	0	"HV.1"
"JN.1.8"	0.09700187	NA	NA	11	"New Brunswick"	0	"HV.1*"
"JN.1.8*"	0.09686145	0.08921	0.10451	396	"Canada"	0	"HV.1"
"JN.1.8*"	0.09586582	0.03963	0.1521	15	"Quebec"	0	"HV.1"
"JN.1.7"	0.09560807	0.07548	0.11573	54	"Alberta"	0	"HV.1*"
"JN.1.3"	0.09505357	0.07037	0.11974	20	"Ontario"	0	"HV.1*"
"JN.1.4.2"	0.09432438	0.07239	0.11626	17	"Canada"	0	"HV.1*"
"JN.1.7*"	0.09381342	NA	NA	39	"British Columbia"	0	"HV.1"
"JN.1.5"	0.09354423	0.08028	0.10681	68	"Canada"	0	"HV.1*"
