"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"XEK"	0.1225487	0.06158	0.18352	14	"British Columbia"	0	"dashed"	"KP.3.1.1"
"NF.1"	0.09210005	0.05024	0.13396	18	"Ontario"	0	"dashed"	"KP.3.1.1"
"ND.1.1"	0.09070772	0.05559	0.12582	25	"Ontario"	0	"dashed"	"KP.3.1.1"
"ND.1.1"	0.0894193	0.05865	0.12018	25	"Canada"	0	"dashed"	"KP.3.1.1"
"LP.8.1"	0.08520402	0.05759	0.11282	37	"Ontario"	0	"dashed"	"KP.3.1.1"
"LP.8*"	0.08520402	0.05759	0.11282	37	"Ontario"	0	"dashed"	"KP.3*"
"MC.10.1"	0.06769623	0.04768	0.08772	44	"Alberta"	0	"dashed"	"KP.3.1.1"
"XEC.4"	0.06439399	0.0288	0.09999	12	"Canada"	0	"dashed"	"KP.3.1.1"
"NF*"	0.06420762	0.03401	0.0944	20	"Ontario"	0	"dashed"	"KP.3*"
"LP.8*"	0.06393451	0.0505	0.07737	85	"Canada"	0	"dashed"	"KP.3*"
"LP.8.1"	0.06319838	0.0497	0.07669	83	"Canada"	0	"dashed"	"KP.3.1.1"
"LP.8*"	0.0557108	0.02379	0.08764	16	"British Columbia"	0	"dashed"	"KP.3*"
"NP.1"	0.05386632	0.03775	0.06999	48	"Canada"	0	"dashed"	"KP.3.1.1"
"LF.7.1"	0.05146503	0.0263	0.07663	22	"Ontario"	0	"dashed"	"KP.3.1.1"
"LP.8.1"	0.05102423	0.01983	0.08222	15	"British Columbia"	0	"dashed"	"KP.3.1.1"
"LP.8*"	0.05067141	0.02997	0.07138	28	"Alberta"	0	"dashed"	"KP.3*"
"ND*"	0.05031252	0.02908	0.07155	30	"Ontario"	0	"dashed"	"KP.3*"
"LF.7.1*"	0.05030062	0.02304	0.07756	16	"Alberta"	0	"dashed"	"KP.3*"
"LF.7.1"	0.05008682	0.03366	0.06651	43	"Canada"	0	"dashed"	"KP.3.1.1"
"NP.1"	0.04965318	0.03123	0.06808	35	"Alberta"	0	"dashed"	"KP.3.1.1"
"LP.8.1"	0.04937584	0.02859	0.07016	27	"Alberta"	0	"dashed"	"KP.3.1.1"
"XEK"	0.04885394	0.03316	0.06455	46	"Canada"	0	"dashed"	"KP.3.1.1"
"XEC"	0.04883365	0.04246	0.05521	394	"British Columbia"	0	"dashed"	"KP.3.1.1"
"LF.7.1"	0.04868182	0.02102	0.07635	15	"Alberta"	0	"dashed"	"KP.3.1.1"
"MC.10.2"	0.04824314	0.02687	0.06962	24	"Canada"	0	"dashed"	"KP.3.1.1"
"XEC"	0.04778083	0	0.09922	19	"Newfoundland and Labrador"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.04747611	0.04134	0.05361	414	"British Columbia"	0	"dashed"	"KP.3*"
"LF.7.1*"	0.04731881	0.0322	0.06243	48	"Canada"	0	"dashed"	"KP.3*"
"XEK"	0.04704957	0.02576	0.06834	28	"Ontario"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.04379786	0.01593	0.07166	20	"Newfoundland and Labrador"	0	"dashed"	"KP.3*"
"MC.10.2"	0.04372428	0.02155	0.0659	24	"Ontario"	0	"dashed"	"KP.3.1.1"
"ND*"	0.04339414	0.02594	0.06085	33	"Canada"	0	"dashed"	"KP.3*"
"KP.3.2.9"	0.04181516	0.02298	0.06065	32	"Ontario"	0	"dashed"	"KP.3.1.1"
"XEC"	0.04145702	0.03908	0.04383	2267	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.8"	0.04135353	0.037218177	0.045488883	11	"Nova Scotia"	0	"solid"	"KP.3.1.1"
"MC.21"	0.04128685	0.02258	0.06	32	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.21*"	0.04128685	0.02258	0.06	32	"Ontario"	0	"dashed"	"KP.3*"
"MC.21*"	0.04030616	0.02678	0.05383	52	"Canada"	0	"dashed"	"KP.3*"
"XEC"	0.04000433	0.03626	0.04375	1025	"Ontario"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.0398923	0.03764	0.04214	2485	"Canada"	0	"dashed"	"KP.3*"
"MC.21"	0.03907489	0.0256	0.05255	51	"Canada"	0	"dashed"	"KP.3.1.1"
"KP.3.3.2"	0.03902744	0.0256	0.05245	62	"British Columbia"	0	"dashed"	"KP.3.1.1"
"NP*"	0.03902744	0.0256	0.05245	62	"British Columbia"	0	"dashed"	"KP.3*"
"XEC"	0.03843773	0.03413	0.04275	701	"Alberta"	0	"dashed"	"KP.3.1.1"
"LF.7.1*"	0.03825868	0.01743	0.05909	24	"Ontario"	0	"dashed"	"KP.3*"
"XEC*"	0.03816393	0.03467	0.04166	1155	"Ontario"	0	"dashed"	"KP.3*"
"MC.10.1"	0.03763243	0.02971	0.04555	145	"Canada"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.03678606	0.03265	0.04092	737	"Alberta"	0	"dashed"	"KP.3*"
"XEC*"	0.03661452	0.01887	0.05436	27	"New Brunswick"	0	"dashed"	"KP.3*"
"XEC"	0.03377943	0.02279	0.04477	66	"Quebec"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.03342118	0.02335	0.04349	80	"Quebec"	0	"dashed"	"KP.3*"
"XEC"	0.03327705	0.0148	0.05176	23	"New Brunswick"	0	"dashed"	"KP.3.1.1"
"MC.8*"	0.03296025	0.00733	0.05859	14	"Nova Scotia"	0	"dashed"	"KP.3*"
"MC.8.1"	0.0318995	0.01849	0.04531	51	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.1*"	0.0318923	0	0.08041	12	"New Brunswick"	0	"dashed"	"KP.3*"
