"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"XBB.1.16.6"	0.19947773	0.11838	0.28057	11	"Ontario"
"FL.1.5.1"	0.15144894	0.10605	0.19685	20	"Canada"
"XBB.1.5.39"	0.1121836	0.07902	0.14534	23	"British Columbia"
"GE.1"	0.10800243	0.07209	0.14392	13	"Canada"
"FY*"	0.10374971	0.0688	0.1387	17	"British Columbia"
"FY.3*"	0.09743902	0.06556	0.12932	13	"Canada"
"FT*"	0.09672964	0.07023	0.12323	28	"British Columbia"
"EG.5.1.1"	0.09670296	0.07063	0.12278	29	"Quebec"
"DV.7"	0.09441963	0.06471	0.12413	18	"Ontario"
"GJ.1*"	0.09279118	0.06414	0.12144	21	"Quebec"
"FY.5"	0.09214966	0.07208	0.11222	29	"Canada"
"GK.1"	0.09156835	0.05658	0.12656	11	"Ontario"
"GK*"	0.09156835	0.05658	0.12656	11	"Ontario"
"EG.5.1*"	0.09148214	0.07022	0.11275	39	"Quebec"
"EG.5.1.1"	0.09133001	0.07761	0.10505	69	"Canada"
"XBB.1.42"	0.09027625	0.0602	0.12036	15	"Ontario"
"FD.1.1"	0.08956788	NA	NA	11	"Newfoundland and Labrador"
"FD*"	0.08956788	NA	NA	11	"Newfoundland and Labrador"
"EG*"	0.08924855	NA	NA	26	"Newfoundland and Labrador"
"EG.5.1*"	0.08919426	0.07828	0.10011	109	"Canada"
"GK.1"	0.08916131	0.06303	0.11529	16	"Canada"
"FL.1.5*"	0.08889879	0.07188	0.10592	39	"Canada"
"GJ.1"	0.08858221	0.05957	0.1176	18	"Quebec"
"GK*"	0.08856163	0.06788	0.10924	26	"Canada"
"EG.5*"	0.08703014	0.06869	0.10537	48	"Quebec"
"EG.5.1"	0.08701293	0.07062	0.10341	40	"Canada"
"FL.14"	0.08677007	0.05499	0.11855	14	"Quebec"
"FL.1*"	0.0860773	0.06535	0.10681	28	"Ontario"
"EG.6.1"	0.08538033	NA	NA	18	"Newfoundland and Labrador"
"EG.6*"	0.08538033	NA	NA	18	"Newfoundland and Labrador"
"EG.5.1"	0.08364309	0.05849	0.1088	17	"Ontario"
"XBB.1.9*"	0.08326652	0.05297	0.11356	34	"Newfoundland and Labrador"
"GK*"	0.08132522	0.05091	0.11174	13	"Quebec"
"DV.7"	0.08088415	0.05939	0.10237	20	"Canada"
"FY*"	0.08042983	0.06333	0.09753	36	"Ontario"
"EG.2"	0.07646642	0.05203	0.1009	16	"Ontario"
"EG.5.1*"	0.07626443	0.06172	0.09081	47	"Ontario"
"EG.2"	0.0761126	0.05587	0.09636	20	"Canada"
"FK.1*"	0.07577476	0.04521	0.10634	11	"Quebec"
"GJ.1*"	0.07553146	0.06334	0.08772	58	"Canada"
"XBB.2.3.11"	0.07531623	0.05786	0.09278	32	"Ontario"
"GJ.1"	0.07442146	0.06177	0.08707	52	"Canada"
"GS*"	0.07424291	0.05792	0.09057	36	"Ontario"
"EG.5.1.1"	0.07365194	0.05651	0.09079	30	"Ontario"
"XBB.1.16.6"	0.07275455	0.05855	0.08696	38	"Canada"
"XBB.1.16*"	0.07176174	0.03935	0.10417	18	"Newfoundland and Labrador"
"GF.1"	0.07151371	0.047	0.09603	12	"Canada"
"FL.14"	0.07135263	0.05443	0.08828	26	"Canada"
"XBB.1.16"	0.07118005	0.0345	0.10786	13	"Newfoundland and Labrador"
"XBB.1.5.72"	0.07085276	0.05442	0.08728	32	"Ontario"
"XBB.1.19.1"	0.0706036	0.05922	0.08198	69	"Ontario"
"GN*"	0.06924107	0.05684	0.08164	50	"Ontario"
"FL.15"	0.06862734	0.05628	0.08098	48	"Canada"
"GB.1"	0.06859503	0.04353	0.09366	12	"Ontario"
"EG.5*"	0.0681612	0.06145	0.07487	179	"Canada"
"XBB.1.5.72"	0.06808033	0.05519	0.08098	43	"Canada"
"GJ.1*"	0.06791806	0.0444	0.09144	13	"Ontario"
"FY*"	0.06769351	0.05831	0.07708	82	"Canada"
"XBB.1.16"	0.06753363	0.04723	0.08784	67	"Nova Scotia"
"XBB.1.5.73"	0.06731909	0.05483	0.0798	46	"Ontario"
"XBB.1.5.63"	0.06713844	0.04846	0.08582	22	"Ontario"
"GJ.1"	0.06653131	0.04144	0.09162	11	"Ontario"
"FY*"	0.06553597	0.04253	0.08854	15	"Quebec"
"XBL"	0.06478492	0.04904	0.08053	30	"Ontario"
"FL.4*"	0.06427979	0.04741	0.08115	42	"British Columbia"
"FL.4"	0.06422397	0.04659	0.08186	38	"British Columbia"
"XBL*"	0.06408455	0.04871	0.07946	31	"Ontario"
