"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"XBB.1.9.1"	0.07240222	0.02326	0.12154	20	"Alberta"
"XBB.1.9*"	0.07240222	0.02326	0.12154	20	"Alberta"
"BQ.1.9"	0.06087504	0.0314	0.09035	36	"Ontario"
"BQ.1.9"	0.04694701	0.02095	0.07294	36	"Canada"
"XBB.1.9.1"	0.03731224	0.02195	0.05267	91	"Canada"
"EF.1.1.1"	0.03602468	0.00682	0.06523	25	"Ontario"
"XBB.1.9*"	0.03570901	0.02182	0.0496	109	"Canada"
"XBB.1.9*"	0.03182103	0.01181	0.05184	52	"Quebec"
"EF.1.1.1"	0.03176677	0.00498	0.05856	27	"Canada"
"XBB.1.5.2"	0.03030028	-0.0023	0.0629	22	"Alberta"
"XBB.1.5.2"	0.02939316	0.00712	0.05167	38	"Canada"
"XBB.1.9.1"	0.02882638	0.00734	0.05032	43	"Quebec"
"XBB.1.5.1"	0.02331049	-0.00993	0.05655	16	"Ontario"
"XBB.1.9.1"	0.0231995	-0.00284	0.04924	26	"Ontario"
"DV.1"	0.0218593	0.00688	0.03683	76	"Canada"
"BQ.1.1.39"	0.02032759	-0.00997	0.05063	21	"Alberta"
"BQ.1.1.61"	0.01922507	-0.00663	0.04508	25	"Ontario"
"XBB.1.9*"	0.01841626	-0.00362	0.04045	34	"Ontario"
"BW.1.1.2"	0.01767935	-0.00011	0.03547	52	"Ontario"
"XBB.1.5.5"	0.01333975	-0.0084	0.03508	32	"Canada"
"BQ.1.1.61"	0.01125625	-0.01239	0.0349	26	"Canada"
"BQ.1.1.46"	0.01086079	-0.008	0.02972	42	"Ontario"
"XBB.1.5.5"	0.00898194	-0.0147	0.03266	26	"Quebec"
"XBB.1.5.7"	0.00597556	-0.01601	0.02797	29	"Quebec"
"DV.1"	0.00547397	-0.00917	0.02012	66	"Quebec"
"EF.1.1*"	0.0019594	-0.01731	0.02123	36	"Ontario"
"XBB.1.5.4"	0.0001601	-0.02222	0.02254	26	"Ontario"
