"Date"	"Lineage"	"Frequency"	"% Frequency"
2021-11-29	"BA.1.14.1"	0	"0%"
2021-11-29	"BA.1.14.2"	0	"0%"
2021-11-29	"BA.1.15"	16	"11%"
2021-11-29	"BA.1.15.1"	0	"0%"
2021-11-29	"BA.1.15.2"	0	"0%"
2021-11-29	"BA.1.15.3"	0	"0%"
2021-11-29	"BA.1.16"	0	"0%"
2021-11-29	"BA.1.17"	26	"17%"
2021-11-29	"BA.1.17.1"	0	"0%"
2021-11-29	"BA.1.17.2"	13	"9%"
2021-11-29	"BA.1.18"	0	"0%"
2021-11-29	"BA.1.19"	18	"12%"
2021-11-29	"BA.1.20"	1	"1%"
2021-11-29	"BA.1.21"	0	"0%"
2021-11-29	"BA.1.3"	1	"1%"
2021-11-29	"BA.1.4"	0	"0%"
2021-11-29	"BA.1.5"	0	"0%"
2021-11-29	"BA.1.6"	0	"0%"
2021-11-29	"BA.1.7"	0	"0%"
2021-11-29	"BA.1.8"	0	"0%"
2021-11-29	"BA.1.9"	0	"0%"
2021-11-29	"BC.2"	0	"0%"
2021-11-29	"BD.1"	0	"0%"
2021-12-06	"BA.1"	254	"15%"
2021-12-06	"BA.1.1"	426	"26%"
2021-12-06	"BA.1.1.1"	3	"0%"
2021-12-06	"BA.1.1.10"	14	"1%"
2021-12-06	"BA.1.1.11"	0	"0%"
2021-12-06	"BA.1.1.13"	0	"0%"
2021-12-06	"BA.1.1.14"	34	"2%"
2021-12-06	"BA.1.1.15"	0	"0%"
2021-12-06	"BA.1.1.16"	0	"0%"
2021-12-06	"BA.1.1.17"	0	"0%"
2021-12-06	"BA.1.1.18"	0	"0%"
2021-12-06	"BA.1.1.2"	17	"1%"
2021-12-06	"BA.1.1.3"	0	"0%"
2021-12-06	"BA.1.1.4"	0	"0%"
2021-12-06	"BA.1.1.6"	17	"1%"
2021-12-06	"BA.1.1.7"	0	"0%"
2021-12-06	"BA.1.1.8"	0	"0%"
2021-12-06	"BA.1.1.9"	0	"0%"
2021-12-06	"BA.1.10"	0	"0%"
2021-12-06	"BA.1.12"	0	"0%"
2021-12-06	"BA.1.13"	0	"0%"
2021-12-06	"BA.1.13.1"	0	"0%"
2021-12-06	"BA.1.14"	11	"1%"
2021-12-06	"BA.1.14.1"	0	"0%"
2021-12-06	"BA.1.14.2"	0	"0%"
2021-12-06	"BA.1.15"	54	"3%"
2021-12-06	"BA.1.15.1"	2	"0%"
2021-12-06	"BA.1.15.2"	0	"0%"
2021-12-06	"BA.1.15.3"	0	"0%"
2021-12-06	"BA.1.16"	0	"0%"
2021-12-06	"BA.1.17"	304	"19%"
2021-12-06	"BA.1.17.1"	0	"0%"
2021-12-06	"BA.1.17.2"	439	"27%"
2021-12-06	"BA.1.18"	6	"0%"
2021-12-06	"BA.1.19"	5	"0%"
2021-12-06	"BA.1.20"	49	"3%"
2021-12-06	"BA.1.21"	0	"0%"
2021-12-06	"BA.1.3"	0	"0%"
2021-12-06	"BA.1.4"	0	"0%"
2021-12-06	"BA.1.5"	0	"0%"
2021-12-06	"BA.1.6"	6	"0%"
2021-12-06	"BA.1.7"	0	"0%"
2021-12-06	"BA.1.8"	0	"0%"
2021-12-06	"BA.1.9"	0	"0%"
2021-12-06	"BC.2"	0	"0%"
2021-12-06	"BD.1"	0	"0%"
2021-12-13	"BA.1"	1182	"25%"
2021-12-13	"BA.1.1"	942	"20%"
2021-12-13	"BA.1.1.1"	2	"0%"
2021-12-13	"BA.1.1.10"	39	"1%"
2021-12-13	"BA.1.1.11"	1	"0%"
2021-12-13	"BA.1.1.13"	2	"0%"
2021-12-13	"BA.1.1.14"	21	"0%"
2021-12-13	"BA.1.1.15"	1	"0%"
2021-12-13	"BA.1.1.16"	169	"4%"
2021-12-13	"BA.1.1.17"	0	"0%"
2021-12-13	"BA.1.1.18"	8	"0%"
2021-12-13	"BA.1.1.2"	12	"0%"
2021-12-13	"BA.1.1.3"	0	"0%"
2021-12-13	"BA.1.1.4"	0	"0%"
2021-12-13	"BA.1.1.6"	35	"1%"
2021-12-13	"BA.1.1.7"	0	"0%"
2021-12-13	"BA.1.1.8"	0	"0%"
2021-12-13	"BA.1.1.9"	0	"0%"
2021-12-13	"BA.1.10"	3	"0%"
2021-12-13	"BA.1.12"	0	"0%"
2021-12-13	"BA.1.13"	8	"0%"
2021-12-13	"BA.1.13.1"	0	"0%"
2021-12-13	"BA.1.14"	50	"1%"
2021-12-13	"BA.1.14.1"	0	"0%"
2021-12-13	"BA.1.14.2"	0	"0%"
2021-12-13	"BA.1.15"	440	"9%"
2021-12-13	"BA.1.15.1"	13	"0%"
