"Date"	"Lineage"	"Frequency"	"% Frequency"
2023-07-03	"FU.1"	6	"1%"
2023-07-03	"FU.2.1"	0	"0%"
2023-07-03	"FY.5"	10	"2%"
2023-07-03	"GE.1"	3	"1%"
2023-07-03	"GJ.1.2"	18	"3%"
2023-07-03	"GK.1.1"	0	"0%"
2023-07-03	"GK.2"	2	"0%"
2023-07-03	"GK.3.1"	0	"0%"
2023-07-03	"GW.1"	23	"4%"
2023-07-03	"HF.1"	2	"0%"
2023-07-03	"HK.3"	0	"0%"
2023-07-03	"HR.1"	1	"0%"
2023-07-03	"HV.1"	0	"0%"
2023-07-03	"other lineages"	185	"32%"
2023-07-03	"XBB.1.16"	56	"10%"
2023-07-03	"XBB.1.16.1"	11	"2%"
2023-07-03	"XBB.1.16.11"	6	"1%"
2023-07-03	"XBB.1.16.15"	0	"0%"
2023-07-03	"XBB.1.16.6"	18	"3%"
2023-07-03	"XBB.1.16.8"	6	"1%"
2023-07-03	"XBB.1.16.9"	2	"0%"
2023-07-03	"XBB.1.42.2"	1	"0%"
2023-07-03	"XBB.1.5"	37	"6%"
2023-07-03	"XBB.1.5.10"	15	"3%"
2023-07-03	"XBB.1.5.44"	4	"1%"
2023-07-03	"XBB.1.5.49"	8	"1%"
2023-07-03	"XBB.1.5.72"	4	"1%"
2023-07-03	"XBB.1.9.1"	6	"1%"
2023-07-03	"XBB.1.9.2"	3	"1%"
2023-07-03	"XBB.2.3"	9	"2%"
2023-07-03	"XBB.2.3.11"	1	"0%"
2023-07-03	"XBB.2.3.2"	3	"1%"
2023-07-10	"DV.7.1"	0	"0%"
2023-07-10	"EG.1"	2	"0%"
2023-07-10	"EG.5.1"	14	"3%"
2023-07-10	"EG.5.1.1"	54	"12%"
2023-07-10	"EG.5.1.3"	4	"1%"
2023-07-10	"EG.5.1.4"	8	"2%"
2023-07-10	"EG.5.1.6"	3	"1%"
2023-07-10	"EG.5.2"	7	"2%"
2023-07-10	"EG.6.1"	7	"2%"
2023-07-10	"EG.7"	3	"1%"
2023-07-10	"FD.1.1"	10	"2%"
2023-07-10	"FK.1.1"	3	"1%"
2023-07-10	"FL.1.5"	0	"0%"
2023-07-10	"FL.1.5.1"	9	"2%"
2023-07-10	"FL.10.1"	1	"0%"
2023-07-10	"FL.15"	4	"1%"
2023-07-10	"FL.20"	0	"0%"
2023-07-10	"FL.4"	4	"1%"
2023-07-10	"FU.1"	4	"1%"
2023-07-10	"FU.2.1"	4	"1%"
2023-07-10	"FY.5"	32	"7%"
2023-07-10	"GE.1"	4	"1%"
2023-07-10	"GJ.1.2"	11	"2%"
2023-07-10	"GK.1.1"	0	"0%"
2023-07-10	"GK.2"	0	"0%"
2023-07-10	"GK.3.1"	0	"0%"
2023-07-10	"GW.1"	9	"2%"
2023-07-10	"HF.1"	8	"2%"
2023-07-10	"HK.3"	0	"0%"
2023-07-10	"HR.1"	0	"0%"
2023-07-10	"HV.1"	0	"0%"
2023-07-10	"other lineages"	133	"29%"
2023-07-10	"XBB.1.16"	38	"8%"
2023-07-10	"XBB.1.16.1"	15	"3%"
2023-07-10	"XBB.1.16.11"	8	"2%"
2023-07-10	"XBB.1.16.15"	0	"0%"
2023-07-10	"XBB.1.16.6"	11	"2%"
2023-07-10	"XBB.1.16.8"	0	"0%"
2023-07-10	"XBB.1.16.9"	0	"0%"
2023-07-10	"XBB.1.42.2"	1	"0%"
2023-07-10	"XBB.1.5"	15	"3%"
2023-07-10	"XBB.1.5.10"	7	"2%"
2023-07-10	"XBB.1.5.44"	6	"1%"
2023-07-10	"XBB.1.5.49"	4	"1%"
2023-07-10	"XBB.1.5.72"	7	"2%"
2023-07-10	"XBB.1.9.1"	3	"1%"
2023-07-10	"XBB.1.9.2"	0	"0%"
2023-07-10	"XBB.2.3"	8	"2%"
2023-07-10	"XBB.2.3.11"	1	"0%"
2023-07-10	"XBB.2.3.2"	2	"0%"
2023-07-17	"DV.7.1"	0	"0%"
2023-07-17	"EG.1"	1	"0%"
2023-07-17	"EG.5.1"	29	"5%"
2023-07-17	"EG.5.1.1"	63	"11%"
2023-07-17	"EG.5.1.3"	5	"1%"
2023-07-17	"EG.5.1.4"	9	"2%"
2023-07-17	"EG.5.1.6"	4	"1%"
2023-07-17	"EG.5.2"	7	"1%"
2023-07-17	"EG.6.1"	15	"3%"
2023-07-17	"EG.7"	4	"1%"
2023-07-17	"FD.1.1"	17	"3%"
2023-07-17	"FK.1.1"	5	"1%"
