"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"LF.7.7*"	0.11194286	0.08672	0.13716	44	"Ontario"	0	"dashed"	"KP.3*"
"LF.7.7.2"	0.11106855	0.08592	0.13621	43	"Ontario"	0	"dashed"	"KP.3.1.1"
"LF.7.7.2"	0.10665988	0.09062	0.1227	108	"Canada"	0	"dashed"	"KP.3.1.1"
"LF.7.7*"	0.10538031	0.08995	0.12081	114	"Canada"	0	"dashed"	"KP.3*"
"NY.7"	0.07948133	0.05756	0.1014	18	"Canada"	0	"dashed"	"KP.3.1.1"
"XEC.18"	0.07551781	0.03382	0.11721	15	"Newfoundland and Labrador"	0	"dashed"	"KP.3.1.1"
"MC.1.2"	0.07435636	0.04294	0.10578	33	"Nova Scotia"	0	"dashed"	"KP.3.1.1"
"LF.7.7.2"	0.07173137	0.02192	0.12155	62	"Quebec"	0	"dashed"	"KP.3.1.1"
"XEC.11.1"	0.06907819	0.03147	0.10669	12	"Nova Scotia"	0	"dashed"	"KP.3.1.1"
"XEC.11*"	0.06907819	0.03147	0.10669	12	"Nova Scotia"	0	"dashed"	"KP.3*"
"XEC.11.1*"	0.06907819	0.03147	0.10669	12	"Nova Scotia"	0	"dashed"	"KP.3*"
"MC.1.1"	0.06689721	0.03127	0.10253	13	"Nova Scotia"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.06609974	0.04467	0.08753	112	"Newfoundland and Labrador"	0	"dashed"	"KP.3*"
"LP.8.1*"	0.06545306	0.04354	0.08737	48	"Quebec"	0	"dashed"	"KP.3*"
"KP.1.1*"	0.06545306	0.04354	0.08737	48	"Quebec"	0	"dashed"	"KP.3*"
"LP*"	0.06545306	0.04354	0.08737	48	"Quebec"	0	"dashed"	"KP.3*"
"MC.21.1"	0.06532893	0.04861	0.08205	26	"Ontario"	0	"dashed"	"KP.3.1.1"
"MC.10.2.1"	0.06322687	0.04618	0.08027	21	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.10*"	0.06319283	0.02982	0.09657	13	"Newfoundland and Labrador"	0	"dashed"	"KP.3*"
"NF.1.3"	0.0629951	0.04915	0.07684	33	"Canada"	0	"dashed"	"KP.3.1.1"
