"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"EG.1.5"	0.14144636	0.07973	0.20317	21	"Ontario"
"FL.10.1"	0.12875764	0.09115	0.16637	24	"Canada"
"EG.5.1.4"	0.1255554	0.08421	0.1669	17	"Canada"
"HN"	0.10933458	0.07346	0.14521	19	"Quebec"
"HN*"	0.10933458	0.07346	0.14521	19	"Quebec"
"HK"	0.1056082	0.08559	0.12562	75	"Quebec"
"HK*"	0.1056082	0.08559	0.12562	75	"Quebec"
"HN*"	0.10243674	0.08378	0.12109	49	"Canada"
"EG.5.1*"	0.10121629	0.08418	0.11825	99	"Quebec"
"EG.5*"	0.0997643	0.08357	0.11596	108	"Quebec"
"HN"	0.09480337	0.07642	0.11319	39	"Canada"
"HK*"	0.09224453	0.08329	0.10119	223	"Canada"
"HF.1"	0.09216606	0.07356	0.11078	35	"Canada"
"HK"	0.09202513	0.08308	0.10097	221	"Canada"
"EG.5.1*"	0.0919153	0.08429	0.09954	352	"Canada"
"GN.2"	0.09070097	0.06556	0.11584	17	"Canada"
"XBB.1.16.6"	0.0885034	0.0637	0.11331	20	"Ontario"
"GJ.1.2"	0.08682985	0.05749	0.11617	16	"Alberta"
"GJ.1*"	0.08682985	0.05749	0.11617	16	"Alberta"
"EG.5.1"	0.08671725	0.07557	0.09787	98	"Canada"
"FU.2*"	0.08642263	0.06094	0.11191	21	"British Columbia"
"GJ.1*"	0.08527362	0.06421	0.10634	34	"Quebec"
"FY*"	0.08410508	0.06987	0.09834	72	"Ontario"
"FY.5"	0.08348704	0.07094	0.09603	67	"Canada"
"GJ.1.2"	0.08319795	0.06167	0.10473	30	"Quebec"
"EG.5.1"	0.08277438	0.06752	0.09803	54	"Ontario"
"GN.2"	0.08216231	0.05789	0.10643	17	"Ontario"
"XBB.1.22*"	0.08210555	0.06845	0.09576	74	"Ontario"
"EG.1.5"	0.081452	0.03251	0.13039	25	"Canada"
"EG.5.1*"	0.08123214	NA	NA	14	"Newfoundland and Labrador"
"EG.5*"	0.08123214	NA	NA	14	"Newfoundland and Labrador"
"EG.5.1*"	0.08088221	0.07112	0.09065	173	"Ontario"
"EG.5*"	0.08027777	NA	NA	36	"Nova Scotia"
"EG.5.1*"	0.07983774	NA	NA	32	"Nova Scotia"
"EG.5.1"	0.07926081	0.05376	0.10476	17	"Quebec"
"EG.6.1"	0.07781233	0.04326	0.11236	29	"Newfoundland and Labrador"
"EG*"	0.07765555	0.05377	0.10154	54	"Nova Scotia"
"EG.5.1*"	0.07738855	0.02439	0.13038	11	"Alberta"
"HK*"	0.07722105	0.06622	0.08822	100	"Ontario"
"FU.2.1"	0.07711782	NA	NA	13	"British Columbia"
"FU.1"	0.07700659	0.04931	0.10471	22	"British Columbia"
"HK"	0.07678057	0.06579	0.08778	98	"Ontario"
"FU.1"	0.07670111	0.03587	0.11753	12	"Alberta"
"FL.1.5*"	0.07510254	0.06452	0.08568	72	"Canada"
"GJ.1.2"	0.0740119	0.04857	0.09946	16	"British Columbia"
"XBB.1.9.2"	0.0737849	0.05345	0.09412	36	"Alberta"
"HF*"	0.07356711	0.05453	0.09261	26	"Ontario"
"GE.1"	0.07338564	0.0566	0.09017	24	"Canada"
"EG.5*"	0.07312351	0.06787	0.07838	433	"Canada"
"XBB.1.16.6"	0.07229513	0.03923	0.10536	12	"Nova Scotia"
"GW.1"	0.07229126	0.06091	0.08367	59	"Canada"
"XBB.1.9*"	0.07206018	0.04622	0.0979	54	"Newfoundland and Labrador"
"GJ.1*"	0.07189786	0.04756	0.09624	17	"British Columbia"
"GW.1"	0.07139577	0.05843	0.08436	58	"Ontario"
"XBB.1.16.11"	0.07110088	0.04198	0.10022	14	"New Brunswick"
"FL.4.6"	0.07089636	0.0462	0.09559	18	"British Columbia"
"GF.1"	0.07032429	0.05017	0.09048	15	"Canada"
"GK*"	0.07030506	0.05756	0.08305	40	"Canada"
"XBB.1.16.11"	0.06977158	0.05688	0.08266	39	"Canada"
"EG*"	0.06950133	0.04387	0.09513	46	"Newfoundland and Labrador"
"GK.1.3"	0.06925042	0.05113	0.08737	18	"Canada"
"HF*"	0.06919737	0.0423	0.09609	11	"Alberta"
"FY*"	0.06883446	0.0613	0.07637	140	"Canada"
"XBB.1.16.6"	0.06867591	0.0579	0.07945	57	"Canada"
"FY.3*"	0.06851195	0.05097	0.08605	19	"Canada"
"GK.1*"	0.06823028	0.05221	0.08425	23	"Canada"
"FL.15"	0.06753438	0.05945	0.07562	107	"Canada"
"FL.14"	0.06752267	0.04419	0.09086	15	"Quebec"
"GK*"	0.06750766	0.04467	0.09035	16	"Quebec"
"XBB.1.22*"	0.06665784	0.05948	0.07384	147	"Canada"
"XBB.1.22*"	0.06649808	0.04645	0.08655	25	"British Columbia"
