"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"reference"
"JD.1.1*"	0.006115	0	0.01907	37	"Quebec"	"HV.1"
"JD.1.1"	0.00594154	0	0.03141	13	"New Brunswick"	"HV.1*"
"GA.4.1"	0.00495708	0	0.01662	58	"Ontario"	"HV.1*"
"JD.1.1"	0.0046617	0.00173	0.00759	829	"Canada"	"HV.1*"
"JD.1.1"	0.00458138	0	0.01789	34	"Quebec"	"HV.1*"
"DV.7.1.1"	0.00419127	0	0.01607	47	"Canada"	"HV.1*"
"HK.3*"	0.003258	0	0.00855	271	"Alberta"	"HV.1"
"FL.1.5.2"	0.00294411	0	0.00755	316	"Canada"	"HV.1*"
"JD.1.1"	0.00242923	0	0.0089	172	"Alberta"	"HV.1*"
"FL.15.1.1"	0.00239358	0	0.01634	39	"Ontario"	"HV.1*"
"JD.1*"	0.00231516	0	0.00791	236	"Alberta"	"HV.1"
"JD.1.1*"	0.00231516	0	0.00791	236	"Alberta"	"HV.1"
"JN.3"	0.00226342	0	0.01873	28	"Ontario"	"HV.1*"
"JG*"	0.00217739	0	0.01291	77	"Nova Scotia"	"HV.1"
"HK.3.1"	0.00158701	0	0.01613	27	"British Columbia"	"HV.1*"
"HK.3"	0.00146634	0	0.00743	204	"Alberta"	"HV.1*"
"HK.3.2"	0.00144419	0	0.00679	281	"Ontario"	"HV.1*"
"JD.1*"	0.00132069	0	0.0071	182	"British Columbia"	"HV.1"
"JD.1.1*"	0.00104402	0	0.00685	180	"British Columbia"	"HV.1"
"GA*"	0.00052174	0	0.01938	16	"British Columbia"	"HV.1"
