"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"reference"
"JN.1"	0.11115632	0.09156	0.13075	126	"British Columbia"	"HV.1*"
"JN.1"	0.08947595	0.08546	0.0935	2334	"Canada"	"HV.1*"
"JN.1"	0.08943849	0.08363	0.09525	1273	"Ontario"	"HV.1*"
"JN.1"	0.08408678	0.07619	0.09198	521	"Alberta"	"HV.1*"
"JN*"	0.07072832	0.06625	0.07521	1616	"Ontario"	"HV.1"
"BA.2.86*"	0.07052337	0.06606	0.07499	1622	"Ontario"	"HV.1"
"JN.1"	0.0681646	0.05725	0.07908	362	"Quebec"	"HV.1*"
"JN*"	0.06651174	0.05767	0.07535	244	"British Columbia"	"HV.1"
"BA.2.86*"	0.06567983	0.05695	0.07441	245	"British Columbia"	"HV.1"
"JN*"	0.06382371	0.05366	0.07399	384	"Quebec"	"HV.1"
"BA.2.86*"	0.06382371	0.05366	0.07399	384	"Quebec"	"HV.1"
"JN.1"	0.062217	NA	NA	17	"Nova Scotia"	"HV.1*"
"JN*"	0.06191125	0.0592	0.06462	3101	"Canada"	"HV.1"
"BA.2.86*"	0.06167857	0.05898	0.06438	3109	"Canada"	"HV.1"
"JN.2"	0.06141519	0.0463	0.07653	64	"British Columbia"	"HV.1*"
"JG.3"	0.06042093	0.03512	0.08572	42	"Nova Scotia"	"HV.1*"
"BA.2.86.1"	0.05737348	0.04658	0.06817	151	"Ontario"	"HV.1*"
"XCH.1"	0.05114404	0.03229	0.07	35	"Alberta"	"HV.1*"
"JN*"	0.04861436	0.02477	0.07246	29	"Nova Scotia"	"HV.1"
"BA.2.86*"	0.04861436	0.02477	0.07246	29	"Nova Scotia"	"HV.1"
"HK.3.2"	0.04851492	0.02827	0.06876	26	"British Columbia"	"HV.1*"
"JD.1.1.3"	0.04832734	0.02773	0.06893	25	"British Columbia"	"HV.1*"
"JE.1.1"	0.0453354	0.02262	0.06805	19	"British Columbia"	"HV.1*"
"JN*"	0.04344327	0.03901	0.04788	768	"Alberta"	"HV.1"
"BA.2.86*"	0.04322329	0.0388	0.04765	769	"Alberta"	"HV.1"
"JG.3"	0.04281379	0.03222	0.05341	87	"British Columbia"	"HV.1*"
"JG.3"	0.03979504	0.03164	0.04795	173	"Alberta"	"HV.1*"
"JN.1"	0.03714516	0	0.08235	12	"New Brunswick"	"HV.1*"
"JE.1*"	0.03696414	0.01674	0.05719	20	"British Columbia"	"HV.1"
"JD.1.1.1"	0.03556161	0.00879	0.06233	11	"British Columbia"	"HV.1*"
"JD.1.1.3"	0.0349981	0.01589	0.05411	27	"Canada"	"HV.1*"
"BA.2.86.1"	0.03469523	0.0287	0.04069	280	"Canada"	"HV.1*"
"XCH*"	0.0345227	0.01904	0.05001	40	"Alberta"	"HV.1"
"BA.2.86.1"	0.03320633	0.02092	0.04549	52	"British Columbia"	"HV.1*"
"JN*"	0.02972323	0.00359	0.05585	25	"Newfoundland and Labrador"	"HV.1"
"BA.2.86*"	0.02972323	0.00359	0.05585	25	"Newfoundland and Labrador"	"HV.1"
"JN.2"	0.02929872	0.02092	0.03768	164	"Ontario"	"HV.1*"
"JE.1.1"	0.02885879	0.0128	0.04491	35	"Canada"	"HV.1*"
"JN.2"	0.02875294	0.00418	0.05332	12	"Quebec"	"HV.1*"
"JD.1.1.1"	0.02825481	0.02302	0.03349	343	"Canada"	"HV.1*"
"JN.1"	0.02621256	0.00017	0.05225	22	"Newfoundland and Labrador"	"HV.1*"
"JG.3"	0.02496629	0.02239	0.02754	1488	"Canada"	"HV.1*"
"XCP"	0.02301499	0	0.04712	14	"Canada"	"HV.1*"
"GW.5"	0.02294589	0	0.05081	13	"Ontario"	"HV.1*"
"JD.1.1.1"	0.02264673	0.00863	0.03666	42	"Alberta"	"HV.1*"
"JN.2"	0.02261964	0.01828	0.02696	451	"Canada"	"HV.1*"
"JD.1.1.1"	0.02259731	0.01648	0.02872	288	"Ontario"	"HV.1*"
"JE.1.1"	0.02111842	0	0.04501	14	"Alberta"	"HV.1*"
"FL.13*"	0.02052556	0	0.04686	11	"Canada"	"HV.1"
"JD.1.1*"	0.01733838	0.01337	0.0213	680	"Ontario"	"HV.1"
"JG.3"	0.01718886	0.014	0.02037	1088	"Ontario"	"HV.1*"
"HK.3.2"	0.01659324	0	0.03574	17	"Quebec"	"HV.1*"
"HK.3"	0.01503961	0	0.03726	22	"Newfoundland and Labrador"	"HV.1*"
"HK.3*"	0.01366101	0	0.03513	23	"Newfoundland and Labrador"	"HV.1"
"JD.1.1"	0.01337005	0.00845	0.01829	389	"Ontario"	"HV.1*"
"JD.1.1"	0.01315055	0	0.03833	15	"Newfoundland and Labrador"	"HV.1*"
"HK.3.2"	0.01306241	0.00138	0.02475	55	"Alberta"	"HV.1*"
"HK.3.2"	0.01247889	0.00807	0.01688	388	"Canada"	"HV.1*"
"JD.1*"	0.0124115	0.0087	0.01612	720	"Ontario"	"HV.1"
"GK.1"	0.0121145	0	0.03771	11	"Alberta"	"HV.1*"
"HK.3*"	0.01193162	0.00732	0.01654	326	"British Columbia"	"HV.1"
"XBB.1.16.17"	0.01062	0	0.02576	25	"British Columbia"	"HV.1*"
"HK.3"	0.01040688	0.00545	0.01537	271	"British Columbia"	"HV.1*"
"JD.1.1*"	0.00980713	0.00729	0.01232	1238	"Canada"	"HV.1"
"JG.3"	0.00910261	0	0.02475	41	"New Brunswick"	"HV.1*"
"JN.3"	0.00893634	0	0.0227	36	"Canada"	"HV.1*"
"JD.1*"	0.00814273	0.00569	0.01059	1280	"Canada"	"HV.1"
"BA.2.86.1"	0.00783555	0	0.02033	45	"Alberta"	"HV.1*"
"GK.2*"	0.00774545	0	0.02994	18	"Nova Scotia"	"HV.1"
"JN.2"	0.00773374	0.00174	0.01373	202	"Alberta"	"HV.1*"
"FL.1.5.2"	0.00742634	0	0.03586	11	"New Brunswick"	"HV.1*"
"EG.5.1.8"	0.00722816	0	0.01913	50	"Alberta"	"HV.1*"
"JD.1*"	0.006115	0	0.01907	37	"Quebec"	"HV.1"
