"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"reference"
"KP.2"	0.16243696	0.12588	0.199	82	"Alberta"	0	"JN.1*"
"LB.1"	0.15830792	0.09541	0.22121	17	"Ontario"	0	"JN.1*"
"KP.3"	0.15773503	0.11594	0.19953	46	"Alberta"	0	"JN.1*"
"LB.1"	0.15553539	0.11062	0.20045	22	"Canada"	0	"JN.1*"
"KP.2*"	0.14866058	0.11759	0.17973	95	"Alberta"	0	"JN.1"
"JN.1.16*"	0.13971248	0.09904	0.18038	24	"British Columbia"	0	"JN.1"
"XDK.1"	0.13743558	0.09895	0.17592	41	"Ontario"	0	"JN.1*"
"KP.1.1"	0.13619098	0.09146	0.18092	25	"Ontario"	0	"JN.1*"
"JN.1.16.1"	0.13526382	0.10323	0.1673	31	"Canada"	0	"JN.1*"
"JN.1.16"	0.1340037	0.09153	0.17647	20	"British Columbia"	0	"JN.1*"
"JN.1.16.1"	0.13177489	0.08813	0.17542	24	"Ontario"	0	"JN.1*"
"KP.2*"	0.13132207	0.08865	0.174	21	"British Columbia"	0	"JN.1"
"KP.2"	0.13104497	0.08365	0.17844	16	"British Columbia"	0	"JN.1*"
"KP.2.3"	0.13090174	0.07955	0.18226	11	"Canada"	0	"JN.1*"
"KP.1.1*"	0.12995481	0.09062	0.16929	30	"Ontario"	0	"JN.1"
"KS.1"	0.11646536	0.09789	0.13504	80	"Canada"	0	"JN.1*"
"KP*"	0.1111799	0.09557	0.12679	228	"Alberta"	0	"JN.1"
"JN.1.11*"	0.10811926	0.09317	0.12307	229	"Alberta"	0	"JN.1"
"KP.3"	0.10804329	0.09775	0.11834	289	"Canada"	0	"JN.1*"
"KP*"	0.10448946	0.08098	0.128	57	"British Columbia"	0	"JN.1"
"KS.1"	0.10425998	0.08289	0.12563	77	"Ontario"	0	"JN.1*"
"XDK*"	0.10126433	0.07697	0.12556	50	"Ontario"	0	"JN.1"
"JN.1.11.1"	0.10053551	0.07914	0.12193	60	"Alberta"	0	"JN.1*"
"KP.2"	0.09900495	0.08761	0.1104	165	"Canada"	0	"JN.1*"
"KP.2*"	0.0980483	0.08746	0.10864	193	"Canada"	0	"JN.1"
"KP.4.2"	0.0919536	0.05863	0.12528	11	"Canada"	0	"JN.1*"
"KP*"	0.08992745	0.06532	0.11453	61	"Quebec"	0	"JN.1"
"JN.1.11*"	0.08992745	0.06532	0.11453	61	"Quebec"	0	"JN.1"
"KS*"	0.08815588	0.07258	0.10374	96	"Ontario"	0	"JN.1"
"XDK.1"	0.08714212	0.07296	0.10133	64	"Canada"	0	"JN.1*"
"KP*"	0.08650292	0.03666	0.13634	18	"Newfoundland and Labrador"	0	"JN.1"
"JN.1.11*"	0.08650292	0.03666	0.13634	18	"Newfoundland and Labrador"	0	"JN.1"
"JN.1.13*"	0.08598198	0.07099	0.10098	97	"Ontario"	0	"JN.1"
"KP.1.1"	0.08590024	0.05411	0.11769	20	"British Columbia"	0	"JN.1*"
"JN.1.13.1"	0.08568382	0.04955	0.12182	15	"British Columbia"	0	"JN.1*"
"JN.1.13*"	0.08568382	0.04955	0.12182	15	"British Columbia"	0	"JN.1"
"KS*"	0.08568382	0.04955	0.12182	15	"British Columbia"	0	"JN.1"
"KP.2"	0.08537662	0	0.23839	14	"Newfoundland and Labrador"	0	"JN.1*"
"KP.2*"	0.08537662	0	0.23839	14	"Newfoundland and Labrador"	0	"JN.1"
"KP.1*"	0.08516496	0.05487	0.11546	22	"British Columbia"	0	"JN.1"
"KP.1.1*"	0.08516496	0.05487	0.11546	22	"British Columbia"	0	"JN.1"
"KP.3"	0.0835587	0.07271	0.09441	191	"Ontario"	0	"JN.1*"
"KP.1.1.1"	0.08350912	0.05649	0.11053	14	"Canada"	0	"JN.1*"
"KS*"	0.08315144	0.0731	0.0932	136	"Canada"	0	"JN.1"
