"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"KP.2*"	0.39778472	0	1.69898	24	"Newfoundland and Labrador"	0	"dashed"	"JN.1*"
"KP.3.1.4"	0.28188866	0	1.63621	23	"Newfoundland and Labrador"	0	"dashed"	"JN.1"
"MM*"	0.28188866	0	1.63621	23	"Newfoundland and Labrador"	0	"dashed"	"JN.1*"
"LP*"	0.24576239	0	0.53529	48	"Quebec"	0	"dashed"	"JN.1*"
"MC*"	0.24306062	0	0.70339	313	"Quebec"	0	"dashed"	"JN.1*"
"KP.3.1.1"	0.23670547	0	0.48538	232	"Quebec"	0	"dashed"	"JN.1"
"MG*"	0.23661859	0	0.65829	11	"Quebec"	0	"dashed"	"JN.1*"
"KP.1.1.3"	0.2305357	0	0.51705	25	"Quebec"	0	"dashed"	"JN.1"
"LP.1*"	0.21926247	0.197336223	0.241188717	21	"Quebec"	0	"solid"	"JN.1*"
"KP.3.1.1"	0.21507113	0.10982	0.32032	742	"British Columbia"	0	"dashed"	"JN.1"
"MC*"	0.2134082	0.11614	0.31068	937	"British Columbia"	0	"dashed"	"JN.1*"
"XDK.5"	0.20150161	0.06308	0.33993	27	"British Columbia"	0	"dashed"	"JN.1"
"LB.1.4"	0.18909696	0.170187264	0.208006656	15	"Quebec"	0	"solid"	"JN.1"
"LB.1.4*"	0.18909696	0.170187264	0.208006656	15	"Quebec"	0	"solid"	"JN.1*"
"KS.1.3"	0.18247714	0.0756	0.28935	38	"Ontario"	0	"dashed"	"JN.1"
"MC.13"	0.17787974	0.160091766	0.195667714	13	"British Columbia"	0	"solid"	"JN.1"
"KP.3.3*"	0.17628086	0.09468	0.25788	242	"Ontario"	0	"dashed"	"JN.1*"
"KS.1.1"	0.1759848	0.05662	0.29535	19	"British Columbia"	0	"dashed"	"JN.1"
"KP.3.3.1"	0.17183102	0.05666	0.287	58	"Ontario"	0	"dashed"	"JN.1"
"KP.3.3*"	0.17047921	0.10474	0.23621	302	"British Columbia"	0	"dashed"	"JN.1*"
"KP.3.3"	0.17042591	0.10462	0.23623	275	"British Columbia"	0	"dashed"	"JN.1"
"LQ.1*"	0.16861136	0.05122	0.28601	17	"British Columbia"	0	"dashed"	"JN.1*"
"KP.2.14"	0.16732549	0	0.35021	11	"British Columbia"	0	"dashed"	"JN.1"
"KP.3.2.4"	0.16565789	0.149092101	0.182223679	26	"British Columbia"	0	"solid"	"JN.1"
"LB.1.4"	0.16475738	0.05381	0.27571	19	"British Columbia"	0	"dashed"	"JN.1"
"MC.13*"	0.16318817	0.00014	0.32624	14	"British Columbia"	0	"dashed"	"JN.1*"
"LQ.1.1"	0.16315347	0.04885	0.27746	15	"British Columbia"	0	"dashed"	"JN.1"
"LB.1.4*"	0.16290432	0.05524	0.27057	20	"British Columbia"	0	"dashed"	"JN.1*"
"XEE.18*"	0.16216766	0.0719	0.25243	41	"British Columbia"	0	"dashed"	"JN.1*"
"MK*"	0.15837106	0.05412	0.26263	47	"Ontario"	0	"dashed"	"JN.1*"
"LB.1.2*"	0.15694696	0.07738	0.23652	41	"British Columbia"	0	"dashed"	"JN.1*"
"MC.10"	0.15617485	0.04337	0.26898	62	"Ontario"	0	"dashed"	"JN.1"
"LB.1.2"	0.15607414	0.07591	0.23624	34	"British Columbia"	0	"dashed"	"JN.1"
"KP.3.1.6"	0.15452023	0.05262	0.25642	32	"Ontario"	0	"dashed"	"JN.1"
"MH*"	0.15375568	0.138380112	0.169131248	20	"British Columbia"	0	"solid"	"JN.1*"
"MC.6"	0.15143073	0.136287657	0.166573803	28	"British Columbia"	0	"solid"	"JN.1"
"MC.6"	0.15134727	0.136212543	0.166481997	52	"Ontario"	0	"solid"	"JN.1"
"KU.2*"	0.15113463	0.05926	0.24301	20	"British Columbia"	0	"dashed"	"JN.1*"
"KU*"	0.15113463	0.05926	0.24301	20	"British Columbia"	0	"dashed"	"JN.1*"
"KU.2"	0.15104687	0.05901	0.24309	18	"British Columbia"	0	"dashed"	"JN.1"
"MC.2*"	0.15049555	0	0.31054	17	"British Columbia"	0	"dashed"	"JN.1*"
"MC.11"	0.14737436	0.132636924	0.162111796	31	"British Columbia"	0	"solid"	"JN.1"
"JN.1.50"	0.14707476	0.0275	0.26665	19	"Ontario"	0	"dashed"	"JN.1"
"KP.3.3.2"	0.14703257	0.05281	0.24125	41	"Ontario"	0	"dashed"	"JN.1"
"MC.2"	0.14574511	0.01142	0.28007	15	"British Columbia"	0	"dashed"	"JN.1"
"KP.4.1.3"	0.14523198	0.04451	0.24596	25	"Ontario"	0	"dashed"	"JN.1"
