"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"FL.10*"	0.05589348	0.0358	0.07599	13	"Ontario"
"FU*"	0.05578608	0.03423	0.07734	32	"Alberta"
"XBB.1.42*"	0.05571111	0.039	0.07242	20	"Ontario"
"XBB.1.42.2"	0.05531349	0.04008	0.07055	18	"Canada"
"FY*"	0.055308	0.03082	0.0798	13	"Nova Scotia"
"XBB.1.22*"	0.055308	0.03082	0.0798	13	"Nova Scotia"
"XBB.1.16"	0.05520426	0.02044	0.08997	23	"Manitoba"
"FL.10*"	0.05467188	0.04561	0.06373	57	"Canada"
"EG*"	0.05466089	0.0315	0.07782	54	"Newfoundland and Labrador"
"FK.1*"	0.05427838	0.03172	0.07684	13	"Quebec"
"GE.1"	0.05413508	0.04154	0.06673	27	"Canada"
"XBB.2.3"	0.05400314	0.03109	0.07692	13	"Nova Scotia"
"EG.5*"	0.0538033	0.0474	0.06021	236	"Ontario"
"XBB.1.16.8"	0.05364645	0.03273	0.07457	12	"Ontario"
"FY*"	0.05324191	0.0469	0.05959	150	"Canada"
"GK*"	0.05311877	0.04314	0.0631	44	"Canada"
"FY*"	0.05231949	0.02927	0.07537	23	"British Columbia"
"XBB.1.22*"	0.05223358	0.04604	0.05843	156	"Canada"
"XBB.1.5.10"	0.05217691	0.03592	0.06843	26	"Quebec"
"GJ*"	0.05109605	0.03836	0.06383	48	"Quebec"
"FL.15"	0.0508367	0.04396	0.05771	109	"Canada"
"GK.1*"	0.05083447	0.03827	0.0634	25	"Canada"
"GN*"	0.05048146	0.03927	0.0617	53	"Ontario"
"FL.15"	0.05035535	0.03052	0.07019	19	"Quebec"
"XBB.1.5.30"	0.05016739	0.0311	0.06923	21	"Nova Scotia"
"HM*"	0.05016739	0.0311	0.06923	21	"Nova Scotia"
"HF*"	0.04986771	0.02355	0.07619	17	"British Columbia"
"GW.1"	0.04984782	0.04099	0.05871	59	"Canada"
"FL.1*"	0.0498051	0.03904	0.06057	62	"Quebec"
"EG.1.3"	0.0498012	0.02964	0.06996	16	"Quebec"
"XBB.2.3*"	0.0491158	0.03477	0.06346	98	"Alberta"
"XBB.1.5.10"	0.04902961	0.03675	0.06131	41	"Ontario"
"XBB.1.16*"	0.04890903	0.01632	0.0815	26	"Manitoba"
"XBB.1.5.37"	0.04855717	0.01898	0.07814	12	"British Columbia"
"GF.1"	0.04845939	0.03268	0.06424	15	"Canada"
"GK.1.3"	0.04838295	0.03391	0.06286	18	"Canada"
"FL.18"	0.04811774	0.03608	0.06016	44	"Ontario"
"FL.18*"	0.04811774	0.03608	0.06016	44	"Ontario"
"XBB.1.5.72"	0.04810716	0.04048	0.05573	81	"Canada"
"GB.1"	0.04807392	0.02873	0.06742	17	"Quebec"
"DV*"	0.04803301	0.03297	0.0631	24	"Ontario"
"GJ.1*"	0.04786992	0.03108	0.06466	18	"Ontario"
"FY.3*"	0.04768723	0.03362	0.06175	19	"Canada"
"EG*"	0.04753002	0.04168	0.05338	319	"Quebec"
"XBB.1.5.49"	0.04749045	0.02727	0.06772	29	"British Columbia"
"XBB.1.16*"	0.04736422	0.03391	0.06081	142	"Nova Scotia"
"GJ.1*"	0.04700193	0.04003	0.05397	100	"Canada"
"DV.7"	0.04665061	0.02907	0.06423	17	"Ontario"
"GJ.1.2"	0.04661521	0.02853	0.0647	15	"Ontario"
"GJ.1.2"	0.04636258	0.03918	0.05354	91	"Canada"
"FU.2.1"	0.04632494	0.03332	0.05933	22	"Canada"
"XBB.1.5.28"	0.04609196	0.025	0.06719	14	"Quebec"
"HH.1"	0.04584238	0.0292	0.06249	13	"Canada"
"GY*"	0.04574378	0.03357	0.05792	40	"Ontario"
"EG*"	0.045608	0.0404	0.05081	424	"Ontario"
"HH*"	0.04520494	0.02996	0.06045	22	"Ontario"
"FK.1*"	0.04515678	0.01897	0.07134	16	"British Columbia"
"DV.7*"	0.04510125	0.02803	0.06217	18	"Ontario"
"EG.5*"	0.04477682	0.02013	0.06943	18	"New Brunswick"
"EG.5.1*"	0.04477682	0.02013	0.06943	18	"New Brunswick"
"FD*"	0.04466864	0.01167	0.07767	11	"Alberta"
"FL*"	0.04466353	0.02903	0.0603	71	"Nova Scotia"
"XBB.1.16.3"	0.04453989	0.02655	0.06253	20	"Quebec"
"XBB.1.16*"	0.04439663	0.03531	0.05348	348	"British Columbia"
"FL.1*"	0.04437982	0.03851	0.05025	141	"Canada"
"EG.6.1"	0.0442942	0.03793	0.05066	106	"Canada"
"XBB.1.5.59"	0.04423238	0.0213	0.06717	11	"Quebec"
"FU*"	0.04422892	0.02787	0.06059	30	"Nova Scotia"
"GW*"	0.04374861	0.03586	0.05163	72	"Canada"
"FL.2.3"	0.04363623	0.02581	0.06146	11	"Canada"
"XBB.1.9*"	0.04362851	0.03897	0.04828	977	"Ontario"
"HF*"	0.04312129	0.03503	0.05121	64	"Canada"
"GY*"	0.0430545	0.02366	0.06245	32	"British Columbia"
"EG*"	0.04297587	0.04003	0.04592	1142	"Canada"
"EG.1*"	0.04297055	0.03416	0.05179	79	"Ontario"
"XBB.1.5.10"	0.0427415	0.03542	0.05006	82	"Canada"
"XBB.1.16"	0.04256148	0.02577	0.05935	76	"Nova Scotia"
"EG.5.1"	0.04252998	0.01717	0.06789	15	"New Brunswick"
"GY.5"	0.04251457	0.03133	0.0537	30	"Canada"
"XBB.2.3"	0.04241031	0.02769	0.05713	26	"Quebec"
"XBB.1.16.6"	0.04177109	0.02381	0.05973	17	"Quebec"
"DV.7*"	0.04154259	0.02838	0.0547	21	"Canada"
"XBB.1.42*"	0.04150946	0.03223	0.05079	45	"Canada"
