"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"reference"
"LB.1"	0.1582943	0.09538	0.22121	17	"Ontario"	0	"JN.1*"
"KP.4*"	0.1513409	0.1063	0.19638	29	"British Columbia"	0	"JN.1"
"XDK.1"	0.13739605	0.09884	0.17595	41	"Ontario"	0	"JN.1*"
"KP.3"	0.13716917	0.09936	0.17498	32	"British Columbia"	0	"JN.1*"
"KP.1.1"	0.1361591	0.09136	0.18096	25	"Ontario"	0	"JN.1*"
"JN.1.16.1"	0.13171982	0.08798	0.17546	24	"Ontario"	0	"JN.1*"
"KP.1.1*"	0.12987094	0.09044	0.1693	30	"Ontario"	0	"JN.1"
"XDK*"	0.11498693	0.08579	0.14418	49	"Ontario"	0	"JN.1"
"KP.1.1.1"	0.11096886	0.00529	0.21665	17	"British Columbia"	0	"JN.1*"
"LB.1"	0.10958312	0.09134	0.12783	67	"Canada"	0	"JN.1*"
"KP.2.3"	0.10884589	0.08772	0.12998	43	"Canada"	0	"JN.1*"
"KP.3"	0.10524822	0.08998	0.12052	281	"Alberta"	0	"JN.1*"
"JN.1.26"	0.10504799	0.06645	0.14364	16	"British Columbia"	0	"JN.1*"
"KS.1"	0.10369619	0.08201	0.12538	77	"Ontario"	0	"JN.1*"
"KP.2"	0.09940538	0.07619	0.12262	47	"British Columbia"	0	"JN.1*"
"KP.2"	0.09790048	0.0837	0.1121	256	"Alberta"	0	"JN.1*"
"KP.2*"	0.09785964	0.08458	0.11114	324	"Alberta"	0	"JN.1"
"KP.2*"	0.0975861	0.07653	0.11864	57	"British Columbia"	0	"JN.1"
"KP*"	0.09635556	0.08319	0.10952	189	"British Columbia"	0	"JN.1"
"KP.3"	0.09512658	0.08788	0.10237	638	"Canada"	0	"JN.1*"
"JN.1.16*"	0.09498877	0.06921	0.12077	35	"Ontario"	0	"JN.1"
"KS*"	0.09341276	0.07582	0.111	95	"Ontario"	0	"JN.1"
"JN.1.16.1"	0.09292085	0.07665	0.10919	53	"Canada"	0	"JN.1*"
"KP*"	0.09157353	0.08215	0.101	799	"Alberta"	0	"JN.1"
"JN.1.13*"	0.09056159	0.07368	0.10744	96	"Ontario"	0	"JN.1"
