"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"
"XBB.1.5.39"	0.13198451	0.09149	0.17247	22	"British Columbia"
"EG.5.1.1"	0.10486933	0.08078	0.12896	46	"Quebec"
"FL.1.5.1"	0.1026722	0.07982	0.12552	29	"Canada"
"FY*"	0.10260527	0.06688	0.13833	17	"British Columbia"
"XBB.1.22*"	0.10260527	0.06688	0.13833	17	"British Columbia"
"XBB.1.16.6"	0.10106918	0.06911	0.13303	16	"Ontario"
"GJ.1*"	0.09971895	0.07309	0.12635	32	"Quebec"
"EG.5.1*"	0.09908397	0.0793	0.11886	61	"Quebec"
"GJ.1"	0.09853472	0.07113	0.12593	29	"Quebec"
"EG.5.1"	0.09589021	0.07871	0.11307	63	"Ontario"
"EG.5.1"	0.09573847	0.08331	0.10817	98	"Canada"
"FY*"	0.09561286	0.0789	0.11232	69	"Ontario"
"FY.5"	0.09489623	0.07982	0.10997	61	"Canada"
"EG.5.1.1"	0.09343195	0.08328	0.10359	151	"Canada"
"EG.5.1*"	0.09322759	0.08478	0.10167	249	"Canada"
"XBB.1.22*"	0.09278863	0.07694	0.10864	71	"Ontario"
"EG.5*"	0.09206514	0.07504	0.10909	70	"Quebec"
"EG.5.1"	0.0878797	0.05611	0.11965	15	"Quebec"
"GE.1"	0.08523989	0.06339	0.10709	19	"Canada"
"EG.5.1*"	0.08403687	0.07337	0.09471	141	"Ontario"
"FD.2"	0.08113038	0.05539	0.10687	27	"British Columbia"
"GK*"	0.07985534	0.05212	0.10759	16	"Quebec"
"EG.5.1.1"	0.07969317	0.06753	0.09186	78	"Ontario"
"GK.1"	0.0791533	0.06088	0.09743	23	"Canada"
"EG.6.1"	0.07822559	0.04534	0.11112	29	"Newfoundland and Labrador"
"GK*"	0.07791018	0.06337	0.09245	37	"Canada"
"FL.4"	0.07767989	0.05595	0.09941	35	"British Columbia"
"EG.5.1*"	0.07601244	0.0355	0.11653	14	"Newfoundland and Labrador"
"EG.5*"	0.07601244	0.0355	0.11653	14	"Newfoundland and Labrador"
"FL.14"	0.07559041	0.04758	0.1036	14	"Quebec"
"GK*"	0.07516352	0.05462	0.09571	18	"Ontario"
"XBB.1.5.70"	0.07497128	0.05289	0.09706	14	"Canada"
"FY.3*"	0.07473966	0.05341	0.09607	15	"Canada"
"FL.1.5*"	0.07408534	0.06171	0.08646	49	"Canada"
"XBB.1.9*"	0.07364076	0.04828	0.099	54	"Newfoundland and Labrador"
"GK.1"	0.07344491	0.05288	0.09401	17	"Ontario"
"FL*"	0.07332521	0.05228	0.09437	56	"Nova Scotia"
"GJ.1"	0.07302415	NA	NA	16	"Alberta"
"GJ.1*"	0.07302415	NA	NA	16	"Alberta"
"EG.5.1*"	0.07273244	NA	NA	11	"Alberta"
"FY*"	0.07268246	0.06447	0.0809	122	"Canada"
"EG.5*"	0.07263229	0.06707	0.0782	329	"Canada"
"FL.15"	0.07228199	0.06263	0.08194	78	"Canada"
"XBB.1.19.1"	0.07156261	0.05944	0.08369	66	"Ontario"
"XBB.1.5.72"	0.07151738	0.06152	0.08151	71	"Canada"
"EG*"	0.0710703	0.04607	0.09607	46	"Newfoundland and Labrador"
"XBB.1.5.70"	0.07077116	0.04263	0.09891	12	"Quebec"
"FK.1*"	0.07057824	0.04253	0.09863	12	"Quebec"
"XBB.1.22*"	0.07008948	0.06226	0.07792	126	"Canada"
"EG*"	0.06958179	0.04405	0.09512	26	"Nova Scotia"
"XBB.1.16"	0.06911553	0.04974	0.08849	70	"Nova Scotia"
"GJ.1*"	0.06874258	0.05919	0.0783	78	"Canada"
"GJ.1"	0.0683681	0.05848	0.07826	71	"Canada"
"FL.15"	0.06828173	0.05599	0.08057	47	"Ontario"
"XBB.1.5.72"	0.06796361	0.05642	0.07951	57	"Ontario"
"XBB.1.9*"	0.06739466	0.05068	0.08411	82	"Nova Scotia"
"XBB.1.16.6"	0.06660771	0.05484	0.07838	45	"Canada"
"FU.1"	0.0659483	0.03264	0.09926	12	"Alberta"
"GF.1"	0.06563678	0.04677	0.0845	16	"Canada"
"XBB.1.19.1"	0.06558593	0.05608	0.07509	74	"Canada"
"FL.1*"	0.06390023	0.04974	0.07806	32	"Ontario"
"EG.5*"	0.06306171	0.03376	0.09236	12	"Alberta"
"FD*"	0.06301778	0.04206	0.08397	35	"British Columbia"
"GJ*"	0.06204538	0.04852	0.07557	45	"Quebec"
"XBB.1.42"	0.06194096	0.04388	0.08001	17	"Ontario"
"FU*"	0.06083805	0.04187	0.07981	39	"British Columbia"
"FY*"	0.06082251	0.03919	0.08246	16	"Quebec"
"FL.2.3"	0.05985788	0.03847	0.08124	11	"Canada"
"DV.7"	0.05982905	0.04362	0.07604	20	"Canada"
"XBB.1.16.3"	0.05981428	0.04053	0.0791	20	"Quebec"
"EG.5*"	0.05934108	0.053	0.06568	205	"Ontario"
"XBB.1.16.8"	0.05912023	0.04432	0.07392	23	"Canada"
"XBB.1.16*"	0.05882017	0.04378	0.07386	96	"Nova Scotia"
"GN*"	0.05854472	0.04792	0.06917	55	"Ontario"
"DV.7"	0.05836033	0.04106	0.07566	18	"Ontario"
"GJ.1*"	0.05761186	0.04049	0.07473	17	"Ontario"
"XBB.1.9.2"	0.057179	0.04174	0.07262	39	"Alberta"
"FL.1.5*"	0.05716328	0.04147	0.07285	29	"Quebec"
"GB.1"	0.0571541	0.03801	0.0763	18	"Quebec"
"EG.2"	0.05709518	0.04124	0.07295	20	"Canada"
"FL.15"	0.05670458	0.03534	0.07807	15	"Quebec"
"XBB.1.5.73"	0.0567021	0.04589	0.06752	50	"Ontario"
"EG.1"	0.05627593	0.04534	0.06721	46	"Ontario"
"GJ.1"	0.0558861	0.03752	0.07425	14	"Ontario"
"GF*"	0.05481126	0.03738	0.07225	21	"Alberta"
"EG.4"	0.054639	NA	NA	21	"Ontario"
"XBB.1.22*"	0.05460842	0.03499	0.07423	17	"Quebec"
"XBB.1.9.1"	0.05458213	0.03061	0.07855	23	"Nova Scotia"
"FL.14"	0.05429929	0.04055	0.06805	26	"Canada"
"XBB.1.16.2"	0.05360614	0.03152	0.07569	28	"British Columbia"
"FY.2"	0.05319581	0.03967	0.06672	26	"Canada"
"XBB.2.3.11"	0.0531473	0.04041	0.06589	33	"Ontario"
"GS*"	0.05254325	0.04044	0.06465	37	"Ontario"
"XBB.1.5.28"	0.05248858	0.04183	0.06315	42	"Canada"
"XBB.1.5.28"	0.05224543	0.03414	0.07035	19	"Quebec"
"CH.1.1.14"	0.05190973	0.03626	0.06756	19	"Canada"
"GN*"	0.05189009	0.04417	0.05961	86	"Canada"
"EG.7"	0.05173993	0.0372	0.06628	22	"Canada"
"FD.1.1"	0.05155398	0.02208	0.08103	11	"Newfoundland and Labrador"
"FD*"	0.05155398	0.02208	0.08103	11	"Newfoundland and Labrador"
"XCF"	0.05145616	0.03126	0.07165	15	"Quebec"
"EG*"	0.05138847	0.04014	0.06264	75	"Alberta"
"EG.6.1"	0.05138611	0.04332	0.05945	77	"Canada"
"EG*"	0.05071349	0.04593	0.0555	396	"Ontario"
"EG.2"	0.050657	0.03361	0.06771	16	"Ontario"
"XBB.1.5.10"	0.05065449	0.04281	0.0585	82	"Canada"
"FU.2*"	0.05055641	0.02719	0.07392	11	"Quebec"
"FL.1*"	0.05052921	0.0434	0.05766	103	"Canada"
"XBB.2.3.6"	0.0504513	0.03648	0.06442	24	"Canada"
"FL.1.5.1"	0.05040097	NA	NA	16	"Ontario"
"FL.1.5*"	0.05040097	NA	NA	16	"Ontario"
"XBB.1.5.73"	0.0502639	0.04241	0.05812	81	"Canada"
"GS*"	0.05002588	0.02306	0.07699	18	"British Columbia"
"FL.1.5"	0.04975245	0.03455	0.06496	20	"Canada"
"XBB.1.5.59"	0.04941762	0.03144	0.06739	14	"Canada"
"FU*"	0.04884733	0.03462	0.06308	38	"Alberta"
"XBB.1.42"	0.04876196	0.03792	0.0596	40	"Canada"
"XBB.1.9*"	0.04847303	0.04462	0.05232	971	"Ontario"
"XBB.1.16*"	0.04845359	0.04101	0.05589	375	"Alberta"
"XCF"	0.0482361	0.03236	0.06411	18	"Canada"
"GJ*"	0.0481519	0.03454	0.06176	24	"Ontario"
"DV*"	0.04804056	0.03488	0.0612	27	"Ontario"
"CH.1.1.14"	0.04795677	0.03063	0.06529	19	"Quebec"
"XBL"	0.04775226	0.03527	0.06024	30	"Canada"
"XBB.1.16.1"	0.04770832	0.0251	0.07032	25	"British Columbia"
"XBB.2.3.2"	0.04765607	0.03356	0.06175	22	"Ontario"
"XBB.2.3*"	0.04751549	0.03818	0.05685	115	"Alberta"
"XBB.1.5.44"	0.046707	0.0376	0.05582	57	"Canada"
"GB.1"	0.04649957	0.02756	0.06544	12	"Ontario"
"FL.2*"	0.04645386	0.03927	0.05364	97	"Canada"
"XBB.1.5.77"	0.04638866	0.03256	0.06022	24	"Ontario"
"XBB.1.16*"	0.04638604	0.0318	0.06097	35	"New Brunswick"
"GR.1"	0.04634364	0.03067	0.06202	18	"Canada"
"XBB.1.16"	0.04607772	0.03806	0.05409	268	"Alberta"
"XBB.1.5.10"	0.04594324	0.03539	0.05649	48	"Ontario"
"FL.7"	0.04579834	0.03002	0.06158	18	"Canada"
"XBB.1.5.63"	0.04571485	0.0313	0.06013	22	"Ontario"
"FL.2"	0.04570069	0.03801	0.0534	83	"Canada"
"FU.2*"	0.04558278	0.03257	0.0586	27	"Canada"
"EG.1*"	0.04548855	0.03726	0.05372	75	"Ontario"
"FE.1.1"	0.04529018	0.03252	0.05806	28	"Canada"
"FL*"	0.04466223	0.04036	0.04896	575	"Ontario"
"GJ*"	0.04463551	0.03318	0.05609	61	"Alberta"
"XBL"	0.04454512	0.03199	0.0571	30	"Ontario"
"FL.1.5"	0.04449241	0.02737	0.06161	19	"Quebec"
