"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"lineType"	"reference"
"LP.8.1"	0.07062442	0.0602	0.08105	127	"Alberta"	0	"dashed"	"KP.3.1.1"
"XEC*"	0.07040727	0.02116	0.11966	21	"Manitoba"	0	"dashed"	"KP.3*"
"LP.8*"	0.07023347	0.05989	0.08057	128	"Alberta"	0	"dashed"	"KP.3*"
"MC.13.2"	0.07008961	0.03716	0.10302	14	"Quebec"	0	"dashed"	"KP.3.1.1"
"MC.8"	0.06711484	0.02839	0.10584	11	"Nova Scotia"	0	"dashed"	"KP.3.1.1"
"MC.21"	0.06390432	0.03721	0.0906	13	"Alberta"	0	"dashed"	"KP.3.1.1"
"XEC"	0.06248201	0.0129	0.11206	18	"Manitoba"	0	"dashed"	"KP.3.1.1"
"MC.21*"	0.06171859	0.03731	0.08613	15	"Alberta"	0	"dashed"	"KP.3*"
"KP.4.2"	0.06021205	0.04157	0.07886	20	"Canada"	0	"dashed"	"KP.3.1.1"
"NP.1"	0.06012159	0.05225	0.06799	171	"Ontario"	0	"dashed"	"KP.3.1.1"
"XEC.2"	0.05935099	0.04578	0.07292	48	"Alberta"	0	"dashed"	"KP.3.1.1"
"XEC.4"	0.05603385	0.04421	0.06786	45	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.17"	0.05337056	0.03414	0.0726	21	"Alberta"	0	"dashed"	"KP.3.1.1"
"MC.8*"	0.05312145	0.01975	0.08649	12	"Nova Scotia"	0	"dashed"	"KP.3*"
"NP.1"	0.05231594	0.04743	0.05721	270	"Canada"	0	"dashed"	"KP.3.1.1"
"KP.2.3.4"	0.05054946	0.03738	0.06372	41	"Ontario"	0	"dashed"	"KP.3.1.1"
"NP.1"	0.05033797	0.04029	0.06039	79	"Alberta"	0	"dashed"	"KP.3.1.1"
"LP.7"	0.0490475	0.03518	0.06291	35	"Ontario"	0	"dashed"	"KP.3.1.1"
"LP.8.1"	0.04889855	0.03724	0.06056	52	"British Columbia"	0	"dashed"	"KP.3.1.1"
"LP.8.1"	0.0488423	0.04251	0.05518	178	"Ontario"	0	"dashed"	"KP.3.1.1"
"LP.8*"	0.0488423	0.04251	0.05518	178	"Ontario"	0	"dashed"	"KP.3*"
"LP.8*"	0.04862782	0.03709	0.06017	53	"British Columbia"	0	"dashed"	"KP.3*"
"XEC.4"	0.0485471	0.03584	0.06125	41	"Ontario"	0	"dashed"	"KP.3.1.1"
"LP*"	0.04806611	0.04066	0.05547	151	"Alberta"	0	"dashed"	"KP.3*"
"XEC.5"	0.04803065	0.03424	0.06182	27	"Canada"	0	"dashed"	"KP.3.1.1"
"XEK"	0.04769771	0.04272	0.05268	225	"Canada"	0	"dashed"	"KP.3.1.1"
"LP.8.1"	0.04703579	0.04308	0.05099	367	"Canada"	0	"dashed"	"KP.3.1.1"
"LP.8*"	0.04685701	0.04292	0.05079	369	"Canada"	0	"dashed"	"KP.3*"
"LP.7"	0.04660844	0.0354	0.05782	40	"Canada"	0	"dashed"	"KP.3.1.1"
"MC.13.2"	0.04626433	0.03434	0.05819	35	"Canada"	0	"dashed"	"KP.3.1.1"
