"lineage"	"sel_coeff"	"low_CI"	"high_CI"	"size"	"region"	"Highlight"	"reference"
"KP*"	0.27561847	0.0517	0.49954	26	"New Brunswick"	0	"JN.1*"
"KP.2"	0.27385375	0.00688	0.54083	14	"New Brunswick"	0	"JN.1"
"KP.2*"	0.26475228	0	0.55637	17	"New Brunswick"	0	"JN.1*"
"JN.1.16"	0.20563548	0.03128	0.38	16	"Nova Scotia"	0	"JN.1"
"JN.1.16*"	0.18888911	0.07313	0.30465	25	"Nova Scotia"	0	"JN.1*"
"KP.3*"	0.15634757	0.05334	0.25935	35	"Nova Scotia"	0	"JN.1*"
"KP.3.2*"	0.14710445	0.04197	0.25224	21	"Nova Scotia"	0	"JN.1*"
"KP.2*"	0.14609734	0.03235	0.25984	16	"Nova Scotia"	0	"JN.1*"
"JN.1.18.4"	0.14310408	NA	NA	14	"Nova Scotia"	0	"JN.1"
"LH*"	0.14310408	NA	NA	14	"Nova Scotia"	0	"JN.1*"
"JN.1.18*"	0.14138846	0	1.01571	16	"Nova Scotia"	0	"JN.1*"
"KP.3.2"	0.14138591	0.02791	0.25486	15	"Nova Scotia"	0	"JN.1"
"KP*"	0.14065985	0.06751	0.21381	90	"Nova Scotia"	0	"JN.1*"
"JN.1.7*"	0.13816862	0.06647	0.20987	72	"Nova Scotia"	0	"JN.1*"
"KP.3.3"	0.13453253	0.11121	0.15786	190	"Canada"	0	"JN.1"
"JN.1.11.1"	0.12758366	0.04357	0.2116	18	"Nova Scotia"	0	"JN.1"
"JN.1.7"	0.12403316	0.05547	0.19259	53	"Nova Scotia"	0	"JN.1"
"KP.3.2.3"	0.10305344	0.04597	0.16013	22	"Quebec"	0	"JN.1"
"KP.2.3"	0.09852549	0.08686	0.11019	389	"Canada"	0	"JN.1"
"KP.2.3*"	0.09696696	0.08571	0.10822	405	"Canada"	0	"JN.1*"
"LB.1"	0.09527396	0.075	0.11555	117	"Ontario"	0	"JN.1"
